# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.312
metadata : {}


# id : NWRW1800000041.312.1.1
[커튼 뒤 정치]울고싶은 박지원, 뺨 때려준 동교동

[커튼	[/SS+커튼/NNG
뒤	뒤/NNG
정치]울고싶은	정치/NNG+]/SS+울/VV+고/EC+싶/VX+은/ETM
박지원,	박지원/NNP+,/SP
뺨	뺨/NNG
때려준	때리/VV+어/EC+주/VX+ㄴ/ETM
동교동	동교동/NNP


# id : NWRW1800000041.312.2.1
[달아오르는 지방선거] 이희호 여사-동교동계 권노갑 “DJ도 중앙무대 역할 원할 것” 전남지사 불출마 명분 찾던 朴 “가시밭길 중앙정치 계속하겠다”

[달아오르는	[/SS+달아오르/VV+는/ETM
지방선거]	지방/NNG+선거/NNG+]/SS
이희호	이희호/NNP
여사-동교동계	여사/NNG+-/SO+동교동/NNP+계/XSN
권노갑	권노갑/NNP
“DJ도	“/SS+DJ/SL+도/JX
중앙무대	중앙/NNG+무대/NNG
역할	역할/NNG
원할	원/NNG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS
전남지사	전남/NNP+지사/NNG
불출마	불/XPN+출마/NNG
명분	명분/NNG
찾던	찾/VV+던/ETM
朴	朴/SH
“가시밭길	“/SS+가시밭길/NNG
중앙정치	중앙/NNG+정치/NNG
계속하겠다”	계속/NNG+하/XSV+겠/EP+다/EF+”/SS


# id : NWRW1800000041.312.3.1
전남도지사 출마를 적극 검토해 온 민주당 박지원 의원이 11일 불출마를 선언했다.

전남도지사	전남/NNP+도지사/NNG
출마를	출마/NNG+를/JKO
적극	적극/NNG
검토해	검토/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
민주당	민주당/NNP
박지원	박지원/NNP
의원이	의원/NNG+이/JKS
11일	11/SN+일/NNB
불출마를	불/XPN+출마/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.312.3.2
이에 따라 야권의 전남도지사 경선 구도는 민주당 이낙연, 주승용, 김영록 의원, 새정치연합 측 이석형 전 함평군수 간 4자 대결로 압축됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
야권의	야권/NNG+의/JKG
전남도지사	전남/NNP+도지사/NNG
경선	경선/NNG
구도는	구도/NNG+는/JX
민주당	민주당/NNP
이낙연,	이낙연/NNP+,/SP
주승용,	주승용/NNP+,/SP
김영록	김영록/NNP
의원,	의원/NNG+,/SP
새정치연합	새정치연합/NNP
측	측/NNB
이석형	이석형/NNP
전	전/MMD
함평군수	함평군수/NNG
간	간/NNB
4자	4/SN+자/NNB
대결로	대결/NNG+로/JKB
압축됐다.	압축/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.312.4.1
