# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.274
metadata : {}


# id : NWRW1800000024.274.1.1
근원적 처방, 오로지 의(義)뿐

근원적	근원/NNG+적/XSN
처방,	처방/NNG+,/SP
오로지	오로지/MAG
의(義)뿐	의/NNG+(/SS+義/SH+)/SS+뿐/JX


# id : NWRW1800000024.274.2.1
“하필왈리(何必曰利)!” 만나자마자 나라를 이롭게 할 방도를 묻는 양혜왕에게 맹자 역시 이렇게 되받는다.

“하필왈리(何必曰利)!”	“/SS+하필왈리/NNG+(/SS+何必曰利/SH+)/SS+!/SF+”/SS
만나자마자	만나/VV+자마자/EC
나라를	나라/NNG+를/JKO
이롭게	이/NNG+롭/XSA+게/EC
할	하/VX+ㄹ/ETM
방도를	방도/NNG+를/JKO
묻는	묻/VV+는/ETM
양혜왕에게	양혜왕/NNP+에게/JKB
맹자	맹자/NNP
역시	역시/MAG
이렇게	이렇/VA+게/EC
되받는다.	되받/VV+는다/EF+./SF


# id : NWRW1800000024.274.2.2
‘왕께서는 어찌 잇속을 말씀하십니까.’

‘왕께서는	‘/SS+왕/NNG+께서/JKS+는/JX
어찌	어찌/MAG
잇속을	잇속/NNG+을/JKO
말씀하십니까.’	말씀/NNG+하/XSV+시/EP+ㅂ니까/EF+./SF+’/SS


# id : NWRW1800000024.274.2.3
<맹자>의 첫 장 첫머리를 이루는 내용이다.

<맹자>의	</SS+맹자/NNP+>/SS+의/JKG
첫	첫/MMN
장	장/NNG
첫머리를	첫머리/NNG+를/JKO
이루는	이루/VV+는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.274.3.1
“왕께서 내 나라의 이익만을 생각한다면, 대부들도 마찬가지로 내 영지의 이익만 생각하고, 선비나 서민들도 이익만 생각할 것입니다.

“왕께서	“/SS+왕/NNG+께서/JKS
내	나/NP+의/JKG
나라의	나라/NNG+의/JKG
이익만을	이익/NNG+만/JX+을/JKO
생각한다면,	생각/NNG+하/XSV+ㄴ다면/EC+,/SP
대부들도	대부/NNG+들/XSN+도/JX
마찬가지로	마찬가지/NNG+로/JKB
영지의	영지/NNG+의/JKG
이익만	이익/NNG+만/JX
생각하고,	생각/NNG+하/XSV+고/EC+,/SP
선비나	선비/NNG+나/JC
서민들도	서민/NNG+들/XSN+도/JX
생각할	생각/NNG+하/XSV+ㄹ/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.274.3.2
위아래가 서로 다투어 잇속만 추구한다면 나라는 위태로워질 것입니다.”

위아래가	위아래/NNG+가/JKS
서로	서로/MAG
다투어	다투/VV+어/EC
잇속만	잇속/NNG+만/JX
추구한다면	추구/NNG+하/XSV+ㄴ다면/EC
나라는	나라/NNG+는/JX
위태로워질	위태롭/VA+어/EC+지/VX+ㄹ/ETM
것입니다.”	것/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000024.274.3.3
뻘쭘해진 양혜왕을 향한 경고는 계속된다.

뻘쭘해진	뻘쭘하/VA+아/EC+지/VX+ㄴ/ETM
양혜왕을	양혜왕/NNP+을/JKO
향한	향하/VV+ㄴ/ETM
경고는	경고/NNG+는/JX
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.274.3.4
“만승의 천자를 시해하는 자는 필시 천승의 제후일 것이고, 천승의 제후를 시해하는 자는 백승의 대부일 겁니다, 모두가 더 갖기 위한 것입니다.

“만승의	“/SS+만승/NNG+의/JKG
천자를	천자/NNG+를/JKO
시해하는	시해/NNG+하/XSV+는/ETM
자는	자/NNB+는/JX
필시	필시/MAG
천승의	천승/NNG+의/JKG
제후일	제후/NNG+이/VCP+ㄹ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
제후를	제후/NNG+를/JKO
백승의	백/NR+승/NNB+의/JKG
대부일	대부/NNG+이/VCP+ㄹ/ETM
