# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.325
metadata : {}


# id : NWRW1800000030.325.1.1
"민주당 원로들, 黨복지정책 너무 빨리 가는 것 아니냐 우려"

"민주당	"/SS+민주당/NNP
원로들,	원로/NNG+들/XSN+,/SP
黨복지정책	黨/SH+복지/NNG+정책/NNG
너무	너무/MAG
빨리	빨리/MAG
가는	가/VV+는/ETM
것	것/NNB
아니냐	아니/VCN+냐/EF
우려"	우려/NNG+"/SS


# id : NWRW1800000030.325.2.1
•민주 5선 의원 박상천

•민주	•/SW+민주/NNP
5선	5/SN+선/NNB
의원	의원/NNG
박상천	박상천/NNP


# id : NWRW1800000030.325.3.1
민주당의 최다선(最多選) 의원 중 한 명인 박상천 의원(5선)이 당내 무상 복지정책 노선에 혼선이 있다며 쓴소리를 했다.

민주당의	민주당/NNP+의/JKG
최다선(最多選)	최/XPN+다선/NNG+(/SS+最多選/SH+)/SS
의원	의원/NNG
중	중/NNB
한	한/MMN
명인	명/NNB+이/VCP+ㄴ/ETM
박상천	박상천/NNP
의원(5선)이	의원/NNG+(/SS+5/SN+선/NNB+)/SS+이/JKS
당내	당내/NNG
무상	무상/NNG
복지정책	복지/NNG+정책/NNG
노선에	노선/NNG+에/JKB
혼선이	혼선/NNG+이/JKS
있다며	있/VA+다며/EC
쓴소리를	쓴소리/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.325.4.1
박 의원은 17일 열린 최고위원·중진의원 연석회의에 참석해 "요즘 하는 것을 보면 복지문제에 대해 각자 자기 생각만 말해서 혼선이 있다"며 "내년 선거에서 중요한 이슈가 될 복지문제에 대한 당내 기반이 정돈되지 않은 것으로 보일 수 있다"고 했다.

박	박/NNP
의원은	의원/NNG+은/JX
17일	17/SN+일/NNB
열린	열리/VV+ㄴ/ETM
최고위원·중진의원	최고/NNG+위원/NNG+·/SP+중진/NNG+의원/NNG
연석회의에	연석회의/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
"요즘	"/SS+요즘/NNG
하는	하/VV+는/ETM
것을	것/NNB+을/JKO
보면	보/VV+면/EC
복지문제에	복지/NNG+문제/NNG+에/JKB
대해	대하/VV+아/EC
각자	각자/MAG
자기	자기/NNG
생각만	생각/NNG+만/JX
말해서	말/NNG+하/XSV+아서/EC
혼선이	혼선/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"내년	"/SS+내년/NNG
선거에서	선거/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
이슈가	이슈/NNG+가/JKC
될	되/VV+ㄹ/ETM
대한	대하/VV+ㄴ/ETM
당내	당내/NNG
기반이	기반/NNG+이/JKS
정돈되지	정돈/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
보일	보이/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.325.5.1
이어 박 의원은 "민주당은 우선 복지에 대한 기본 태도를 정해야 한다"며 "대량 증세·대량 복지의 스웨덴·노르웨이 형태로 갈지, 특별한 복지예산을 따로 만들거나 아니면 현상 유지를 할 것인지 태도를 먼저 정하고 거기에 맞춰 우선순위를 정해야 한다"고 말했다.

이어	이어/MAG
박	박/NNP
의원은	의원/NNG+은/JX
"민주당은	"/SS+민주당/NNP+은/JX
우선	우선/MAG
복지에	복지/NNG+에/JKB
