# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.133
metadata : {}


# id : NWRW1800000048.133.1.1
오바마-푸틴, 시리아 해법 놓고 유엔총회서 설전

오바마-푸틴,	오바마/NNP+-/SO+푸틴/NNP+,/SP
시리아	시리아/NNP
해법	해법/NNG
놓고	놓/VV+고/EC
유엔총회서	유엔/NNP+총회/NNG+서/JKB
설전	설전/NNG


# id : NWRW1800000048.133.2.1
오바마, 아사드 퇴진 불가피성 강조

오바마,	오바마/NNP+,/SP
아사드	아사드/NNP
퇴진	퇴진/NNG
불가피성	불가피성/NNG
강조	강조/NNG


# id : NWRW1800000048.133.3.1
푸틴 “아사드와 협력 거부, 큰 실수”

푸틴	푸틴/NNP
“아사드와	“/SS+아사드/NNP+와/JKB
협력	협력/NNG
거부,	거부/NNG+,/SP
큰	크/VA+ㄴ/ETM
실수”	실수/NNG+”/SS


# id : NWRW1800000048.133.4.1
IS 맞서는 국제연대는 가시화 조짐

IS	IS/SL
맞서는	맞서/VV+는/ETM
국제연대는	국제/NNG+연대/NNG+는/JX
가시화	가시/NNG+화/XSN
조짐	조짐/NNG


# id : NWRW1800000048.133.5.1
창립 70주년을 맞은 올해 유엔 총회의 초점은 평화를 향한 화해와 협력이 아니었다.

창립	창립/NNG
70주년을	70/SN+주년/NNB+을/JKO
맞은	맞/VV+은/ETM
올해	올해/NNG
유엔	유엔/NNP
총회의	총회/NNG+의/JKG
초점은	초점/NNG+은/JX
평화를	평화/NNG+를/JKO
향한	향하/VV+ㄴ/ETM
화해와	화해/NNG+와/JC
협력이	협력/NNG+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000048.133.5.2
분쟁을 둘러싼 주요 국가의 이견과 갈등이 두드러졌다.

분쟁을	분쟁/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
주요	주요/NNG
국가의	국가/NNG+의/JKG
이견과	이견/NNG+과/JC
갈등이	갈등/NNG+이/JKS
두드러졌다.	두드러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.133.6.1
150여개국 정상들이 참여한 가운데 28일 개막한 70차 유엔 총회의 기조연설에서 버락 오바마 미국 대통령과 블라디미르 푸틴 러시아 대통령은 시리아 내전을 놓고 첨예하게 맞섰다.

150여개국	150/SN+여/XSN+개국/NNB
정상들이	정상/NNG+들/XSN+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
28일	28/SN+일/NNB
개막한	개막/NNG+하/XSV+ㄴ/ETM
70차	70/SN+차/NNB
유엔	유엔/NNP
총회의	총회/NNG+의/JKG
기조연설에서	기조연설/NNG+에서/JKB
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령과	대통령/NNG+과/JC
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
러시아	러시아/NNP
대통령은	대통령/NNG+은/JX
시리아	시리아/NNP
내전을	내전/NNG+을/JKO
놓고	놓/VV+고/EC
첨예하게	첨예하/VA+게/EC
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.133.6.2
그러나 한편에선 시리아 내전 해법의 공통분모를 찾으려는 미·러를 비롯한 주요국들의 움직임도 바빠지고 있다.

그러나	그러나/MAJ
한편에선	한편/NNG+에서/JKB+ㄴ/JX
시리아	시리아/NNP
내전	내전/NNG
해법의	해법/NNG+의/JKG
공통분모를	공통분모/NNG+를/JKO
찾으려는	찾/VV+으려는/ETM
미·러를	미/NNP+·/SP+러/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
주요국들의	주요국/NNG+들/XSN+의/JKG
움직임도	움직임/NNG+도/JX
바빠지고	바쁘/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.133.7.1
오바마 대통령은 이날 오전 연설에서 “미국은 시리아 내전을 해결하기 위해 러시아와 이란을 포함한 어떤 나라와도 협력할 준비가 돼 있다”면서도 “그렇게 많은 피를 흘리고, 그렇게 많은 학살을 저지르고 나서는 전쟁 전의 상태로 되돌아갈 수 없다는 것을 인식해야만 한다”고 말했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
연설에서	연설/NNG+에서/JKB
“미국은	“/SS+미국/NNP+은/JX
시리아	시리아/NNP
내전을	내전/NNG+을/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
러시아와	러시아/NNP+와/JC
이란을	이란/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
어떤	어떤/MMD
나라와도	나라/NNG+와/JKB+도/JX
협력할	협력/NNG+하/XSV+ㄹ/ETM
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있다”면서도	있/VX+다/EF+”/SS+면서/EC+도/JX
“그렇게	“/SS+그렇/VA+게/EC
많은	많/VA+은/ETM
피를	피/NNG+를/JKO
흘리고,	흘리/VV+고/EC+,/SP
그렇게	그렇/VA+게/EC
학살을	학살/NNG+을/JKO
저지르고	저지르/VV+고/EC
나서는	나/VX+아서/EC+는/JX
전쟁	전쟁/NNG
전의	전/NNG+의/JKG
상태로	상태/NNG+로/JKB
되돌아갈	되돌아가/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
인식해야만	인식/NNG+하/XSV+아야/EC+만/JX
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.133.7.2
시리아의 바샤르 아사드 정권의 퇴진이 불가피함을 강조한 것이다.

시리아의	시리아/NNP+의/JKG
바샤르	바샤르/NNP
아사드	아사드/NNP
정권의	정권/NNG+의/JKG
퇴진이	퇴진/NNG+이/JKS
불가피함을	불가피하/VA+ㅁ/ETN+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.133.7.3
그는 “위험한 흐름이 우리를 더욱 무질서한 어두운 세계로 퇴보시킬 위험이 있다.

그는	그/NP+는/JX
“위험한	“/SS+위험/NNG+하/XSA+ㄴ/ETM
흐름이	흐름/NNG+이/JKS
우리를	우리/NP+를/JKO
더욱	더욱/MAG
무질서한	무/XPN+질서/NNG+하/XSA+ㄴ/ETM
어두운	어둡/VA+ㄴ/ETM
세계로	세계/NNG+로/JKB
퇴보시킬	퇴보/NNG+시키/XSV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.133.7.4
국제질서를 무시하고 군사력으로 질서를 세우려는 강대국들도 이에 포함돼 있다”며 아사드 정권을 지원하며 시리아에서 군사 활동을 강화하고 있는 러시아를 비난하기도 했다.

국제질서를	국제/NNG+질서/NNG+를/JKO
무시하고	무시/NNG+하/XSV+고/EC
군사력으로	군사력/NNG+으로/JKB
질서를	질서/NNG+를/JKO
세우려는	세우/VV+려는/ETM
강대국들도	강대국/NNG+들/XSN+도/JX
이에	이/NP+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
아사드	아사드/NNP
정권을	정권/NNG+을/JKO
지원하며	지원/NNG+하/XSV+며/EC
시리아에서	시리아/NNP+에서/JKB
군사	군사/NNG
활동을	활동/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
러시아를	러시아/NNP+를/JKO
비난하기도	비난/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.133.8.1
뒤이어 연설에 나선 푸틴 대통령은 “아사드의 군대와 민병대를 제외하고는 누구도 이슬람국가(IS)와 진정으로 싸우고 있지 않다”며 “시리아 정부 및 그 군대와 협력을 거부하는 것은 엄청난 실수”가 될 것이라고 주장했다.

뒤이어	뒤잇/VV+어/EC
연설에	연설/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
푸틴	푸틴/NNP
대통령은	대통령/NNG+은/JX
“아사드의	“/SS+아사드/NNP+의/JKG
군대와	군대/NNG+와/JKB
민병대를	민병대/NNG+를/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
누구도	누구/NP+도/JX
이슬람국가(IS)와	이슬람국가/NNP+(/SS+IS/SL+)/SS+와/JKB
진정으로	진정/NNG+으로/JKB
싸우고	싸우/VV+고/EC
있지	있/VX+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“시리아	“/SS+시리아/NNP
정부	정부/NNG
및	및/MAG
그	그/MMD
협력을	협력/NNG+을/JKO
거부하는	거부/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
엄청난	엄청나/VA+ㄴ/ETM
실수”가	실수/NNG+”/SS+가/JKC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.133.8.2
시리아 내전 해법에서 최대 난제인 아사드 정권 퇴진 여부를 놓고 러시아와 미국이 한치의 양보도 없이 맞선 것이다.

시리아	시리아/NNP
내전	내전/NNG
해법에서	해법/NNG+에서/JKB
최대	최대/NNG
난제인	난제/NNG+이/VCP+ㄴ/ETM
아사드	아사드/NNP
정권	정권/NNG
퇴진	퇴진/NNG
여부를	여부/NNG+를/JKO
놓고	놓/VV+고/EC
러시아와	러시아/NNP+와/JC
미국이	미국/NNP+이/JKS
한치의	한/MMN+치/NNB+의/JKG
양보도	양보/NNG+도/JX
없이	없이/MAG
맞선	맞서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.133.8.3
이날 연설 뒤 오바마와 푸틴은 90분간의 정상회담을 열어, 아사드 정권 문제와 관련한 이견을 해소하지는 못했으나 협력의 필요성은 확인했다.

이날	이날/NNG
연설	연설/NNG
뒤	뒤/NNG
오바마와	오바마/NNP+와/JC
푸틴은	푸틴/NNP+은/JX
90분간의	90/SN+분/NNB+간/XSN+의/JKG
정상회담을	정상/NNG+회담/NNG+을/JKO
열어,	열/VV+어/EC+,/SP
아사드	아사드/NNP
정권	정권/NNG
문제와	문제/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
이견을	이견/NNG+을/JKO
해소하지는	해소/NNG+하/XSV+지/EC+는/JX
못했으나	못하/VX+았/EP+으나/EC
협력의	협력/NNG+의/JKG
필요성은	필요/NNG+성/XSN+은/JX
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.133.9.1
그런 가운데서도 시리아 내전 해법 찾기에서 소득이 없었던 것은 아니다.

그런	그런/MMD
가운데서도	가운데/NNG+서/JKB+도/JX
시리아	시리아/NNP
내전	내전/NNG
해법	해법/NNG
찾기에서	찾/VV+기/ETN+에서/JKB
소득이	소득/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000048.133.9.2
시리아 내전을 악화시키는 극단주의 무장세력 이슬람국가(IS)에 맞서는 폭넓은 국제사회의 연대가 가시화될 조짐이다.

시리아	시리아/NNP
내전을	내전/NNG+을/JKO
악화시키는	악화/NNG+시키/XSV+는/ETM
극단주의	극단주의/NNG
무장세력	무장/NNG+세력/NNG
이슬람국가(IS)에	이슬람국가/NNP+(/SS+IS/SL+)/SS+에/JKB
맞서는	맞서/VV+는/ETM
폭넓은	폭넓/VA+은/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
연대가	연대/NNG+가/JKS
가시화될	가시/NNG+화/XSN+되/XSV+ㄹ/ETM
조짐이다.	조짐/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.133.9.3
푸틴은 2차대전 때의 반히틀러 동맹을 예로 들며 ‘폭넓은 국제동맹’을 제안했고, 유럽 국가들도 호응했다.

푸틴은	푸틴/NNP+은/JX
2차대전	2/SN+차/NNB+대전/NNG
때의	때/NNG+의/JKG
반히틀러	반/XPN+히틀러/NNP
동맹을	동맹/NNG+을/JKO
예로	예/NNG+로/JKB
들며	들/VV+며/EC
‘폭넓은	‘/SS+폭넓/VA+은/ETM
국제동맹’을	국제/NNG+동맹/NNG+’/SS+을/JKO
제안했고,	제안/NNG+하/XSV+았/EP+고/EC+,/SP
유럽	유럽/NNP
국가들도	국가/NNG+들/XSN+도/JX
호응했다.	호응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.133.9.4
현재 유엔 안보리 의장국인 러시아는 시리아 사태와 관련해 러시아·미국·이란·사우디아라비아·터키·이집트의 국제회의를 제안했고, 영국·프랑스·독일은 긍정적으로 반응하고 있다.

현재	현재/MAG
유엔	유엔/NNP
안보리	안보리/NNG
의장국인	의장국/NNG+이/VCP+ㄴ/ETM
러시아는	러시아/NNP+는/JX
시리아	시리아/NNP
사태와	사태/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
러시아·미국·이란·사우디아라비아·터키·이집트의	러시아/NNP+·/SP+미국/NNP+·/SP+이란/NNP+·/SP+사우디아라비아/NNP+·/SP+터키/NNP+·/SP+이집트/NNP+의/JKG
국제회의를	국제회의/NNG+를/JKO
제안했고,	제안/NNG+하/XSV+았/EP+고/EC+,/SP
