# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.179
metadata : {}


# id : NWRW1800000044.179.1.1
의정부, 국내 첫 ‘컬링 전용경기장’ 세운다

의정부,	의정부/NNP+,/SP
국내	국내/NNG
첫	첫/MMN
‘컬링	‘/SS+컬링/NNG
전용경기장’	전용/NNG+경기장/NNG+’/SS
세운다	세우/VV+ㄴ다/EF


# id : NWRW1800000044.179.2.1
[한겨레] 녹양동 빙상장 인근에

[한겨레]	[/SS+한겨레/NNP+]/SS
녹양동	녹양동/NNP
빙상장	빙상장/NNG
인근에	인근/NNG+에/JKB


# id : NWRW1800000044.179.3.1
65억 들여 올해안 착공

65억	65/SN+억/NR
들여	들이/VV+어/EC
올해안	올해/NNG+안/NNG
착공	착공/NNG


# id : NWRW1800000044.179.4.1
지난달 소치 겨울올림픽에 처음 출전해 강호 일본과 미국, 러시아를 연파하며 주목을 끌었던 컬링의 국내 첫 국제규격 전용경기장이 경기도 의정부시에 세워진다.

지난달	지난달/NNG
소치	소치/NNP
겨울올림픽에	겨울/NNG+올림픽/NNG+에/JKB
처음	처음/NNG
출전해	출전/NNG+하/XSV+아/EC
강호	강호/NNG
일본과	일본/NNP+과/JC
미국,	미국/NNP+,/SP
러시아를	러시아/NNP+를/JKO
연파하며	연파/NNG+하/XSV+며/EC
주목을	주목/NNG+을/JKO
끌었던	끌/VV+었/EP+던/ETM
컬링의	컬링/NNG+의/JKG
국내	국내/NNG
첫	첫/MMN
국제규격	국제/NNG+규격/NNG
전용경기장이	전용/NNG+경기장/NNG+이/JKS
경기도	경기도/NNP
의정부시에	의정부시/NNP+에/JKB
세워진다.	세우/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.179.5.1
경기도와 의정부시는 10일 의정부시청에서 “6레인 규모의 국제규격의 컬링 전용경기장을 의정부시 녹양동 빙상장 인근에 국·도비 등 65억원을 들여 올해 안에 착공할 계획”이라고 밝혔다.

경기도와	경기도/NNP+와/JC
의정부시는	의정부시/NNP+는/JX
10일	10/SN+일/NNB
의정부시청에서	의정부시청/NNP+에서/JKB
“6레인	“/SS+6/SN+레인/NNG
규모의	규모/NNG+의/JKG
국제규격의	국제/NNG+규격/NNG+의/JKG
컬링	컬링/NNG
전용경기장을	전용/NNG+경기장/NNG+을/JKO
의정부시	의정부시/NNP
녹양동	녹양동/NNP
빙상장	빙상장/NNG
인근에	인근/NNG+에/JKB
국·도비	국·도비/NNG
등	등/NNB
65억원을	65/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
올해	올해/NNG
안에	안/NNG+에/JKB
착공할	착공/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.179.5.2
현재 컬링경기장은 태릉선수촌과 경북 의성 등 2곳에 7개 레인이 있지만 국제규격을 갖추지 못해 연습장으로만 사용하고 있다.

현재	현재/MAG
컬링경기장은	컬링/NNG+경기장/NNG+은/JX
태릉선수촌과	태릉선수촌/NNP+과/JC
경북	경북/NNP
의성	의성/NNP
등	등/NNB
2곳에	2/SN+곳/NNG+에/JKB
7개	7/SN+개/NNB
레인이	레인/NNG+이/JKS
있지만	있/VA+지만/EC
국제규격을	국제/NNG+규격/NNG+을/JKO
갖추지	갖추/VV+지/EC
못해	못하/VX+아/EC
연습장으로만	연습장/NNG+으로/JKB+만/JX
사용하고	사용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.179.6.1
이창수 경기도 체육과장은 “동계올림픽에 국가대표로 출전한 경기도청 여자팀이 컬링과 경기도를 알리는 데 큰 역할을 해 평창올림픽을 앞두고 컬링팀이 많은 의정부에 컬링장을 짓기로 했다.

이창수	이창수/NNP
경기도	경기도/NNP
체육과장은	체육과장/NNG+은/JX
“동계올림픽에	“/SS+동계/NNG+올림픽/NNG+에/JKB
국가대표로	국가/NNG+대표/NNG+로/JKB
출전한	출전/NNG+하/XSV+ㄴ/ETM
경기도청	경기도청/NNP
여자팀이	여자/NNG+팀/NNG+이/JKS
컬링과	컬링/NNG+과/JC
경기도를	경기도/NNP+를/JKO
알리는	알리/VV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
해	하/VV+아/EC
평창올림픽을	평창/NNP+올림픽/NNG+을/JKO
앞두고	앞두/VV+고/EC
컬링팀이	컬링/NNG+팀/NNG+이/JKS
많은	많/VA+은/ETM
의정부에	의정부/NNP+에/JKB
컬링장을	컬링장/NNG+을/JKO
짓기로	짓/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.179.6.2
그동안 태릉선수촌과 의성을 오가며 힘겹게 훈련해온 선수들이 훈련에 전념할 수 있을 것”이라고 말했다.

그동안	그동안/NNG
태릉선수촌과	태릉선수촌/NNP+과/JC
의성을	의성/NNP+을/JKO
오가며	오가/VV+며/EC
힘겹게	힘겹/VA+게/EC
훈련해온	훈련/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
선수들이	선수/NNG+들/XSN+이/JKS
훈련에	훈련/NNG+에/JKB
전념할	전념/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.179.7.1
의정부시는 여러 국가대표 빙상 스타들을 배출해 ‘빙상의 메카’로 불리며, 시내 5개 중·고교에서 컬링팀을 운영하고 있다.

의정부시는	의정부시/NNP+는/JX
여러	여러/MMN
국가대표	국가/NNG+대표/NNG
빙상	빙상/NNG
스타들을	스타/NNG+들/XSN+을/JKO
배출해	배출/NNG+하/XSV+아/EC
‘빙상의	‘/SS+빙상/NNG+의/JKG
메카’로	메카/NNG+’/SS+로/JKB
불리며,	불리/VV+며/EC+,/SP
시내	시내/NNG
5개	5/SN+개/NNB
중·고교에서	중·고교/NNG+에서/JKB
컬링팀을	컬링/NNG+팀/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.179.7.2
의정부의 컬링팀은 지난달 열린 전국동계체전에서 남중·여중·여고부 우승을 휩쓸기도 했다.

의정부의	의정부/NNP+의/JKG
컬링팀은	컬링/NNG+팀/NNG+은/JX
지난달	지난달/NNG
열린	열리/VV+ㄴ/ETM
전국동계체전에서	전국/NNG+동계/NNG+체전/NNG+에서/JKB
남중·여중·여고부	남중/NNG+·/SP+여중/NNG+·/SP+여고부/NNG
우승을	우승/NNG+을/JKO
휩쓸기도	휩쓸/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.179.7.3
국가대표 가운데는 김지선(27)·김은지(24) 선수가 의정부 출신이다.

국가대표	국가/NNG+대표/NNG
가운데는	가운데/NNG+는/JX
김지선(27)·김은지(24)	김지선/NNP+(/SS+27/SN+)/SS+·/SP+김은지/NNP+(/SS+24/SN+)/SS
선수가	선수/NNG+가/JKS
