# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.197
metadata : {}


# id : NWRW1800000030.197.1.1
LG 이번엔 "자유투 미워" KT전 막판 못넣고, 내주고

LG	LG/SL
이번엔	이번/NNG+에/JKB+ㄴ/JX
"자유투	"/SS+자유투/NNG
미워"	밉/VA+어/EC+"/SS
KT전	KT전/NNG
막판	막판/NNG
못넣고,	못/MAG+넣/VV+고/EC+,/SP
내주고	내주/VV+고/EC


# id : NWRW1800000030.197.2.1
창원 LG는 '버저비터(buzzer beater)'란 말만 들어도 가슴이 철렁 내려앉는다.

창원	창원/NNP
LG는	LG/SL+는/JX
'버저비터(buzzer	'/SS+버저비터/NNG+(/SS+buzzer/SL
beater)'란	beater/SL+)/SS+'/SS+이/VCP+란/ETM
말만	말/NNG+만/JX
들어도	듣/VV+어도/EC
가슴이	가슴/NNG+이/JKS
철렁	철렁/MAG
내려앉는다.	내려앉/VV+는다/EF+./SF


# id : NWRW1800000030.197.2.2
버저비터란 쿼터나 경기 종료 또는 공격제한시간이 끝나기 직전 던져 들어가는 슛을 뜻한다.

버저비터란	버저비터/NNG+란/JX
쿼터나	쿼터/NNG+나/JC
경기	경기/NNG
종료	종료/NNG
또는	또는/MAG
공격제한시간이	공격/NNG+제한/NNG+시간/NNG+이/JKS
끝나기	끝나/VV+기/ETN
직전	직전/NNG
던져	던지/VV+어/EC
들어가는	들어가/VV+는/ETM
슛을	슛/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.197.3.1
LG는 25일 모비스전에서 송창용에게 종료 직전 3점슛을 얻어맞고 78대79로 졌다.

LG는	LG/SL+는/JX
25일	25/SN+일/NNB
모비스전에서	모비스전/NNG+에서/JKB
송창용에게	송창용/NNP+에게/JKB
종료	종료/NNG
직전	직전/NNG
3점슛을	3/SN+점/NNB+슛/NNG+을/JKO
얻어맞고	얻어맞/VV+고/EC
78대79로	78/SN+대/NNB+79/SN+로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.197.3.2
비디오 판독 결과 송창용의 슛은 3점이 아닌, 2점슛이었다.

비디오	비디오/NNG
판독	판독/NNG
결과	결과/NNG
송창용의	송창용/NNP+의/JKG
슛은	슛/NNG+은/JX
3점이	3/SN+점/NNB+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
2점슛이었다.	2/SN+점/NNB+슛/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.197.3.3
연장을 치러야 할 경기에서 심판의 오심 때문에 손도 못 써보고 패전의 멍에를 썼다.

연장을	연장/NNG+을/JKO
치러야	치르/VV+어야/EC
할	하/VX+ㄹ/ETM
경기에서	경기/NNG+에서/JKB
심판의	심판/NNG+의/JKG
오심	오심/NNG
때문에	때문/NNB+에/JKB
손도	손/NNG+도/JX
못	못/MAG
써보고	쓰/VV+어/EC+보/VX+고/EC
패전의	패전/NNG+의/JKG
멍에를	멍에/NNG+를/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.197.3.4
심판들이 2~3주 출장 정지 징계를 당했지만 승부를 되돌릴 순 없었다.

심판들이	심판/NNG+들/XSN+이/JKS
2~3주	2/SN+~/SO+3/SN+주/NNB
출장	출장/NNG
정지	정지/NNG
징계를	징계/NNG+를/JKO
당했지만	당하/VV+았/EP+지만/EC
승부를	승부/NNG+를/JKO
되돌릴	되돌리/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.197.4.1
LG는 지난해 11월 7일 KT전에서 종료 직전 제스퍼 존슨에게 역전 결승 3점포를 맞아 93대94로 졌고 지난달 25일 전자랜드와의 홈경기에선 종료 0.1초를 남기고 허버트 힐에게 골밑슛을 내주며 72대74로 분패했다.

LG는	LG/SL+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
7일	7/SN+일/NNB
KT전에서	KT전/NNG+에서/JKB
종료	종료/NNG
직전	직전/NNG
제스퍼	제스퍼/NNP
존슨에게	존슨/NNP+에게/JKB
역전	역전/NNG
결승	결승/NNG
3점포를	3/SN+점/NNB+포/NNG+를/JKO
맞아	맞/VV+아/EC
93대94로	93/SN+대/NNB+94/SN+로/JKB
졌고	지/VV+었/EP+고/EC
지난달	지난달/NNG
25일	25/SN+일/NNB
전자랜드와의	전자랜드/NNP+와/JKB+의/JKG
홈경기에선	홈경기/NNG+에서/JKB+ㄴ/JX
0.1초를	0/SN+./SP+1/SN+초/NNB+를/JKO
남기고	남기/VV+고/EC
허버트	허버트/NNP
힐에게	힐/NNP+에게/JKB
골밑슛을	골밑슛/NNG+을/JKO
내주며	내주/VV+며/EC
72대74로	72/SN+대/NNB+74/SN+로/JKB
분패했다.	분패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.197.4.2
이길 수 있었던 경기를 막판에 내줘버리면 정신적인 충격과 상실감이 오래간다.

이길	이기/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
경기를	경기/NNG+를/JKO
막판에	막판/NNG+에/JKB
내줘버리면	내주/VV+어/EC+버리/VX+면/EC
정신적인	정신/NNG+적/XSN+이/VCP+ㄴ/ETM
