# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.217
metadata : {}


# id : NWRW1800000041.217.1.1
[단독]中, 법정관리 STX다롄 한국인 직원 출국금지

[단독]中,	[/SS+단독/NNG+]/SS+中/SH+,/SP
법정관리	법정/NNG+관리/NNG
STX다롄	STX다롄/NNP
한국인	한국인/NNG
직원	직원/NNG
출국금지	출국/NNG+금지/NNG


# id : NWRW1800000041.217.2.1
中법원 8월 사장 등 4명에 조치, 사유 불명확… 자금유출 우려 추정 부사장 喪 당했는데도 귀국 불허… 범죄 아닌데 제재, 외교마찰 가능성

中법원	中/SH+법원/NNG
8월	8/SN+월/NNB
사장	사장/NNG
등	등/NNB
4명에	4/SN+명/NNB+에/JKB
조치,	조치/NNG+,/SP
사유	사유/NNG
불명확…	불명확/NNG+…/SE
자금유출	자금/NNG+유출/NNG
우려	우려/NNG
추정	추정/NNG
부사장	부사장/NNG
喪	喪/SH
당했는데도	당하/VV+았/EP+는데/EC+도/JX
귀국	귀국/NNG
불허…	불허/NNG+…/SE
범죄	범죄/NNG
아닌데	아니/VCN+ㄴ데/EC
제재,	제재/NNG+,/SP
외교마찰	외교/NNG+마찰/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000041.217.3.1
중국 법원이 기업회생절차(옛 법정관리)를 신청한 STX조선해양의 중국조선소인 STX다롄 임직원들을 출국금지한 뒤 풀어주지 않아 한 달째 발이 묶여 있는 것으로 29일 알려졌다.

중국	중국/NNP
법원이	법원/NNG+이/JKS
기업회생절차(옛	기업/NNG+회생/NNG+절차/NNG+(/SS+옛/MMA
법정관리)를	법정/NNG+관리/NNG+)/SS+를/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
STX조선해양의	STX조선해양/NNP+의/JKG
중국조선소인	중국/NNP+조선소/NNG+이/VCP+ㄴ/ETM
STX다롄	STX다롄/NNP
임직원들을	임직원/NNG+들/XSN+을/JKO
출국금지한	출국/NNG+금지/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
풀어주지	풀/VV+어/EC+주/VX+지/EC
않아	않/VX+아/EC
한	한/MMN
달째	달/NNB+째/XSN
발이	발/NNG+이/JKS
묶여	묶이/VV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
29일	29/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.217.3.2
형사 범죄 혐의가 아닌 파산 관련 절차에 있는 한국 기업인의 출입국이 제한된 것은 드문 일이다.

형사	형사/NNG
범죄	범죄/NNG
혐의가	혐의/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
파산	파산/NNG
관련	관련/NNG
절차에	절차/NNG+에/JKB
있는	있/VA+는/ETM
한국	한국/NNP
기업인의	기업인/NNG+의/JKG
출입국이	출입국/NNG+이/JKS
제한된	제한/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
드문	드물/VA+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.217.4.1
법조계에 따르면 중국에서 기업회생절차 중인 STX다롄 소속 박모 사장(STX조선해양 상무), 허모 부사장 등 4명은 지난달 중국 법원으로부터 출국금지 조치를 당했다.

법조계에	법조/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
중국에서	중국/NNP+에서/JKB
기업회생절차	기업/NNG+회생/NNG+절차/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
STX다롄	STX다롄/NNP
소속	소속/NNG
박모	박/NNP+모/NP
사장(STX조선해양	사장/NNG+(/SS+STX조선해양/NNP
상무),	상무/NNG+)/SS+,/SP
허모	허/NNP+모/NP
부사장	부사장/NNG
등	등/NNB
4명은	4/SN+명/NNB+은/JX
지난달	지난달/NNG
중국	중국/NNP
법원으로부터	법원/NNG+으로부터/JKB
출국금지	출국/NNG+금지/NNG
조치를	조치/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.217.4.2
특히 허 부사장은 최근 누나가 별세해 한국 귀국을 요청했지만 거절당했고, 박 사장도 부친의 병세가 크게 악화된 상황이라고 설명했지만 출국금지를 풀어주지 않았다고 한다.

특히	특히/MAG
허	허/NNP
부사장은	부사장/NNG+은/JX
최근	최근/MAG
누나가	누나/NNG+가/JKS
별세해	별세/NNG+하/XSV+아/EC
한국	한국/NNP
귀국을	귀국/NNG+을/JKO
요청했지만	요청/NNG+하/XSV+았/EP+지만/EC
거절당했고,	거절/NNG+당하/XSV+았/EP+고/EC+,/SP
박	박/NNP
사장도	사장/NNG+도/JX
부친의	부친/NNG+의/JKG
병세가	병세/NNG+가/JKS
크게	크/VA+게/EC
악화된	악화/NNG+되/XSV+ㄴ/ETM
상황이라고	상황/NNG+이/VCP+라고/EC
설명했지만	설명/NNG+하/XSV+았/EP+지만/EC
출국금지를	출국/NNG+금지/NNG+를/JKO
풀어주지	풀/VV+어/EC+주/VX+지/EC
않았다고	않/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.217.4.3
STX 본사에서 이들이 “다시 중국으로 돌아갈 것”이라는 보증서까지 제출했지만 허사였다.

STX	STX/SL
본사에서	본사/NNG+에서/JKB
이들이	이/NP+들/XSN+이/JKS
“다시	“/SS+다시/MAG
중국으로	중국/NNP+으로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
보증서까지	보증서/NNG+까지/JX
제출했지만	제출/NNG+하/XSV+았/EP+지만/EC
허사였다.	허사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.217.5.1
STX조선해양은 6월 중국 다롄(大連) 중급인민법원으로부터 조선, 중공업, 해양중공업, 엔진, 금속, 중형장비 유한공사 등 STX다롄 내 6개 법인에 대해 한국의 기업회생절차에 해당하는 ‘중정(重整)’ 절차 개시를 승인받았다.

STX조선해양은	STX조선해양/NNP+은/JX
6월	6/SN+월/NNB
중국	중국/NNP
다롄(大連)	다롄/NNP+(/SS+大連/SH+)/SS
중급인민법원으로부터	중급/NNG+인민/NNG+법원/NNG+으로부터/JKB
조선,	조선/NNG+,/SP
중공업,	중공업/NNG+,/SP
해양중공업,	해양/NNG+중공업/NNG+,/SP
엔진,	엔진/NNG+,/SP
금속,	금속/NNG+,/SP
중형장비	중형/NNG+장비/NNG
유한공사	유한/NNG+공사/NNG
등	등/NNB
STX다롄	STX다롄/NNP
내	내/NNB
6개	6/SN+개/NNB
법인에	법인/NNG+에/JKB
대해	대하/VV+아/EC
한국의	한국/NNP+의/JKG
기업회생절차에	기업/NNG+회생/NNG+절차/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
‘중정(重整)’	‘/SS+중정/NNG+(/SS+重整/SH+)/SS+’/SS
절차	절차/NNG
개시를	개시/NNG+를/JKO
승인받았다.	승인/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.217.5.2
한국 대기업으로선 이례적인 중국 내 기업회생절차로 기업 정상화의 청신호로 보는 이들이 많았다.

한국	한국/NNP
대기업으로선	대/XPN+기업/NNG+으로서/JKB+ㄴ/JX
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
중국	중국/NNP
내	내/NNB
기업회생절차로	기업/NNG+회생/NNG+절차/NNG+로/JKB
기업	기업/NNG
정상화의	정상/NNG+화/XSN+의/JKG
청신호로	청신호/NNG+로/JKB
보는	보/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.217.6.1
그러나 기업회생절차에 들어간 뒤 일부 임직원이 출국금지 당한 뒤 이유조차 명확하게 듣지 못한 상황이다.

그러나	그러나/MAJ
기업회생절차에	기업/NNG+회생/NNG+절차/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
뒤	뒤/NNG
일부	일부/NNG
임직원이	임직원/NNG+이/JKS
출국금지	출국/NNG+금지/NNG
당한	당하/VV+ㄴ/ETM
이유조차	이유/NNG+조차/JX
명확하게	명확하/VA+게/EC
듣지	듣/VV+지/EC
못한	못하/VX+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.217.6.2
일단 출국이 금지된 이유로 알려진 것은 “중국 내 자금과 기술의 한국 유출 우려” 때문이라고 한다.

일단	일단/MAG
출국이	출국/NNG+이/JKS
금지된	금지/NNG+되/XSV+ㄴ/ETM
이유로	이유/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
것은	것/NNB+은/JX
“중국	“/SS+중국/NNP
내	내/NNB
자금과	자금/NNG+과/JC
기술의	기술/NNG+의/JKG
한국	한국/NNP
유출	유출/NNG
우려”	우려/NNG+”/SS
때문이라고	때문/NNB+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.217.6.3
베이징과 다롄의 정통한 한 소식통은 “법원이 지방정부(다롄 시)에 문의했지만 답이 없다고만 한다”면서 “지방정부와 법원이 서로 책임을 떠넘기고 있는 측면이 없지 않다”고 전했다.

베이징과	베이징/NNP+과/JC
다롄의	다롄/NNP+의/JKG
정통한	정통/NNG+하/XSV+ㄴ/ETM
한	한/MMN
소식통은	소식통/NNG+은/JX
“법원이	“/SS+법원/NNG+이/JKS
지방정부(다롄	지방/NNG+정부/NNG+(/SS+다롄/NNP
시)에	시/NNG+)/SS+에/JKB
문의했지만	문의/NNG+하/XSV+았/EP+지만/EC
답이	답/NNG+이/JKS
없다고만	없/VA+다고/EC+만/JX
한다”면서	하/VV+ㄴ다/EF+”/SS+면서/EC
“지방정부와	“/SS+지방/NNG+정부/NNG+와/JC
법원이	법원/NNG+이/JKS
서로	서로/MAG
책임을	책임/NNG+을/JKO
떠넘기고	떠넘기/VV+고/EC
있는	있/VX+는/ETM
측면이	측면/NNG+이/JKS
없지	없/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.217.6.4
선양총영사관 다롄 대표처도 나서서 법원에 공문을 보냈으며, 회사 측이 주중 한국대사관 권영세 대사에게도 도움을 요청했다.

선양총영사관	선양총영사관/NNP
다롄	다롄/NNP
대표처도	대표/NNG+처/NNG+도/JX
나서서	나서/VV+어서/EC
법원에	법원/NNG+에/JKB
공문을	공문/NNG+을/JKO
보냈으며,	보내/VV+었/EP+으며/EC+,/SP
회사	회사/NNG
측이	측/NNB+이/JKS
주중	주중/NNG
한국대사관	한국대사관/NNP
권영세	권영세/NNP
대사에게도	대사/NNG+에게/JKB+도/JX
도움을	도움/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.217.7.1
형사 절차에 의한 수사기관의 출국금지 조치만이 가능한 한국과는 달리, 중국은 민사소송 등 다양한 경우에 법원이 직권으로 출국금지 조치를 내릴 수 있도록 하고 있다.

형사	형사/NNG
절차에	절차/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
수사기관의	수사/NNG+기관/NNG+의/JKG
출국금지	출국/NNG+금지/NNG
조치만이	조치/NNG+만/JX+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
한국과는	한국/NNP+과/JKB+는/JX
달리,	달리/MAG+,/SP
중국은	중국/NNP+은/JX
민사소송	민사/NNG+소송/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
경우에	경우/NNG+에/JKB
법원이	법원/NNG+이/JKS
직권으로	직권/NNG+으로/JKB
조치를	조치/NNG+를/JKO
내릴	내리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VX+고/EC
