# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.155
metadata : {}


# id : NWRW1800000046.155.1.1
[교육의 미래를 묻는다] (5) 세계교원단체연합회 수전 호프굿 회장

[교육의	[/SS+교육/NNG+의/JKG
핀란드도 학업 성적이 아주 우수한 나라인데, 그 힘은 교사에게 전폭적으로 자율권을 주는 데서 나온다."

핀란드도	핀란드/NNP+도/JX
학업	학업/NNG
성적이	성적/NNG+이/JKS
아주	아주/MAG
우수한	우수/NNG+하/XSA+ㄴ/ETM
나라인데,	나라/NNG+이/VCP+ㄴ데/EC+,/SP
그	그/MMD
힘은	힘/NNG+은/JX
교사에게	교사/NNG+에게/JKB
전폭적으로	전폭/NNG+적/XSN+으로/JKB
자율권을	자율/NNG+권/XSN+을/JKO
주는	주/VV+는/ETM
데서	데/NNB+서/JKB
나온다."	나오/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000046.155.7.1
-한국도 치열한 경쟁을 거쳐 교사가 된다.

-한국도	-/SO+한국/NNP+도/JX
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁을	경쟁/NNG+을/JKO
거쳐	거치/VV+어/EC
교사가	교사/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.155.7.2
그러나 교사들의 직업 만족도는 그리 높지 않다.

그러나	그러나/MAJ
교사들의	교사/NNG+들/XSN+의/JKG
직업	직업/NNG
만족도는	만족도/NNG+는/JX
그리	그리/MAG
높지	높/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000046.155.8.1
"교사들은 더 좋은 근로 조건, 사회로부터의 존중을 중시한다.

"교사들은	"/SS+교사/NNG+들/XSN+은/JX
더	더/MAG
좋은	좋/VA+은/ETM
근로	근로/NNG
조건,	조건/NNG+,/SP
사회로부터의	사회/NNG+로부터/JKB+의/JKG
존중을	존중/NNG+을/JKO
중시한다.	중시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.155.8.2
여기서 말하는 존중은 교사를 둘러싼 환경이 교사를 신뢰하고 자율권을 주는 것이다.

여기서	여기/NP+서/JKB
말하는	말/NNG+하/XSV+는/ETM
존중은	존중/NNG+은/JX
교사를	교사/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
환경이	환경/NNG+이/JKS
신뢰하고	신뢰/NNG+하/XSV+고/EC
자율권을	자율/NNG+권/XSN+을/JKO
주는	주/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.155.8.3
예를 들어 내가 가르친 호주에선 교사 지위가 상당히 높지만, 여러 사회 문제의 원인을 교사에게 돌리고 비난하는 일들이 많다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
내가	내/NP+가/JKS
가르친	가르치/VV+ㄴ/ETM
호주에선	호주/NNP+에서/JKB+ㄴ/JX
교사	교사/NNG
지위가	지위/NNG+가/JKS
상당히	상당히/MAG
높지만,	높/VA+지만/EC+,/SP
여러	여러/MMN
사회	사회/NNG
문제의	문제/NNG+의/JKG
원인을	원인/NNG+을/JKO
교사에게	교사/NNG+에게/JKB
돌리고	돌리/VV+고/EC
비난하는	비난/NNG+하/XSV+는/ETM
일들이	일/NNG+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.155.8.4
그런 사회일수록 교사 역할에 대해 의문을 품는 사람들이 늘어난다."

그런	그런/MMD
사회일수록	사회/NNG+이/VCP+ㄹ수록/EC
교사	교사/NNG
역할에	역할/NNG+에/JKB
대해	대하/VV+아/EC
의문을	의문/NNG+을/JKO
품는	품/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
늘어난다."	늘어나/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000046.155.9.1
-우리나라 학생들은 학업 성취도 수준이 높은데 행복감은 낮다.

-우리나라	-/SO+우리나라/NNG
학생들은	학생/NNG+들/XSN+은/JX
학업	학업/NNG
성취도	성취도/NNG
수준이	수준/NNG+이/JKS
높은데	높/VA+은데/EC
행복감은	행복감/NNG+은/JX
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000046.155.9.2
이런 문제를 어떻게 해결할 수 있을까.

이런	이런/MMD
문제를	문제/NNG+를/JKO
어떻게	어떻/VA+게/EC
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000046.155.10.1
"한국 정부는 지금 뭘 하고 있는가?

"한국	"/SS+한국/NNP
정부는	정부/NNG+는/JX
지금	지금/MAG
뭘	뭐/NP+ㄹ/JKO
하고	하/VV+고/EC
있는가?	있/VX+는가/EF+?/SF


# id : NWRW1800000046.155.10.2
한국 정부는 아이들을 매일 몰아치고 있다.

한국	한국/NNP
정부는	정부/NNG+는/JX
아이들을	아이/NNG+들/XSN+을/JKO
매일	매일/MAG
몰아치고	몰아치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.155.10.3
많은 아이들이 성적 때문에 자살하는 게 정상인지 돌아봐야 한다.

많은	많/VA+은/ETM
아이들이	아이/NNG+들/XSN+이/JKS
성적	성적/NNG
때문에	때문/NNB+에/JKB
자살하는	자살/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
정상인지	정상/NNG+이/VCP+ㄴ지/EC
돌아봐야	돌아보/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.155.10.4
그런 압박 없어도 아이들은 충분히 자기 일을 잘 성취해낼 수 있다.

그런	그런/MMD
압박	압박/NNG
없어도	없/VA+어도/EC
아이들은	아이/NNG+들/XSN+은/JX
충분히	충분히/MAG
자기	자기/NP
일을	일/NNG+을/JKO
잘	잘/MAG
성취해낼	성취/NNG+하/XSV+아/EC+내/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.155.10.5
정부와 교사는 학생들이 자기 길을 찾도록 북돋워주면 된다.

정부와	정부/NNG+와/JC
교사는	교사/NNG+는/JX
학생들이	학생/NNG+들/XSN+이/JKS
자기	자기/NP
길을	길/NNG+을/JKO
찾도록	찾/VV+도록/EC
북돋워주면	북돋우/VV+어/EC+주/VX+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.155.10.6
중요한 건 '한 가지 길'만 있는 게 아니고 '다른 길'이 있다는 걸 알려 주는 것이다."

중요한	중요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
'한	'/SS+한/MMN
가지	가지/NNB
길'만	길/NNG+'/SS+만/JX
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니고	아니/VCN+고/EC
'다른	'/SS+다른/MMD
길'이	길/NNG+'/SS+이/JKS
있다는	있/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
알려	알리/VV+어/EC
주는	주/VX+는/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000046.155.11.1
-한국 교육의 또 다른 심각한 문제가 사교육이다.

-한국	-/SO+한국/NNP
교육의	교육/NNG+의/JKG
또	또/MAG
다른	다른/MMD
심각한	심각하/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
사교육이다.	사교육/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.155.12.1
"근본적으로 한국 교육이 경쟁적이고 아이들에게 압박을 주기 때문이다.

"근본적으로	"/SS+근본/NNG+적/XSN+으로/JKB
한국	한국/NNP
교육이	교육/NNG+이/JKS
경쟁적이고	경쟁/NNG+적/XSN+이/VCP+고/EC
아이들에게	아이/NNG+들/XSN+에게/JKB
압박을	압박/NNG+을/JKO
주기	주/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.155.12.2
이런 정책이 바뀌지 않는 한 사교육 문제도 바뀌지 않을 것이다."

이런	이런/MMD
정책이	정책/NNG+이/JKS
바뀌지	바뀌/VV+지/EC
않는	않/VX+는/ETM
한	한/NNG
사교육	사교육/NNG
문제도	문제/NNG+도/JX
않을	않/VX+을/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000046.155.13.1
-한국에선 일부 교사들이 교실에서 이념적으로 편향된 내용을 가르쳐 논란이 되는 경우가 있다.

-한국에선	-/SO+한국/NNP+에서/JKB+ㄴ/JX
일부	일부/NNG
교사들이	교사/NNG+들/XSN+이/JKS
교실에서	교실/NNG+에서/JKB
이념적으로	이념/NNG+적/XSN+으로/JKB
편향된	편향/NNG+되/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
가르쳐	가르치/VV+어/EC
논란이	논란/NNG+이/JKC
되는	되/VV+는/ETM
경우가	경우/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.155.14.1
"어떤 교사가 정치적으로 편향됐을지라도, 사회의 다양한 생각을 배우게 하고 아이들을 도전적이고 비판적이며 개방적인 사고를 하는 인간으로 길러낸다면 문제가 아니다.

"어떤	"/SS+어떤/MMD
교사가	교사/NNG+가/JKS
정치적으로	정치/NNG+적/XSN+으로/JKB
편향됐을지라도,	편향/NNG+되/XSV+었/EP+을지라도/EC+,/SP
사회의	사회/NNG+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
생각을	생각/NNG+을/JKO
배우게	배우/VV+게/EC
하고	하/VX+고/EC
아이들을	아이/NNG+들/XSN+을/JKO
도전적이고	도전/NNG+적/XSN+이/VCP+고/EC
비판적이며	비판/NNG+적/XSN+이/VCP+며/EC
개방적인	개방/NNG+적/XSN+이/VCP+ㄴ/ETM
사고를	사고/NNG+를/JKO
하는	하/VV+는/ETM
인간으로	인간/NNG+으로/JKB
길러낸다면	기르/VV+어/EC+내/VX+ㄴ다면/EC
문제가	문제/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.155.14.2
다만 어떤 생각이 옳고 그르고가 아니라 다양한 의견을 모두 소개하고 토론하는 식으로 접근해야 할 책임이 교사에게 있다."

다만	다만/MAG
어떤	어떤/MMD
생각이	생각/NNG+이/JKS
옳고	옳/VA+고/EC
그르고가	그르/VA+고/EC+가/JKC
아니라	아니/VCN+라/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
의견을	의견/NNG+을/JKO
모두	모두/MAG
소개하고	소개/NNG+하/XSV+고/EC
토론하는	토론/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
접근해야	접근/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
책임이	책임/NNG+이/JKS
교사에게	교사/NNG+에게/JKB
있다."	있/VA+다/EF+./SF+"/SS


