# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.49
metadata : {}


# id : NWRW1800000028.49.1.1
중 왕자루이 오늘 방북

중	중/NNP
왕자루이	왕자루이/NNP
오늘	오늘/MAG
방북	방북/NNG


# id : NWRW1800000028.49.2.1
왕자루이 중국 공산당 대외연락부장이 6일 전격 방북할 것으로 알려졌다.

왕자루이	왕자루이/NNP
중국	중국/NNP
공산당	공산당/NNP
대외연락부장이	대외/NNG+연락부장/NNG+이/JKS
6일	6/SN+일/NNB
전격	전격/NNG
방북할	방북/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.49.2.2
북핵 6자회담의 의장국인 중국이 회담 재개를 위해 본격적인 중재활동을 시작하는 신호여서, 오랫동안 교착상태에 빠져 있는 6자회담이 재개될 수 있을지 주목된다.

북핵	북핵/NNG
6자회담의	6/SN+자/NNB+회담/NNG+의/JKG
의장국인	의장국/NNG+이/VCP+ㄴ/ETM
중국이	중국/NNP+이/JKS
회담	회담/NNG
재개를	재개/NNG+를/JKO
위해	위하/VV+아/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
중재활동을	중재/NNG+활동/NNG+을/JKO
시작하는	시작/NNG+하/XSV+는/ETM
신호여서,	신호/NNG+이/VCP+어서/EC+,/SP
오랫동안	오랫동안/NNG
교착상태에	교착/NNG+상태/NNG+에/JKB
빠져	빠지/VV+어/EC
있는	있/VX+는/ETM
6자회담이	6/SN+자/NNB+회담/NNG+이/JKS
재개될	재개/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.49.3.1
베이징의 한 외교소식통은 5일 “왕자루이 부장이 6일 북한을 방문한다”며 “왕자루이는 북한과 6자회담 재개, 김정일 국방위원장의 방중, 경제지원 문제 등을 논의할 것으로 예상된다”고 전했다.

베이징의	베이징/NNP+의/JKG
한	한/MMN
외교소식통은	외교/NNG+소식통/NNG+은/JX
5일	5/SN+일/NNB
“왕자루이	“/SS+왕자루이/NNP
부장이	부장/NNG+이/JKS
6일	6/SN+일/NNB
북한을	북한/NNP+을/JKO
방문한다”며	방문/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“왕자루이는	“/SS+왕자루이/NNP+는/JX
북한과	북한/NNP+과/JKB
6자회담	6/SN+자/NNB+회담/NNG
재개,	재개/NNG+,/SP
김정일	김정일/NNP
국방위원장의	국방/NNG+위원장/NNG+의/JKG
방중,	방중/NNG+,/SP
경제지원	경제/NNG+지원/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다”고	예상/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.49.3.2
왕 부장은 9일쯤 귀국할 것으로 알려졌다.

왕	왕/NNP
부장은	부장/NNG+은/JX
9일쯤	9/SN+일/NNB+쯤/XSN
귀국할	귀국/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.49.3.3
베이징의 또다른 소식통도 “왕자루이 부장이 매년 초 관례적으로 북한을 방문해 왔으며, 6자회담과 북한 화폐개혁 이후의 상황 등 현재 정세를 고려하면 올해는 특별한 의미가 있을 것”이라고 말했다.

베이징의	베이징/NNP+의/JKG
또다른	또/MAG+다른/MMD
소식통도	소식통/NNG+도/JX
“왕자루이	“/SS+왕자루이/NNP
부장이	부장/NNG+이/JKS
매년	매년/MAG
초	초/NNB
관례적으로	관례/NNG+적/XSN+으로/JKB
북한을	북한/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
왔으며,	오/VX+았/EP+으며/EC+,/SP
6자회담과	6/SN+자/NNB+회담/NNG+과/JKB
북한	북한/NNP
화폐개혁	화폐/NNG+개혁/NNG
이후의	이후/NNG+의/JKG
상황	상황/NNG
등	등/NNB
현재	현재/MAG
정세를	정세/NNG+를/JKO
고려하면	고려/NNG+하/XSV+면/EC
올해는	올해/NNG+는/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.49.4.1
왕 부장이 평양에서 김정일 국방위원장을 만나고, 김 위원장이 6자회담 복귀를 천명할 가능성에 관심이 집중된다.

왕	왕/NNP
부장이	부장/NNG+이/JKS
평양에서	평양/NNP+에서/JKB
김정일	김정일/NNP
국방위원장을	국방/NNG+위원장/NNG+을/JKO
만나고,	만나/VV+고/EC+,/SP
김	김/NNP
위원장이	위원장/NNG+이/JKS
6자회담	6/SN+자/NNB+회담/NNG
복귀를	복귀/NNG+를/JKO
천명할	천명/NNG+하/XSV+ㄹ/ETM
가능성에	가능/NNG+성/XSN+에/JKB
관심이	관심/NNG+이/JKS
집중된다.	집중/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.49.4.2
왕 부장은 6자회담이 교착상태에 빠질 때마다 중국 ‘특사’로 북한을 방문해 회담 재개의 물꼬를 터왔다.

왕	왕/NNP
부장은	부장/NNG+은/JX
6자회담이	6/SN+자/NNB+회담/NNG+이/JKS
교착상태에	교착/NNG+상태/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
중국	중국/NNP
‘특사’로	‘/SS+특사/NNG+’/SS+로/JKB
북한을	북한/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
회담	회담/NNG
재개의	재개/NNG+의/JKG
물꼬를	물꼬/NNG+를/JKO
터왔다.	트/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.49.5.1
외교 분야의 전직 고위 당국자는 “지난해 중국의 다이빙궈 국무위원과 원자바오 총리가 이미 북한을 다녀온 상황인데 이번에도 북한이 회담에 나오지 않으면 중국의 위상이 말이 아니게 된다”며 중국이 북한의 6자회담 복귀를 이끌 수 있다는 판단을 내리고 움직이기 시작한 것으로 분석했다.

외교	외교/NNG
분야의	분야/NNG+의/JKG
전직	전직/NNG
고위	고위/NNG
당국자는	당국자/NNG+는/JX
“지난해	“/SS+지난해/NNG
중국의	중국/NNP+의/JKG
다이빙궈	다이빙궈/NNP
국무위원과	국무/NNG+위원/NNG+과/JC
원자바오	원자바오/NNP
총리가	총리/NNG+가/JKS
이미	이미/MAG
북한을	북한/NNP+을/JKO
다녀온	다녀오/VV+ㄴ/ETM
상황인데	상황/NNG+이/VCP+ㄴ데/EC
이번에도	이번/NNG+에/JKB+도/JX
북한이	북한/NNP+이/JKS
회담에	회담/NNG+에/JKB
나오지	나오/VV+지/EC
않으면	않/VX+으면/EC
위상이	위상/NNG+이/JKS
말이	말/NNG+이/JKC
아니게	아니/VCN+게/EC
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
중국이	중국/NNP+이/JKS
북한의	북한/NNP+의/JKG
6자회담	6/SN+자/NNB+회담/NNG
복귀를	복귀/NNG+를/JKO
이끌	이끌/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단을	판단/NNG+을/JKO
내리고	내리/VV+고/EC
움직이기	움직이/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.49.5.2
북한이 화폐개혁 이후 생필품 부족과 인플레이션 문제로 어려움을 겪고 있는 상황에서, 왕 부장이 중국의 추가 경제원조를 지렛대 삼아 북한의 6자회담 복귀를 설득할 것으로 전문가들은 내다봤다.

북한이	북한/NNP+이/JKS
화폐개혁	화폐/NNG+개혁/NNG
이후	이후/NNG
생필품	생필품/NNG
부족과	부족/NNG+과/JC
인플레이션	인플레이션/NNG
문제로	문제/NNG+로/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
상황에서,	상황/NNG+에서/JKB+,/SP
왕	왕/NNP
부장이	부장/NNG+이/JKS
중국의	중국/NNP+의/JKG
추가	추가/NNG
경제원조를	경제/NNG+원조/NNG+를/JKO
지렛대	지렛대/NNG
삼아	삼/VV+아/EC
북한의	북한/NNP+의/JKG
6자회담	6/SN+자/NNB+회담/NNG
복귀를	복귀/NNG+를/JKO
설득할	설득/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전문가들은	전문가/NNG+들/XSN+은/JX
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.49.5.3
또한 원자바오 총리가 지난해 10월 방북 때 김정일 위원장을 초청한 만큼, 관련 논의도 이뤄질 것으로 예상된다.

또한	또한/MAG
원자바오	원자바오/NNP
총리가	총리/NNG+가/JKS
지난해	지난해/NNG
10월	10/SN+월/NNB
방북	방북/NNG
때	때/NNG
김정일	김정일/NNP
위원장을	위원장/NNG+을/JKO
초청한	초청/NNG+하/XSV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
관련	관련/NNG
논의도	논의/NNG+도/JX
이뤄질	이뤄지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


