# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.23
metadata : {}


# id : NWRW1800000046.23.1.1
[깨알지식] 아프리카 지부티에 왜 군사기지 몰리나

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
아프리카	아프리카/NNP
지부티에	지부티/NNP+에/JKB
왜	왜/MAG
군사기지	군사/NNG+기지/NNG
몰리나	몰리/VV+나/EF


# id : NWRW1800000046.23.2.1
중국이 아프리카 북동부의 작은 나라 '지부티'에 군사기지를 건설하기 위해 지부티와 협상하고 있다고 홍콩 명보(明報)가 11일 보도했다.

중국이	중국/NNP+이/JKS
아프리카	아프리카/NNP
북동부의	북동부/NNG+의/JKG
작은	작/VA+은/ETM
나라	나라/NNG
'지부티'에	'/SS+지부티/NNP+'/SS+에/JKB
군사기지를	군사/NNG+기지/NNG+를/JKO
건설하기	건설/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지부티와	지부티/NNP+와/JKB
협상하고	협상/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
홍콩	홍콩/NNP
명보(明報)가	명보/NNP+(/SS+明報/SH+)/SS+가/JKS
11일	11/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.23.2.2
현재 지부티에는 미국·일본·프랑스 등이 군사기지를 운영하고 있다.

현재	현재/MAG
지부티에는	지부티/NNP+에/JKB+는/JX
미국·일본·프랑스	미국/NNP+·/SP+일본/NNP+·/SP+프랑스/NNP
등이	등/NNB+이/JKS
군사기지를	군사/NNG+기지/NNG+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.23.2.3
지부티에 어떤 지정학적 중요성이 있는 것일까?

지부티에	지부티/NNP+에/JKB
어떤	어떤/MMD
지정학적	지정학/NNG+적/XSN
중요성이	중요/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000046.23.3.1
지부티는 수에즈 운하가 있는 홍해와 아덴 만을 연결하는 길목에 있다.

지부티는	지부티/NNP+는/JX
수에즈	수에즈/NNP
운하가	운하/NNG+가/JKS
있는	있/VA+는/ETM
홍해와	홍해/NNP+와/JC
아덴	아덴/NNP
만을	만/NNG+을/JKO
연결하는	연결/NNG+하/XSV+는/ETM
길목에	길목/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.23.3.2
수에즈 운하를 통해 유럽과 아시아를 오가는 상선(商船)은 반드시 지부티를 지나야 한다.

수에즈	수에즈/NNP
운하를	운하/NNG+를/JKO
통해	통하/VV+아/EC
유럽과	유럽/NNP+과/JC
아시아를	아시아/NNP+를/JKO
오가는	오가/VV+는/ETM
상선(商船)은	상선/NNG+(/SS+商船/SH+)/SS+은/JX
반드시	반드시/MAG
지부티를	지부티/NNP+를/JKO
지나야	지나/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.23.3.3
문제는 지부티 앞바다가 소말리아 해적이 출몰하는 아덴 만으로 이어진다는 점이다.

문제는	문제/NNG+는/JX
지부티	지부티/NNP
앞바다가	앞바다/NNG+가/JKS
소말리아	소말리아/NNP
해적이	해적/NNG+이/JKS
출몰하는	출몰/NNG+하/XSV+는/ETM
아덴	아덴/NNP
만으로	만/NNG+으로/JKB
이어진다는	이어지/VV+ㄴ다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.23.3.4
이 때문에 미·일 등은 지부티를 소말리아 해적 소탕을 위한 전진 기지로 삼고 있다.

이	이/NP
때문에	때문/NNB+에/JKB
미·일	미/NNP+·/SP+일/NNP
등은	등/NNB+은/JX
지부티를	지부티/NNP+를/JKO
소말리아	소말리아/NNP
해적	해적/NNG
소탕을	소탕/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
전진	전진/NNG
기지로	기지/NNG+로/JKB
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.23.4.1
소말리아는 사실상 무정부 상태이기 때문에 미·일 등이 군사기지를 운영하기가 어렵다.

소말리아는	소말리아/NNP+는/JX
사실상	사실/NNG+상/XSN
무정부	무/XPN+정부/NNG
상태이기	상태/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
미·일	미/NNP+·/SP+일/NNP
등이	등/NNB+이/JKS
군사기지를	군사/NNG+기지/NNG+를/JKO
운영하기가	운영/NNG+하/XSV+기/ETN+가/JKS
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000046.23.4.2
반면 소말리아와 맞붙은 지부티는 정치가 비교적 안정돼 있다.

반면	반면/NNG
소말리아와	소말리아/NNP+와/JKB
맞붙은	맞붙/VV+은/ETM
지부티는	지부티/NNP+는/JX
정치가	정치/NNG+가/JKS
비교적	비교/NNG+적/XSN
안정돼	안정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.23.4.3
군사 기지 건설에 대해 협상할 상대편 정부가 있다는 얘기다.

군사	군사/NNG
기지	기지/NNG
건설에	건설/NNG+에/JKB
대해	대하/VV+아/EC
협상할	협상/NNG+하/XSV+ㄹ/ETM
상대편	상대편/NNG
정부가	정부/NNG+가/JKS
있다는	있/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.23.4.4
종족이 복잡한 다른 아프리카 국가와 달리 지부티는 2개 종족(소말리족과 아파르족)이 인구의 95%를 차지한다.

종족이	종족/NNG+이/JKS
복잡한	복잡하/VA+ㄴ/ETM
다른	다른/MMD
아프리카	아프리카/NNP
국가와	국가/NNG+와/JKB
달리	달리/MAG
지부티는	지부티/NNP+는/JX
2개	2/SN+개/NNB
종족(소말리족과	종족/NNG+(/SS+소말리족/NNP+과/JC
아파르족)이	아파르족/NNP+)/SS+이/JKS
인구의	인구/NNG+의/JKG
95%를	95/SN+%/SW+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.23.4.5
우리나라 청해 부대도 지부티에서 물자를 공급받는다.

우리나라	우리나라/NNG
청해	청해/NNP
부대도	부대/NNG+도/JX
지부티에서	지부티/NNP+에서/JKB
물자를	물자/NNG+를/JKO
공급받는다.	공급/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000046.23.5.1
미국은 중동지역 대(對)테러 작전의 거점으로도 지부티를 활용하고 있다.

미국은	미국/NNP+은/JX
중동지역	중동/NNP+지역/NNG
대(對)테러	대/NA+(/SS+對/SH+)/SS+테러/NNG
작전의	작전/NNG+의/JKG
거점으로도	거점/NNG+으로/JKB+도/JX
지부티를	지부티/NNP+를/JKO
활용하고	활용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.23.5.2
지부티 건너편은 이슬람 종파 간 내전(內戰)이 벌어지는 예멘이다.

지부티	지부티/NNP
건너편은	건너편/NNG+은/JX
이슬람	이슬람/NNG
종파	종파/NNG
간	간/NNB
내전(內戰)이	내전/NNG+(/SS+內戰/SH+)/SS+이/JKS
벌어지는	벌어지/VV+는/ETM
예멘이다.	예멘/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000046.23.6.1
지부티는 면적이 남한의 약 5분의 1이다.

지부티는	지부티/NNP+는/JX
면적이	면적/NNG+이/JKS
남한의	남한/NNP+의/JKG
약	약/MMA
5분의	5/SN+분/XSN+의/JKG
1이다.	1/SN+이/VCP+다/EF+./SF


# id : NWRW1800000046.23.6.2
인구 90여만명 중 94%가 이슬람교를 믿는다.

인구	인구/NNG
90여만명	90/SN+여/XSN+만/NR+명/NNB
중	중/NNB
94%가	94/SN+%/SW+가/JKS
이슬람교를	이슬람교/NNG+를/JKO
믿는다.	믿/VV+는다/EF+./SF


# id : NWRW1800000046.23.6.3
1977년 프랑스에서 독립했다.

1977년	1977/SN+년/NNB
프랑스에서	프랑스/NNP+에서/JKB
독립했다.	독립/NNG+하/XSV+았/EP+다/EF+./SF


