# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.68
metadata : {}


# id : NWRW1800000026.68.1.1
[밴쿠버 동계올림픽] 초반 '3+3 점프(트리플 러츠+트리플 토루프)'에 달렸다;쇼트 프로그램 관전 포인트 2분50초內 8가지 과제 중 첫 고난도 점프가 절반 차지

[밴쿠버	[/SS+밴쿠버/NNP
동계올림픽]	동계/NNG+올림픽/NNG+]/SS
초반	초반/NNG
'3+3	'/SS+3/SN++/SW+3/SN
점프(트리플	점프/NNG+(/SS+트리플/NNG
러츠+트리플	러츠/NNG++/SW+트리플/NNG
토루프)'에	토루프/NNG+)/SS+'/SS+에/JKB
달렸다;쇼트	달리/VV+었/EP+다/EF+;/SP+쇼트/NNG
프로그램	프로그램/NNG
관전	관전/NNG
포인트	포인트/NNG
2분50초內	2/SN+분/NNB+50/SN+초/NNB+內/SH
8가지	8/SN+가지/NNB
과제	과제/NNG
중	중/NNB
첫	첫/MMN
고난도	고/XPN+난도/NNG
점프가	점프/NNG+가/JKS
절반	절반/NNG
차지	차지/NNG


# id : NWRW1800000026.68.2.1
승리의 열쇠는 역시 '3회전+3회전' 연속 점프다.

승리의	승리/NNG+의/JKG
열쇠는	열쇠/NNG+는/JX
역시	역시/MAG
'3회전+3회전'	'/SS+3/SN+회전/NNG++/SW+3/SN+회전/NNG+'/SS
연속	연속/NNG
점프다.	점프/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.68.2.2
이 콤비네이션이 쇼트 프로그램 성패의 절반 이상을 차지한다 해도 지나치지 않다.

이	이/MMD
콤비네이션이	콤비네이션/NNG+이/JKS
쇼트	쇼트/NNG
프로그램	프로그램/NNG
성패의	성패/NNG+의/JKG
절반	절반/NNG
이상을	이상/NNG+을/JKO
차지한다	차지/NNG+하/XSV+ㄴ다/EF
해도	하/VV+아도/EC
지나치지	지나치/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000026.68.2.3
김연아가 24일 쇼트 프로그램에서 경쟁자들을 기죽이고, 26일 프리 스케이팅에서 훌쩍 달아나는 우승 공식을 되풀이하려면 무엇보다 첫 연기인 '3회전+3회전'의 성공이 중요하다.

김연아가	김연아/NNP+가/JKS
24일	24/SN+일/NNB
쇼트	쇼트/NNG
프로그램에서	프로그램/NNG+에서/JKB
경쟁자들을	경쟁자/NNG+들/XSN+을/JKO
기죽이고,	기죽이/VV+고/EC+,/SP
26일	26/SN+일/NNB
프리	프리/NNG
스케이팅에서	스케이팅/NNG+에서/JKB
훌쩍	훌쩍/MAG
달아나는	달아나/VV+는/ETM
우승	우승/NNG
공식을	공식/NNG+을/JKO
되풀이하려면	되풀이/NNG+하/XSV+려면/EC
무엇보다	무엇/NP+보다/JKB
첫	첫/MMN
연기인	연기/NNG+이/VCP+ㄴ/ETM
'3회전+3회전'의	'/SS+3/SN+회전/NNG++/SW+3/SN+회전/NNG+'/SS+의/JKG
성공이	성공/NNG+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.68.3.1
'피겨 퀸'의 쇼트 프로그램 음악은 영화 007시리즈의 '제임스 본드 메들리'.

'피겨	'/SS+피겨/NNG
퀸'의	퀸/NNG+'/SS+의/JKG
쇼트	쇼트/NNG
프로그램	프로그램/NNG
음악은	음악/NNG+은/JX
영화	영화/NNG
007시리즈의	007/SN+시리즈/NNG+의/JKG
'제임스	'/SS+제임스/NNP
본드	본드/NNP
메들리'.	메들리/NNG+'/SS+./SF


# id : NWRW1800000026.68.3.2
2분50초 이내에 8가지 규정 과제를 연기하는데, 점프는 세 가지다.

2분50초	2/SN+분/NNB+50/SN+초/NNB
이내에	이내/NNG+에/JKB
8가지	8/SN+가지/NNB
규정	규정/NNG
과제를	과제/NNG+를/JKO
연기하는데,	연기/NNG+하/XSV+는데/EC+,/SP
점프는	점프/NNG+는/JX
세	세/MMN
가지다.	가지/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.68.3.3
김연아는 '트리플 러츠+트리플 토루프' 콤비네이션(기본점수 10.0점)과 트리플 플립(기본점수 5.5점), 더블 악셀(기본점수 3.5점)을 뛴다.

김연아는	김연아/NNP+는/JX
'트리플	'/SS+트리플/NNG
러츠+트리플	러츠/NNG++/SW+트리플/NNG
토루프'	토루프/NNG+'/SS
콤비네이션(기본점수	콤비네이션/NNG+(/SS+기본/NNG+점수/NNG
10.0점)과	10/SN+./SP+0/SN+점/NNB+)/SS+과/JC
트리플	트리플/NNG
플립(기본점수	플립/NNG+(/SS+기본/NNG+점수/NNG
5.5점),	5/SN+./SP+5/SN+점/NNB+)/SS+,/SP
더블	더블/NNG
악셀(기본점수	악셀/NNG+(/SS+기본/NNG+점수/NNG
3.5점)을	3/SN+./SP+5/SN+점/NNB+)/SS+을/JKO
뛴다.	뛰/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.68.3.4
점프의 배점은 다른 기술보다 높아 실수하면 손실이 그만큼 크다.

점프의	점프/NNG+의/JKG
배점은	배점/NNG+은/JX
다른	다른/MMD
기술보다	기술/NNG+보다/JKB
높아	높/VA+아/EC
