# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.87
metadata : {}


# id : NWRW1800000038.87.1.1
[동인문학상] '마지막 티켓' 주인공… 이응준·강영숙·조해진

[동인문학상]	[/SS+동인/NNP+문학상/NNG+]/SS
'마지막	'/SS+마지막/NNG
티켓'	티켓/NNG+'/SS
주인공…	주인공/NNG+…/SE
이응준·강영숙·조해진	이응준/NNP+·/SP+강영숙/NNP+·/SP+조해진/NNP


# id : NWRW1800000038.87.2.1
1차 통과작 22편 확정… 내달 초 최종 수상작 결정

1차	1/SN+차/NNB
통과작	통과작/NNG
22편	22/SN+편/NNB
확정…	확정/NNG+…/SE
내달	내달/NNG
초	초/NNB
최종	최종/NNG
수상작	수상작/NNG
결정	결정/NNG


# id : NWRW1800000038.87.3.1
2013년도 동인문학상의 1차 관문인 월간 독회 통과 작품이 총 22편으로 확정됐다.

2013년도	2013/SN+년도/NNB
동인문학상의	동인/NNP+문학상/NNG+의/JKG
1차	1/SN+차/NNB
관문인	관문/NNG+이/VCP+ㄴ/ETM
월간	월간/NNG
독회	독회/NNG
통과	통과/NNG
작품이	작품/NNG+이/JKS
총	총/MMA
22편으로	22/SN+편/NNB+으로/JKB
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.87.4.1
동인문학상 심사위원회(김주영 김화영 오정희 이문열 정과리 신경숙)는 지난달 30일 올해 마지막 월간 독회인 8월 심사 독회를 갖고, 이응준 연작소설집 '밤의 첼로'(민음사), 강영숙 장편 '슬프고 유쾌한 텔레토비 소녀'(문학과지성사), 조해진 장편 '아무도 보지 못한 숲'(민음사) 등 3권을 최종심 후보작에 올렸다.

동인문학상	동인/NNP+문학상/NNG
심사위원회(김주영	심사/NNG+위원회/NNG+(/SS+김주영/NNP
김화영	김화영/NNP
오정희	오정희/NNP
이문열	이문열/NNP
정과리	정과리/NNP
신경숙)는	신경숙/NNP+)/SS+는/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
올해	올해/NNG
마지막	마지막/NNG
월간	월간/NNG
독회인	독회/NNG+이/VCP+ㄴ/ETM
8월	8/SN+월/NNB
심사	심사/NNG
독회를	독회/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
이응준	이응준/NNP
연작소설집	연작/NNG+소설집/NNG
'밤의	'/SS+밤/NNG+의/JKG
첼로'(민음사),	첼로/NNG+'/SS+(/SS+민음사/NNP+)/SS+,/SP
강영숙	강영숙/NNP
장편	장편/NNG
'슬프고	'/SS+슬프/VA+고/EC
유쾌한	유쾌/NNG+하/XSA+ㄴ/ETM
텔레토비	텔레토비/NNP
소녀'(문학과지성사),	소녀/NNG+'/SS+(/SS+문학과지성사/NNP+)/SS+,/SP
조해진	조해진/NNP
'아무도	'/SS+아무/NP+도/JX
보지	보/VV+지/EC
못한	못하/VX+ㄴ/ETM
숲'(민음사)	숲/NNG+'/SS+(/SS+민음사/NNP+)/SS
등	등/NNB
3권을	3/SN+권/NNB+을/JKO
최종심	최종심/NNG
후보작에	후보작/NNG+에/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.87.5.1
'밤의 첼로'는 약관 스무 살에 등단한 뒤 시·소설·영화 각 분야에서 전방위로 활약 중인 이응준(43)의 연작소설집.

'밤의	'/SS+밤/NNG+의/JKG
첼로'는	첼로/NNG+'/SS+는/JX
약관	약관/NNG
스무	스무/MMN
살에	살/NNB+에/JKB
등단한	등단/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
시·소설·영화	시/NNG+·/SP+소설/NNG+·/SP+영화/NNG
각	각/MMD
분야에서	분야/NNG+에서/JKB
전방위로	전방위/NNG+로/JKB
활약	활약/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
이응준(43)의	이응준/NNP+(/SS+43/SN+)/SS+의/JKG
연작소설집.	연작/NNG+소설집/NNG+./SF


# id : NWRW1800000038.87.5.2
얼핏 별개로 보이는 6개의 단편이지만, 각 소설 속의 인물과 사건이 퍼즐 조각이나 모자이크처럼 서로 겹치거나 충돌하며 유기적으로 연결된다.

얼핏	얼핏/MAG
별개로	별개/NNG+로/JKB
보이는	보이/VV+는/ETM
6개의	6/SN+개/NNB+의/JKG
단편이지만,	단편/NNG+이/VCP+지만/EC+,/SP
각	각/MMD
소설	소설/NNG
속의	속/NNG+의/JKG
인물과	인물/NNG+과/JC
사건이	사건/NNG+이/JKS
