# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.358
metadata : {}


# id : NWRW1800000033.358.1.1
[대선 트위터 민심 상황판]‘朴캠프 집안싸움’ 트윗 민심도 술렁

[대선	[/SS+대선/NNG
트위터	트위터/NNP
민심	민심/NNG
상황판]‘朴캠프	상황판/NNG+]/SS+‘/SS+朴/SH+캠프/NNG
집안싸움’	집안싸움/NNG+’/SS
트윗	트윗/NNG
민심도	민심/NNG+도/JX
술렁	술렁/XR


# id : NWRW1800000033.358.2.1
10월 4∼10일 분석

10월	10/SN+월/NNB
4∼10일	4/SN+∼/SO+10/SN+일/NNB
분석	분석/NNG


# id : NWRW1800000033.358.3.1
박근혜 새누리당 대선후보 캠프의 집안 싸움이 소셜네트워크서비스(SNS) 민심에도 적지 않은 영향을 미친 것으로 나타났다.

박근혜	박근혜/NNP
새누리당	새누리당/NNP
대선후보	대선/NNG+후보/NNG
캠프의	캠프/NNG+의/JKG
집안	집안/NNG
싸움이	싸움/NNG+이/JKS
소셜네트워크서비스(SNS)	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS
민심에도	민심/NNG+에/JKB+도/JX
적지	적/VA+지/EC
않은	않/VX+은/ETM
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.358.3.2
동아일보가 홍보기업 미디컴과 함께 소셜여론 분석기법(펄스K)을 활용해 추석 연휴 직후인 4일부터 대선을 70일 앞둔 10일 오후 5시까지 새누리당 박근혜, 민주통합당 문재인, 무소속 안철수 후보가 언급된 트윗(트위터 글)을 분석한 결과다.

동아일보가	동아일보/NNP+가/JKS
홍보기업	홍보/NNG+기업/NNG
미디컴과	미디컴/NNP+과/JKB
함께	함께/MAG
소셜여론	소셜/NNG+여론/NNG
분석기법(펄스K)을	분석/NNG+기법/NNG+(/SS+펄스/NNG+K/SL+)/SS+을/JKO
활용해	활용/NNG+하/XSV+아/EC
추석	추석/NNG
연휴	연휴/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
4일부터	4/SN+일/NNB+부터/JX
대선을	대선/NNG+을/JKO
70일	70/SN+일/NNB
앞둔	앞두/VV+ㄴ/ETM
10일	10/SN+일/NNB
오후	오후/NNG
5시까지	5/SN+시/NNB+까지/JX
새누리당	새누리당/NNP
박근혜,	박근혜/NNP+,/SP
민주통합당	민주통합당/NNP
문재인,	문재인/NNP+,/SP
무소속	무/XPN+소속/NNG
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
언급된	언급/NNG+되/XSV+ㄴ/ETM
트윗(트위터	트윗/NNG+(/SS+트위터/NNP
글)을	글/NNG+)/SS+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.358.4.1
이 기간에 안 후보는 13만1000여 건에서 언급돼 여전히 가장 강력한 SNS 관심도를 보였지만 박 후보도 12만1500여 건으로 뒤를 바짝 쫓았다.

이	이/MMD
기간에	기간/NNG+에/JKB
안	안/NNP
후보는	후보/NNG+는/JX
13만1000여	13/SN+만/NR+1000/SN+여/XSN
건에서	건/NNB+에서/JKB
언급돼	언급/NNG+되/XSV+어/EC
여전히	여전히/MAG
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
SNS	SNS/SL
관심도를	관심도/NNG+를/JKO
보였지만	보이/VV+었/EP+지만/EC
박	박/NNP
후보도	후보/NNG+도/JX
12만1500여	12/SN+만/NR+1500/SN+여/XSN
건으로	건/NNB+으로/JKB
뒤를	뒤/NNG+를/JKO
바짝	바짝/MAG
쫓았다.	쫓/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.358.4.2
추석 연휴 기간(9월 28일∼10월 3일) 조사에서 안 후보보다 5만6000여 건이나 적었던 점을 감안하면 박 후보의 SNS 관심도가 크게 증가한 셈이다.

추석	추석/NNG
연휴	연휴/NNG
기간(9월	기간/NNG+(/SS+9/SN+월/NNB
28일∼10월	28/SN+일/NNB+∼/SO+10/SN+월/NNB
3일)	3/SN+일/NNB+)/SS
조사에서	조사/NNG+에서/JKB
안	안/NNP
후보보다	후보/NNG+보다/JKB
5만6000여	5/SN+만/NR+6000/SN+여/XSN
건이나	건/NNB+이나/JX
적었던	적/VA+었/EP+던/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
박	박/NNP
후보의	후보/NNG+의/JKG
SNS	SNS/SL
관심도가	관심도/NNG+가/JKS
크게	크/VA+게/EC
증가한	증가/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.358.4.3
추석 연휴 동안 안 후보는 트윗 발생량에서 하루도 1위를 내주지 않았지만 4∼6일 3일간은 박 후보가 안 후보를 제치고 가장 많이 거론됐다.

추석	추석/NNG
연휴	연휴/NNG
동안	동안/NNG
안	안/NNP
