# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.107
metadata : {}


# id : NWRW1800000036.107.1.1
중 베이징~광저우 2298㎞ 8시간만에 주파

중	중/NNP
베이징~광저우	베이징/NNP+~/SO+광저우/NNP
2298㎞	2298/SN+㎞/SW
8시간만에	8/SN+시간/NNB+만/NNB+에/JKB
주파	주파/NNG


# id : NWRW1800000036.107.2.1
[한겨레] 세계최장 ‘징광 고속철’ 개통

[한겨레]	[/SS+한겨레/NNP+]/SS
세계최장	세계/NNG+최장/NNG
‘징광	‘/SS+징광/NNP
고속철’	고속철/NNG+’/SS
개통	개통/NNG


# id : NWRW1800000036.107.3.1
동서남북 잇는 ‘4종4횡’ 첫단추

동서남북	동서남북/NNG
잇는	잇/VV+는/ETM
‘4종4횡’	‘/SS+4/SN+종/NNG+4/SN+횡/NNG+’/SS
첫단추	첫/MMN+단추/NNG


# id : NWRW1800000036.107.4.1
2020년까지 12만㎞ 완공 목표

2020년까지	2020/SN+년/NNB+까지/JX
12만㎞	12/SN+만/NR+㎞/SW
완공	완공/NNG
목표	목표/NNG


# id : NWRW1800000036.107.5.1
경제활력 기대…안전성은 미지수

경제활력	경제/NNG+활력/NNG
기대…안전성은	기대/NNG+…/SE+안전/NNG+성/XSN+은/JX
미지수	미지수/NNG


# id : NWRW1800000036.107.6.1
마오쩌둥 탄생 119돌인 26일 오전 9시, 중국 베이징 서역에서 광저우행 고속열차 한 대가 출발했다.

마오쩌둥	마오쩌둥/NNP
탄생	탄생/NNG
119돌인	119/SN+돌/NNB+이/VCP+ㄴ/ETM
26일	26/SN+일/NNB
오전	오전/NNG
9시,	9/SN+시/NNB+,/SP
중국	중국/NNP
베이징	베이징/NNP
서역에서	서역/NNP+에서/JKB
광저우행	광저우행/NNG
고속열차	고속/NNG+열차/NNG
한	한/MMN
대가	대/NNB+가/JKS
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.107.6.2
한 시간 뒤 베이징에서 2298㎞ 떨어진 남부 광저우역에서도 또 한 대의 고속열차가 베이징을 향해 출발했다.

한	한/MMN
시간	시간/NNB
뒤	뒤/NNG
베이징에서	베이징/NNP+에서/JKB
2298㎞	2298/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
남부	남부/NNG
광저우역에서도	광저우/NNP+역/NNG+에서/JKB+도/JX
또	또/MAG
대의	대/NNB+의/JKG
고속열차가	고속/NNG+열차/NNG+가/JKS
베이징을	베이징/NNP+을/JKO
향해	향하/VV+아/EC
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.107.6.3
주장강, 창장강, 황허강 등 중국 대륙의 주요 강을 건너 두 고속철이 각각 베이징과 광저우 종착역에 도착한 것은 불과 8시간 뒤였다.

주장강,	주장강/NNP+,/SP
창장강,	창장강/NNP+,/SP
황허강	황허강/NNP
등	등/NNB
중국	중국/NNP
대륙의	대륙/NNG+의/JKG
주요	주요/NNG
강을	강/NNG+을/JKO
건너	건너/VV+어/EC
두	두/MMN
고속철이	고속철/NNG+이/JKS
각각	각각/MAG
베이징과	베이징/NNP+과/JC
광저우	광저우/NNP
종착역에	종착역/NNG+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
불과	불과/MAG
8시간	8/SN+시간/NNB
뒤였다.	뒤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.107.7.1
중국이 국토를 동서남북으로 잇는 ‘4종4횡’ 고속철 사업의 중요한 이정표를 세웠다.

중국이	중국/NNP+이/JKS
국토를	국토/NNG+를/JKO
동서남북으로	동서남북/NNG+으로/JKB
잇는	잇/VV+는/ETM
‘4종4횡’	‘/SS+4/SN+종/NNG+4/SN+횡/NNG+’/SS
