# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.97
metadata : {}


# id : NWRW1800000045.97.1.1
[와!글]김구라 결국 이혼… “아내 빚은 끝까지 책임”

[와!글]김구라	[/SS+와/IC+!/SF+글/NNG+]/SS+김구라/NNP
결국	결국/MAG
이혼…	이혼/NNG+…/SE
“아내	“/SS+아내/NNG
빚은	빚/NNG+은/JX
끝까지	끝/NNG+까지/JX
책임”	책임/NNG+”/SS


# id : NWRW1800000045.97.2.1
방송인 김구라(사진)가 결국 이혼을 선택했다.

방송인	방송인/NNG
김구라(사진)가	김구라/NNP+(/SS+사진/NNG+)/SS+가/JKS
결국	결국/MAG
이혼을	이혼/NNG+을/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.97.3.1
김구라는 소속사 라인엔터테인먼트를 통해 25일 “법원이 정해준 숙려기간을 거쳐 18년의 결혼생활을 합의이혼으로 마무리 지었다”고 밝혔다.

김구라는	김구라/NNP+는/JX
소속사	소속사/NNG
라인엔터테인먼트를	라인엔터테인먼트/NNP+를/JKO
통해	통하/VV+아/EC
25일	25/SN+일/NNB
“법원이	“/SS+법원/NNG+이/JKS
정해준	정하/VV+아/EC+주/VX+ㄴ/ETM
숙려기간을	숙려/NNG+기간/NNG+을/JKO
거쳐	거치/VV+어/EC
18년의	18/SN+년/NNB+의/JKG
결혼생활을	결혼/NNG+생활/NNG+을/JKO
합의이혼으로	합의/NNG+이혼/NNG+으로/JKB
마무리	마무리/NNG
지었다”고	짓/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.97.3.2
그는 “지난 2년 4개월간 (부인과) 많이 싸웠고 작년에 3개월간의 별거 시간도 가져봤다”며 “결국 좁혀지지 않는 다름을 인정했다”고 말했다.

그는	그/NP+는/JX
“지난	“/SS+지나/VV+ㄴ/ETM
2년	2/SN+년/NNB
4개월간	4/SN+개월/NNB+간/XSN
(부인과)	(/SS+부인/NNG+과/JKB+)/SS
많이	많이/MAG
싸웠고	싸우/VV+었/EP+고/EC
작년에	작년/NNG+에/JKB
3개월간의	3/SN+개월/NNB+간/XSN+의/JKG
별거	별거/NNG
시간도	시간/NNG+도/JX
가져봤다”며	가지/VV+어/EC+보/VX+았/EP+다/EF+”/SS+며/EC
“결국	“/SS+결국/MAG
좁혀지지	좁히/VV+어/EC+지/VX+지/EC
않는	않/VX+는/ETM
다름을	다르/VA+ㅁ/ETN+을/JKO
인정했다”고	인정/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.97.4.1
또한 그는 아들 동현 군에 대한 고마움을 전하며 “현재 고2인 동현은 성인이 될 때까지 함께 생활할 것이고 동현이가 성인이 돼 내릴 결정을 존중할 것”이라고 덧붙였다.

또한	또한/MAG
그는	그/NP+는/JX
아들	아들/NNG
동현	동현/NNP
군에	군/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
고마움을	고마움/NNG+을/JKO
전하며	전하/VV+며/EC
“현재	“/SS+현재/MAG
고2인	고/NNG+2/SN+이/VCP+ㄴ/ETM
동현은	동현/NNP+은/JX
성인이	성인/NNG+이/JKC
될	되/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
함께	함께/MAG
생활할	생활/NNG+하/XSV+ㄹ/ETM
것이고	것/NNB+이/VCP+고/EC
동현이가	동현이/NNP+가/JKS
돼	되/VV+어/EC
내릴	내리/VV+ㄹ/ETM
결정을	결정/NNG+을/JKO
존중할	존중/NNG+하/XSV+ㄹ/ETM
