# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.304
metadata : {}


# id : NWRW1800000049.304.1.1
5·18묘지 무릎꿇은 김종인에 “왜 왔나”… 봉하마을선 “힘내라”

5·18묘지	5/SN+·/SP+18/SN+묘지/NNG
무릎꿇은	무릎/NNG+꿇/VV+은/ETM
김종인에	김종인/NNP+에/JKB
“왜	“/SS+왜/MAG
왔나”…	오/VV+았/EP+나/EF+”/SS+…/SE
봉하마을선	봉하마을/NNP+서/JKB+ㄴ/JX
“힘내라”	“/SS+힘내/VV+라/EF+”/SS


# id : NWRW1800000049.304.2.1
金 “국보위에 차출된것” 거듭 사과… 김용갑 “적극 참여명단 포함” 반박 권양숙 여사 “총선 뭔가 보인다”… 안철수 봉하 방문때 냉대와 대조

金	金/SH
“국보위에	“/SS+국보위/NNP+에/JKB
차출된것”	차출/NNG+되/XSV+ㄴ/ETM+것/NNB+”/SS
거듭	거듭/MAG
사과…	사과/NNG+…/SE
김용갑	김용갑/NNP
“적극	“/SS+적극/NNG
참여명단	참여/NNG+명단/NNG
포함”	포함/NNG+”/SS
반박	반박/NNG
권양숙	권양숙/NNP
여사	여사/NNG
“총선	“/SS+총선/NNG
뭔가	뭐/NP+이/VCP+ㄴ가/EF
보인다”…	보이/VV+ㄴ다/EF+”/SS+…/SE
안철수	안철수/NNP
봉하	봉하/NNP
방문때	방문/NNG+때/NNG
냉대와	냉대/NNG+와/JKB
대조	대조/NNG


# id : NWRW1800000049.304.3.1
31일 오후 경남 김해시 봉하마을 고 노무현 전 대통령 묘역.

31일	31/SN+일/NNB
오후	오후/NNG
경남	경남/NNP
김해시	김해시/NNP
봉하마을	봉하마을/NNP
고	고/MMA
노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
묘역.	묘역/NNG+./SF


# id : NWRW1800000049.304.3.2
더불어민주당 김종인 비상대책위원장 겸 선거대책위원장 일행이 나타나자 지지자들 사이에선 “김종인 멋지다. 박수!” “힘을 팍팍 실어주자” 등 응원이 터져 나왔다.

더불어민주당	더불어민주당/NNP
김종인	김종인/NNP
비상대책위원장	비상/NNG+대책/NNG+위원장/NNG
겸	겸/NNB
선거대책위원장	선거/NNG+대책/NNG+위원장/NNG
일행이	일행/NNG+이/JKS
나타나자	나타나/VV+자/EC
지지자들	지지자/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
“김종인	“/SS+김종인/NNP
멋지다.	멋지/VA+다/EF+./SF
박수!”	박수/NNG+!/SF+”/SS
“힘을	“/SS+힘/NNG+을/JKO
팍팍	팍팍/MAG
실어주자”	싣/VV+어/EC+주/VX+자/EF+”/SS
등	등/NNB
응원이	응원/NNG+이/JKS
터져	터지/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.3.3
권양숙 여사는 “최선을 다해 한번 해봅시다. 이번 총선에서 뭔가 보이는 것 같으니 열심히 해 달라”고 말했다.

권양숙	권양숙/NNP
여사는	여사/NNG+는/JX
“최선을	“/SS+최선/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
한번	한번/MAG
해봅시다.	하/VV+아/EC+보/VX+ㅂ시다/EF+./SF
이번	이번/NNG
총선에서	총선/NNG+에서/JKB
뭔가	뭐/NP+이/VCP+ㄴ가/EF
보이는	보이/VV+는/ETM
것	것/NNB
같으니	같/VA+으니/EC
열심히	열심히/MAG
해	하/VV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.3.4
불과 20일 전 이곳을 찾은 안철수 의원에게 쏟아진 비난과는 대조적이었다.

불과	불과/MAG
20일	20/SN+일/NNB
전	전/NNG
이곳을	이곳/NP+을/JKO
찾은	찾/VV+은/ETM
안철수	안철수/NNP
의원에게	의원/NNG+에게/JKB
쏟아진	쏟아지/VV+ㄴ/ETM
비난과는	비난/NNG+과/JKB+는/JX
대조적이었다.	대조/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.304.3.5
이날 오전에 찾은 광주와도 전혀 다른 분위기였다.

이날	이날/NNG
오전에	오전/NNG+에/JKB
찾은	찾/VV+은/ETM
광주와도	광주/NNP+와/JKB+도/JX
전혀	전혀/MAG
다른	다르/VA+ㄴ/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.304.4.1
○ 5·18 묘지에 무릎 꿇었지만…

○	○/SW
5·18	5/SN+·/SP+18/SN
묘지에	묘지/NNG+에/JKB
무릎	무릎/NNG
꿇었지만…	꿇/VV+었/EP+지만/EC+…/SE


# id : NWRW1800000049.304.5.1
지난달 29일 여야가 합의한 기업활력제고특별법(일명 원샷법)과 북한인권법 처리를 무산시킨 더불어민주당 김종인 위원장과 지도부는 이튿날 곧바로 광주로 달려갔다.

지난달	지난달/NNG
29일	29/SN+일/NNB
여야가	여야/NNG+가/JKS
합의한	합의/NNG+하/XSV+ㄴ/ETM
기업활력제고특별법(일명	기업/NNG+활력/NNG+제고/NNG+특별법/NNG+(/SS+일명/NNG
원샷법)과	원샷법/NNG+)/SS+과/JC
북한인권법	북한/NNP+인권법/NNG
처리를	처리/NNG+를/JKO
무산시킨	무산/NNG+시키/XSV+ㄴ/ETM
더불어민주당	더불어민주당/NNP
김종인	김종인/NNP
위원장과	위원장/NNG+과/JC
지도부는	지도부/NNG+는/JX
이튿날	이튿날/NNG
곧바로	곧바로/MAG
광주로	광주/NNP+로/JKB
달려갔다.	달려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.5.2
자신의 과거 국가보위비상대책위원회(국보위) 참여 전력 논란을 진화하기 위해서다.

자신의	자신/NNG+의/JKG
과거	과거/NNG
국가보위비상대책위원회(국보위)	국가보위비상대책위원회/NNP+(/SS+국보위/NNP+)/SS
참여	참여/NNG
전력	전력/NNG
논란을	논란/NNG+을/JKO
진화하기	진화/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000049.304.5.3
31일 오후 봉하마을 방문에 앞서 오전엔 광주 국립5·18민주묘지를 참배했다.

31일	31/SN+일/NNB
오후	오후/NNG
봉하마을	봉하마을/NNP
방문에	방문/NNG+에/JKB
앞서	앞서/VV+어/EC
오전엔	오전/NNG+에/JKB+ㄴ/JX
광주	광주/NNP
국립5·18민주묘지를	국립5·18민주묘지/NNP+를/JKO
참배했다.	참배/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.5.4
윤상원·박기순 열사 묘 앞에선 무릎을 꿇었다.

윤상원·박기순	윤상원/NNP+·/SP+박기순/NNP
열사	열사/NNG
묘	묘/NNG
앞에선	앞/NNG+에서/JKB+ㄴ/JX
무릎을	무릎/NNG+을/JKO
꿇었다.	꿇/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.304.5.5
김 위원장은 전날에도 “국보위에 차출되다시피 들어가 나라를 위해 일했다 해도 진심으로 사과드린다”고 했다.

김	김/NNP
위원장은	위원장/NNG+은/JX
전날에도	전날/NNG+에/JKB+도/JX
“국보위에	“/SS+국보위/NNP+에/JKB
차출되다시피	차출/NNG+되/XSV+다시피/EC
들어가	들어가/VV+아/EC
나라를	나라/NNG+를/JKO
위해	위하/VV+아/EC
일했다	일/NNG+하/XSV+았/EP+다/EF
해도	하/VV+아도/EC
진심으로	진심/NNG+으로/JKB
사과드린다”고	사과/NNG+드리/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.6.1
하지만 일부 5·18민주화운동 단체 관계자 30여 명은 이날 ‘국보위 참여 후회 없다는 사람은 참배할 자격이 없다’ ‘전두환 때 받은 훈장을 반납하고 와라’ 등의 문구를 적은 피켓을 들고 항의했다.

하지만	하지만/MAJ
일부	일부/NNG
5·18민주화운동	5/SN+·/SP+18/SN+민주/NNG+화/XSN+운동/NNG
단체	단체/NNG
관계자	관계자/NNG
30여	30/SN+여/XSN
명은	명/NNB+은/JX
이날	이날/NNG
‘국보위	‘/SS+국보위/NNP
참여	참여/NNG
후회	후회/NNG
없다는	없/VA+다는/ETM
사람은	사람/NNG+은/JX
참배할	참배/NNG+하/XSV+ㄹ/ETM
자격이	자격/NNG+이/JKS
없다’	없/VA+다/EF+’/SS
‘전두환	‘/SS+전두환/NNP
때	때/NNG
받은	받/VV+은/ETM
훈장을	훈장/NNG+을/JKO
반납하고	반납/NNG+하/XSV+고/EC
와라’	오/VV+아라/EF+’/SS
등의	등/NNB+의/JKG
문구를	문구/NNG+를/JKO
적은	적/VV+은/ETM
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.7.1
○ 김용갑 “김종인, 국보위 적극 참여 의사” 주장

○	○/SW
김용갑	김용갑/NNP
“김종인,	“/SS+김종인/NNP+,/SP
국보위	국보위/NNP
적극	적극/NNG
참여	참여/NNG
의사”	의사/NNG+”/SS
주장	주장/NNG


# id : NWRW1800000049.304.8.1
그러자 새누리당 김용갑 상임고문은 이날 한 언론 인터뷰에서 “김 위원장은 국보위에 적극적인 참여 의사가 있었던 인사 명단에 포함돼 있었다”며 “강제로 차출됐다는 것은 말이 되지 않는다”고 주장했다.

그러자	그러/VV+자/EC
새누리당	새누리당/NNP
김용갑	김용갑/NNP
상임고문은	상임/NNG+고문/NNG+은/JX
이날	이날/NNG
한	한/MMN
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“김	“/SS+김/NNP
위원장은	위원장/NNG+은/JX
국보위에	국보위/NNP+에/JKB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
참여	참여/NNG
의사가	의사/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
인사	인사/NNG
명단에	명단/NNG+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
있었다”며	있/VX+었/EP+다/EF+”/SS+며/EC
“강제로	“/SS+강제/NNG+로/JKB
차출됐다는	차출/NNG+되/XSV+었/EP+다는/ETM
것은	것/NNB+은/JX
말이	말/NNG+이/JKC
되지	되/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.8.2
김 고문은 국보위 구성 당시 국가안전기획부(현 국가정보원) 기조실장이었다.

김	김/NNP
고문은	고문/NNG+은/JX
국보위	국보위/NNP
구성	구성/NNG
당시	당시/NNG
국가안전기획부(현	국가/NNG+안전/NNG+기획부/NNG+(/SS+현/MMD
국가정보원)	국가/NNG+정보원/NNG+)/SS
기조실장이었다.	기조실장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.304.8.3
이에 김 위원장은 “당시 부가세 폐지 문제에 대한 입장을 정리해 달라고 해서 국보위에 가게 된 것”이라고 반박했다.

이에	이/NP+에/JKB
김	김/NNP
위원장은	위원장/NNG+은/JX
“당시	“/SS+당시/NNG
부가세	부가세/NNG
폐지	폐지/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
정리해	정리/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
해서	하/VV+아서/EC
국보위에	국보위/NNP+에/JKB
가게	가/VV+게/EC
된	되/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.304.9.1
김 고문은 김 위원장이 1987년 개헌 당시 경제민주화를 헌법에 명시한 주역이라는 데 대해서도 “마치 자신이 저작권자처럼 얘기하지만 사실이 아니다”며 “당시 민정당에서 경제민주화를 강력하게 주장한 사람은 남재희 정책위의장이었다”고 주장했다.

김	김/NNP
고문은	고문/NNG+은/JX
위원장이	위원장/NNG+이/JKS
1987년	1987/SN+년/NNB
개헌	개헌/NNG
당시	당시/NNG
경제민주화를	경제/NNG+민주/NNG+화/XSN+를/JKO
헌법에	헌법/NNG+에/JKB
명시한	명시/NNG+하/XSV+ㄴ/ETM
주역이라는	주역/NNG+이/VCP+라는/ETM
데	데/NNB
