# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.141
metadata : {}


# id : NWRW1800000033.141.1.1
[문학예술]巨商 김만덕과 ‘아기장수’의 제주판 ‘사랑과 영혼’

[문학예술]巨商	[/SS+문학예술/NNG+]/SS+巨商/SH
김만덕과	김만덕/NNP+과/JC
‘아기장수’의	‘/SS+아기/NNG+장수/NNG+’/SS+의/JKG
제주판	제주판/NNG
‘사랑과	‘/SS+사랑/NNG+과/JC
영혼’	영혼/NNG+’/SS


# id : NWRW1800000033.141.2.1
◇꿈은 누가 꾸는가/현길언 지음/384쪽·1만4000원·물레

◇꿈은	◇/SW+꿈/NNG+은/JX
누가	누구/NP+가/JKS
꾸는가/현길언	꾸/VV+는가/EF+//SP+현길언/NNP
지음/384쪽·1만4000원·물레	짓/VV+음/ETN+//SP+384/SN+쪽/NNG+·/SP+1/SN+만/NR+4000/SN+원/NNB+·/SP+물레/NNP


# id : NWRW1800000033.141.3.1
책의 부제는 ‘섬의 여인, 김만덕’이다.

책의	책/NNG+의/JKG
부제는	부제/NNG+는/JX
‘섬의	‘/SS+섬/NNG+의/JKG
여인,	여인/NNG+,/SP
김만덕’이다.	김만덕/NNP+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000033.141.3.2
이 때문에 조선시대 제주의 거상(巨商) 김만덕(1739∼1812)의 생애를 그린 소설이라고 생각하기 쉽다.

이	이/NP
때문에	때문/NNB+에/JKB
조선시대	조선시대/NNG
제주의	제주/NNP+의/JKG
거상(巨商)	거상/NNG+(/SS+巨商/SH+)/SS
김만덕(1739∼1812)의	김만덕/NNP+(/SS+1739/SN+∼/SO+1812/SN+)/SS+의/JKG
생애를	생애/NNG+를/JKO
그린	그리/VV+ㄴ/ETM
소설이라고	소설/NNG+이/VCP+라고/EC
생각하기	생각/NNG+하/XSV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000033.141.3.3
그런 기대로 책장을 열었다면 뜻하게 않게 흘러가는 이야기에 당혹스러울 수 있다.

그런	그런/MMD
기대로	기대/NNG+로/JKB
책장을	책장/NNG+을/JKO
열었다면	열/VV+었/EP+다면/EC
뜻하게	뜻/NNG+하/XSV+게/EC
않게	않/VX+게/EC
흘러가는	흘러가/VV+는/ETM
이야기에	이야기/NNG+에/JKB
당혹스러울	당혹/NNG+스럽/XSA+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.141.3.4
엄밀히 말하면 이 소설은 주로 조선시대 조정에서 보낸 관리와 제주 토착 세력의 권력 대결을 그렸기 때문이다.

엄밀히	엄밀히/MAG
말하면	말/NNG+하/XSV+면/EC
이	이/MMD
소설은	소설/NNG+은/JX
주로	주로/MAG
조선시대	조선시대/NNG
조정에서	조정/NNG+에서/JKB
보낸	보내/VV+ㄴ/ETM
관리와	관리/NNG+와/JC
제주	제주/NNP
토착	토착/NNG
세력의	세력/NNG+의/JKG
권력	권력/NNG
대결을	대결/NNG+을/JKO
그렸기	그리/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.141.3.5
김만덕은 이 두 세력을 연결하고, 이야기의 흐름을 매끄럽게 이어 주는 역할에 그친다.

김만덕은	김만덕/NNP+은/JX
이	이/MMD
두	두/MMN
세력을	세력/NNG+을/JKO
연결하고,	연결/NNG+하/XSV+고/EC+,/SP
