# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.139
metadata : {}


# id : NWRW1800000045.139.1.1
부자-형제간 ‘경영권 골육상쟁’ 2년전에 롯데 사태 예견?

부자-형제간	부자/NNG+-/SO+형제간/NNG
‘경영권	‘/SS+경영/NNG+권/XSN
골육상쟁’	골육상쟁/NNG+’/SS
2년전에	2/SN+년/NNB+전/NNG+에/JKB
롯데	롯데/NNP
사태	사태/NNG
예견?	예견/NNG+?/SF


# id : NWRW1800000045.139.2.1
2013년 SBS드라마 ‘황금의 제국’

2013년	2013/SN+년/NNB
SBS드라마	SBS/SL+드라마/NNG
‘황금의	‘/SS+황금/NNG+의/JKG
제국’	제국/NNG+’/SS


# id : NWRW1800000045.139.3.1
롯데그룹 사태는 드라마 ‘황금의 제국’의 실사판?

롯데그룹	롯데그룹/NNP
사태는	사태/NNG+는/JX
드라마	드라마/NNG
‘황금의	‘/SS+황금/NNG+의/JKG
제국’의	제국/NNG+’/SS+의/JKG
실사판?	실사판/NNG+?/SF


# id : NWRW1800000045.139.4.1
롯데그룹의 형제간, 부자간 경영권 분쟁이 진흙탕 싸움으로 번지는 가운데 2013년 방영된 SBS 드라마 ‘황금의 제국’이 이번 사태와 유사한 설정과 인물 간 대립 구조로 재조명받고 있다.

롯데그룹의	롯데그룹/NNP+의/JKG
형제간,	형제간/NNG+,/SP
부자간	부자간/NNG
경영권	경영/NNG+권/XSN
분쟁이	분쟁/NNG+이/JKS
진흙탕	진흙탕/NNG
싸움으로	싸움/NNG+으로/JKB
번지는	번지/VV+는/ETM
가운데	가운데/NNG
2013년	2013/SN+년/NNB
방영된	방영/NNG+되/XSV+ㄴ/ETM
SBS	SBS/SL
드라마	드라마/NNG
‘황금의	‘/SS+황금/NNG+의/JKG
제국’이	제국/NNG+’/SS+이/JKS
이번	이번/NNG
사태와	사태/NNG+와/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
설정과	설정/NNG+과/JC
인물	인물/NNG
간	간/NNB
대립	대립/NNG
구조로	구조/NNG+로/JKB
재조명받고	재/XPN+조명/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.139.5.1
