# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.218
metadata : {}


# id : NWRW1800000030.218.1.1
[대구 세계육상 D-10] [재미있는 육상 이야기] 우주 올림픽에 지구 대표 1명을 보낸다면…

[대구	[/SS+대구/NNP
세계육상	세계/NNG+육상/NNG
D-10]	D/SL+-/SO+10/SN+]/SS
[재미있는	[/SS+재미있/VA+는/ETM
육상	육상/NNG
이야기]	이야기/NNG+]/SS
우주	우주/NNG
올림픽에	올림픽/NNG+에/JKB
지구	지구/NNG
대표	대표/NNG
1명을	1/SN+명/NNB+을/JKO
보낸다면…	보내/VV+ㄴ다면/EC+…/SE


# id : NWRW1800000030.218.2.1
•최강 가리는 10종 경기…이틀 동안 10개 종목에서 체력·파워·스피드 등 겨뤄

•최강	•/SW+최강/NNG
가리는	가리/VV+는/ETM
10종	10/SN+종/NNG
경기…이틀	경기/NNG+…/SE+이틀/NNG
동안	동안/NNG
10개	10/SN+개/NNB
종목에서	종목/NNG+에서/JKB
체력·파워·스피드	체력/NNG+·/SP+파워/NNG+·/SP+스피드/NNG
등	등/NNB
겨뤄	겨루/VV+어/EF


# id : NWRW1800000030.218.3.1
만약 '우주 올림픽'이 열려 지구 대표 한 명을 보내야 한다면 누구를 선발할까.

만약	만약/MAG
'우주	'/SS+우주/NNG
올림픽'이	올림픽/NNG+'/SS+이/JKS
열려	열리/VV+어/EC
지구	지구/NNG
대표	대표/NNG
한	한/MMN
명을	명/NNB+을/JKO
보내야	보내/VV+어야/EC
한다면	하/VX+ㄴ다면/EC
누구를	누구/NP+를/JKO
선발할까.	선발/NNG+하/XSV+ㄹ까/EF+./SF


# id : NWRW1800000030.218.3.2
미국 월스트리트저널은 2008년 스포츠 전문가를 대상으로 이와 같은 설문조사를 했다.

미국	미국/NNP
월스트리트저널은	월스트리트저널/NNP+은/JX
2008년	2008/SN+년/NNB
스포츠	스포츠/NNG
전문가를	전문가/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
이와	이/NP+와/JKB
같은	같/VA+은/ETM
설문조사를	설문/NNG+조사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.218.3.3
체력과 체격, 파워, 스피드, 유연성 등 여러 항목을 두고 선수의 능력치를 고루 평가했다.

체력과	체력/NNG+과/JC
체격,	체격/NNG+,/SP
파워,	파워/NNG+,/SP
스피드,	스피드/NNG+,/SP
유연성	유연성/NNG
등	등/NNB
여러	여러/MMN
항목을	항목/NNG+을/JKO
두고	두/VV+고/EC
선수의	선수/NNG+의/JKG
능력치를	능력/NNG+치/XSN+를/JKO
고루	고루/MAG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.218.4.1
