# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.73
metadata : {}


# id : NWRW1800000032.73.1.1
한은, 금 15t 또 ‘뒷북 매입’

한은,	한은/NNP+,/SP
금	금/NNG
15t	15/SN+t/SW
또	또/MAG
‘뒷북	‘/SS+뒷북/NNG
매입’	매입/NNG+’/SS


# id : NWRW1800000032.73.2.1
4개월만에…총보유 54.4t

4개월만에…총보유	4/SN+개월/NNB+만/NNB+에/JKB+…/SE+총/MMA+보유/NNG
54.4t	54/SN+./SP+4/SN+t/SW


# id : NWRW1800000032.73.3.1
‘외환 다변화론’ 늑장수용

‘외환	‘/SS+외환/NNG
다변화론’	다변/NNG+화/XSN+론/XSN+’/SS
늑장수용	늑장/NNG+수용/NNG


# id : NWRW1800000032.73.4.1
비쌀때 사들여 논란 불러

비쌀때	비싸/VA+ㄹ/ETM+때/NNG
사들여	사들이/VV+어/EC
논란	논란/NNG
불러	부르/VV+어/EF


# id : NWRW1800000032.73.5.1
한국은행이 4개월만에 다시 금 15t을 매입하면서 금 보유량이 50t을 넘어섰다.

한국은행이	한국은행/NNP+이/JKS
4개월만에	4/SN+개월/NNB+만/NNB+에/JKB
다시	다시/MAG
금	금/NNG
15t을	15/SN+t/SW+을/JKO
매입하면서	매입/NNG+하/XSV+면서/EC
보유량이	보유량/NNG+이/JKS
50t을	50/SN+t/SW+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.73.5.2
투자 다변화가 목적이라고 하지만 지나치게 비싼 가격에 금을 산 것 아니냐는 지적이 나온다.

투자	투자/NNG
다변화가	다변/NNG+화/XSN+가/JKS
목적이라고	목적/NNG+이/VCP+라고/EC
하지만	하/VV+지만/EC
지나치게	지나치/VA+게/EC
비싼	비싸/VA+ㄴ/ETM
가격에	가격/NNG+에/JKB
금을	금/NNG+을/JKO
산	사/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.73.6.1
2일 한국은행의 ‘2011년 11월말 외환보유액’ 자료를 보면, 외화 가운데 금 보유액은 21억7000만 달러로 10월의 13억2000만 달러보다 8억5000만 달러가 늘었다.

2일	2/SN+일/NNB
한국은행의	한국은행/NNP+의/JKG
‘2011년	‘/SS+2011/SN+년/NNB
11월말	11/SN+월/NNB+말/NNB
외환보유액’	외환/NNG+보유액/NNG+’/SS
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
외화	외화/NNG
가운데	가운데/NNG
금	금/NNG
보유액은	보유액/NNG+은/JX
21억7000만	21/SN+억/NR+7000/SN+만/NR
달러로	달러/NNB+로/JKB
10월의	10/SN+월/NNB+의/JKG
13억2000만	13/SN+억/NR+2000/SN+만/NR
달러보다	달러/NNB+보다/JKB
8억5000만	8/SN+억/NR+5000/SN+만/NR
달러가	달러/NNB+가/JKS
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.73.6.2
현물로 환산할 경우 전체 금 보유량은 54.4t이며 지난달 추가로 매입한 금은 15t에 이른다.

현물로	현물/NNG+로/JKB
환산할	환산/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
전체	전체/NNG
금	금/NNG
보유량은	보유량/NNG+은/JX
54.4t이며	54/SN+./SP+4/SN+t/SW+이/VCP+며/EC
지난달	지난달/NNG
추가로	추가/NNG+로/JKB
매입한	매입/NNG+하/XSV+ㄴ/ETM
금은	금/NNG+은/JX
15t에	15/SN+t/SW+에/JKB
