# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.310
metadata : {}


# id : NWRW1800000026.310.1.1
김종훈본부장 친구 딸 등 4명 최근 계약직서 정규직 전환;전윤철 前 감사원장 딸, 前 대사 사위도 특혜의혹

김종훈본부장	김종훈/NNP+본부장/NNG
친구	친구/NNG
딸	딸/NNG
등	등/NNB
4명	4/SN+명/NNB
최근	최근/MAG
계약직서	계약직/NNG+서/JKB
정규직	정규직/NNG
전환;전윤철	전환/NNG+;/SW+전윤철/NNP
前	前/SH
감사원장	감사원장/NNG
딸,	딸/NNG+,/SP
대사	대사/NNG
사위도	사위/NNG+도/JX
특혜의혹	특혜/NNG+의혹/NNG


# id : NWRW1800000026.310.2.1
외교부에서 특혜 채용 의혹이 계속 불거지고 있다.

외교부에서	외교부/NNG+에서/JKB
특혜	특혜/NNG
채용	채용/NNG
의혹이	의혹/NNG+이/JKS
계속	계속/MAG
불거지고	불거지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.310.2.2
김종훈 통상교섭본부장 친구의 딸 A씨가 2006년 통상분야 계약직으로 특채로 채용되고 작년에는 정규직이 된 것으로 10일 밝혀졌다.

김종훈	김종훈/NNP
통상교섭본부장	통상/NNG+교섭/NNG+본부장/NNG
친구의	친구/NNG+의/JKG
딸	딸/NNG
A씨가	A/SL+씨/NNB+가/JKS
2006년	2006/SN+년/NNB
통상분야	통상/NNG+분야/NNG
계약직으로	계약직/NNG+으로/JKB
특채로	특채/NNG+로/JKB
채용되고	채용/NNG+되/XSV+고/EC
작년에는	작년/NNG+에/JKB+는/JX
정규직이	정규직/NNG+이/JKC
된	되/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
10일	10/SN+일/NNB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.310.2.3
김 본부장은 A씨가 계약직으로 채용될 당시엔 한미 FTA 수석 대표였고, 정규직으로 전환될 때는 통상교섭본부장이었다.

김	김/NNP
본부장은	본부장/NNG+은/JX
A씨가	A/SL+씨/NNB+가/JKS
계약직으로	계약직/NNG+으로/JKB
채용될	채용/NNG+되/XSV+ㄹ/ETM
당시엔	당시/NNG+에/JKB+ㄴ/JX
한미	한미/NNP
FTA	FTA/SL
수석	수석/NNG
대표였고,	대표/NNG+이/VCP+었/EP+고/EC+,/SP
정규직으로	정규직/NNG+으로/JKB
전환될	전환/NNG+되/XSV+ㄹ/ETM
