# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.273
metadata : {}


# id : NWRW1800000028.273.1.1
하회마을엔 뮤지컬 ‘두둥실’

하회마을엔	하회마을/NNP+에/JKB+ㄴ/JX
뮤지컬	뮤지컬/NNG
‘두둥실’	‘/SS+두둥실/MAG+’/SS


# id : NWRW1800000028.273.2.1
경북 안동시 풍천면 하회마을이 세계문화유산에 등재된 것을 기념해 뮤지컬 <부용지애>가 하회마을 낙동강 수상무대에서 5~9일 날마다 저녁 8시부터 100분 동안 화려하게 펼쳐진다.

경북	경북/NNP
안동시	안동시/NNP
풍천면	풍천면/NNP
하회마을이	하회마을/NNP+이/JKS
세계문화유산에	세계/NNG+문화유산/NNG+에/JKB
등재된	등재/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
기념해	기념/NNG+하/XSV+아/EC
뮤지컬	뮤지컬/NNG
<부용지애>가	</SS+부용지애/NNP+>/SS+가/JKS
하회마을	하회마을/NNP
낙동강	낙동강/NNP
수상무대에서	수상/NNG+무대/NNG+에서/JKB
5~9일	5/SN+~/SO+9/SN+일/NNB
날마다	날/NNG+마다/JX
저녁	저녁/NNG
8시부터	8/SN+시/NNB+부터/JX
100분	100/SN+분/NNB
동안	동안/NNG
화려하게	화려하/VA+게/EC
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.273.3.1
800년 동안 이어져온 하회마을의 역사와 문화, 신화를 극적인 스토리로 재구성했다.

800년	800/SN+년/NNB
동안	동안/NNG
이어져온	이어지/VV+어/EC+오/VX+ㄴ/ETM
하회마을의	하회마을/NNP+의/JKG
역사와	역사/NNG+와/JC
문화,	문화/NNG+,/SP
신화를	신화/NNG+를/JKO
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
스토리로	스토리/NNG+로/JKB
재구성했다.	재/XPN+구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.273.3.2
임진왜란을 극복한 슬기로운 재상 서애 류성룡과 형 류운룡의 형제애, 국보 121호인 하회탈에 얽힌 설화의 주인공 허도령과 김씨 처녀의 슬픈 사랑이야기를 소재로 삼았다.

임진왜란을	임진왜란/NNG+을/JKO
극복한	극복/NNG+하/XSV+ㄴ/ETM
슬기로운	슬기/NNG+롭/XSA+ㄴ/ETM
재상	재상/NNG
서애	서애/NNP
류성룡과	류성룡/NNP+과/JC
형	형/NNG
류운룡의	류운룡/NNP+의/JKG
형제애,	형제애/NNG+,/SP
국보	국보/NNG
121호인	121/SN+호/NNB+이/VCP+ㄴ/ETM
하회탈에	하회탈/NNG+에/JKB
얽힌	얽히/VV+ㄴ/ETM
설화의	설화/NNG+의/JKG
주인공	주인공/NNG
허도령과	허/NNP+도령/NNG+과/JC
김씨	김/NNP+씨/NNB
처녀의	처녀/NNG+의/JKG
슬픈	슬프/VA+ㄴ/ETM
사랑이야기를	사랑/NNG+이야기/NNG+를/JKO
소재로	소재/NNG+로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.273.4.1
하회마을의 절벽 부용대를 배경으로 왼쪽에는 겸암정, 오른쪽에는 옥연정을 두고 그 사이 낙동강 물 위에 설치된 무대는 화려한 조명과 음향, 춤과 노래와 어우러져 관객들을 사로잡게 된다.

하회마을의	하회마을/NNP+의/JKG
절벽	절벽/NNG
부용대를	부용대/NNP+를/JKO
배경으로	배경/NNG+으로/JKB
왼쪽에는	왼쪽/NNG+에/JKB+는/JX
겸암정,	겸암정/NNP+,/SP
오른쪽에는	오른쪽/NNG+에/JKB+는/JX
옥연정을	옥연정/NNP+을/JKO
두고	두/VV+고/EC
그	그/MMD
사이	사이/NNG
낙동강	낙동강/NNP
물	물/NNG
위에	위/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
무대는	무대/NNG+는/JX
화려한	화려하/VA+ㄴ/ETM
조명과	조명/NNG+과/JC
음향,	음향/NNG+,/SP
