# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.343
metadata : {}


# id : NWRW1800000046.343.1.1
['성완종 리스트' 파문] "DJ 말도 안 먹히던 내 復權 문제… 강금원(前 창신섬유 회장)에 전화하니 해결 되더라"

['성완종	[/SS+'/SS+성완종/NNP
리스트'	리스트/NNG+'/SS
파문]	파문/NNG+]/SS
"DJ	"/SS+DJ/SL
말도	말/NNG+도/JX
안	안/MAG
먹히던	먹히/VV+던/ETM
내	나/NP+의/JKG
復權	復權/SH
문제…	문제/NNG+…/SE
강금원(前	강금원/NNP+(/SS+前/SH
창신섬유	창신섬유/NNP
회장)에	회장/NNG+)/SS+에/JKB
전화하니	전화/NNG+하/XSV+니/EC
해결	해결/NNG
되더라"	되/VV+더라/EF+"/SS


# id : NWRW1800000046.343.2.1
한화갑이 말하는 '成 두번째 특사 당시 수상한 풍경'

한화갑이	한화갑/NNP+이/JKS
말하는	말/NNG+하/XSV+는/ETM
'成	'/SS+成/SH
두번째	두/MMN+번/NNB+째/XSN
특사	특사/NNG
당시	당시/NNG
수상한	수상하/VA+ㄴ/ETM
풍경'	풍경/NNG+'/SS


# id : NWRW1800000046.343.3.1
2007년 12월 29일 민주당 대표를 지낸 한화갑 전 의원은 김대중 전 대통령의 서울 동교동 자택을 방문했다.

2007년	2007/SN+년/NNB
12월	12/SN+월/NNB
29일	29/SN+일/NNB
민주당	민주당/NNP
대표를	대표/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
한화갑	한화갑/NNP
전	전/MMD
의원은	의원/NNG+은/JX
김대중	김대중/NNP
대통령의	대통령/NNG+의/JKG
서울	서울/NNP
동교동	동교동/NNP
자택을	자택/NNG+을/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.343.3.2
김 전 대통령은 "갑이, 자네는 이번 복권(復權)에서 제외됐네. 미안하네"라고 말했다.

김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
"갑이,	"/SS+갑이/NNP+,/SP
자네는	자네/NP+는/JX
이번	이번/NNG
복권(復權)에서	복권/NNG+(/SS+復權/SH+)/SS+에서/JKB
제외됐네.	제외/NNG+되/XSV+었/EP+네/EF+./SF
미안하네"라고	미안/NNG+하/XSA+네/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.343.3.3
당시는 특별사면설(說)이 크게 보도되던 때였고 한 전 의원은 김 전 대통령에게 자신의 복권을 노무현 정부에 요청해 달라고 부탁해 놓은 터였다.

당시는	당시/NNG+는/JX
특별사면설(說)이	특별/NNG+사면/NNG+설/NNG+(/SS+說/SH+)/SS+이/JKS
크게	크/VA+게/EC
보도되던	보도/NNG+되/XSV+던/ETM
때였고	때/NNG+이/VCP+었/EP+고/EC
한	한/NNP
전	전/MMD
의원은	의원/NNG+은/JX
김	김/NNP
대통령에게	대통령/NNG+에게/JKB
자신의	자신/NNG+의/JKG
복권을	복권/NNG+을/JKO
노무현	노무현/NNP
정부에	정부/NNG+에/JKB
요청해	요청/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
부탁해	부탁/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
터였다.	터/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.343.4.1
동교동 사저를 나온 한 전 의원은 평소 친분이 있던 강금원 전 창신섬유 회장에게 전화를 걸어 "이번에 (나는) 복권이 안 된 것 같다. 김 전 대통령도 그리 말씀하시고 신문에도 안 된다고 보도가 됐다"고 말했다.

동교동	동교동/NNP
사저를	사저/NNG+를/JKO
나온	나오/VV+ㄴ/ETM
한	한/NNP
전	전/MMD
의원은	의원/NNG+은/JX
평소	평소/NNG
친분이	친분/NNG+이/JKS
있던	있/VA+던/ETM
강금원	강금원/NNP
창신섬유	창신섬유/NNP
회장에게	회장/NNG+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
"이번에	"/SS+이번/NNG+에/JKB
(나는)	(/SS+나/NP+는/JX+)/SS
복권이	복권/NNG+이/JKS
안	안/MAG
된	되/VV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF
김	김/NNP
대통령도	대통령/NNG+도/JX
그리	그리/MAG
말씀하시고	말씀/NNG+하/XSV+시/EP+고/EC
신문에도	신문/NNG+에/JKB+도/JX
된다고	되/VV+ㄴ다고/EC
