# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.19
metadata : {}


# id : NWRW1800000022.19.1.1
[브리핑] 현금인출기도 속이는 中 100위안 위폐 확산

[브리핑]	[/SS+브리핑/NNG+]/SS
현금인출기도	현금/NNG+인출기/NNG+도/JX
속이는	속이/VV+는/ETM
中	中/SH
100위안	100/SN+위안/NNB
위폐	위폐/NNG
확산	확산/NNG


# id : NWRW1800000022.19.2.1
1년 중 돈이 가장 많이 풀리는 시기인 최대명절 춘절(春節·설날)을 앞둔 중국에서 정교하게 위조된 100위안(약 2만원)권 위조지폐가 전국에 대량 유통되고 있다.

1년	1/SN+년/NNB
중	중/NNB
돈이	돈/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
풀리는	풀리/VV+는/ETM
시기인	시기/NNG+이/VCP+ㄴ/ETM
최대명절	최대/NNG+명절/NNG
춘절(春節·설날)을	춘절/NNG+(/SS+春節/SH+·/SP+설날/NNG+)/SS+을/JKO
앞둔	앞두/VV+ㄴ/ETM
중국에서	중국/NNP+에서/JKB
정교하게	정교하/VA+게/EC
위조된	위조/NNG+되/XSV+ㄴ/ETM
100위안(약	100/SN+위안/NNB+(/SS+약/MMA
2만원)권	2/SN+만/NR+원/NNB+)/SS+권/XSN
위조지폐가	위조지폐/NNG+가/JKS
전국에	전국/NNG+에/JKB
대량	대량/NNG
유통되고	유통/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.19.2.2
홍콩·대만에 이어 싱가포르까지 유입됐다.

홍콩·대만에	홍콩/NNP+·/SP+대만/NNP+에/JKB
이어	잇/VV+어/EC
싱가포르까지	싱가포르/NNP+까지/JX
유입됐다.	유입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.19.3.1
일련번호가 'HD90'으로 시작하는 이 위조지폐는 화폐의 착색이나 도안이 육안(肉眼)으로는 진짜 돈과 구별하기 어렵다.

일련번호가	일련번호/NNG+가/JKS
'HD90'으로	'/SS+HD/SL+90/SN+'/SS+으로/JKB
시작하는	시작/NNG+하/XSV+는/ETM
이	이/MMD
위조지폐는	위조지폐/NNG+는/JX
화폐의	화폐/NNG+의/JKG
착색이나	착색/NNG+이나/JC
도안이	도안/NNG+이/JKS
육안(肉眼)으로는	육안/NNG+(/SS+肉眼/SH+)/SS+으로/JKB+는/JX
진짜	진짜/NNG
돈과	돈/NNG+과/JKB
구별하기	구별/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000022.19.3.2
일부는 자기(磁氣)를 띤 가루까지 표면에 입혀 놓아 낡은 감별기로는 판독이 안 된다고 한다.

일부는	일부/NNG+는/JX
자기(磁氣)를	자기/NNG+(/SS+磁氣/SH+)/SS+를/JKO
띤	띠/VV+ㄴ/ETM
가루까지	가루/NNG+까지/JX
표면에	표면/NNG+에/JKB
입혀	입히/VV+어/EC
놓아	놓/VX+아/EC
낡은	낡/VV+은/ETM
감별기로는	감별기/NNG+로/JKB+는/JX
판독이	판독/NNG+이/JKC
안	안/MAG
된다고	되/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.19.3.3
이 위폐는 심지어 은행들의 현금인출기에서 섞여 나오기도 했다.

이	이/MMD
위폐는	위폐/NNG+는/JX
심지어	심지어/MAG
은행들의	은행/NNG+들/XSN+의/JKG
현금인출기에서	현금/NNG+인출기/NNG+에서/JKB
섞여	섞이/VV+어/EC
나오기도	나오/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.19.4.1
중국 언론들은 위조지폐의 경우 표면을 만져보면 숫자 '100' 부분에 요철이 느껴지지 않는다는 점 등 '위조지폐 판독법'을 국민들에게 홍보하고 있다.

중국	중국/NNP
언론들은	언론/NNG+들/XSN+은/JX
위조지폐의	위조지폐/NNG+의/JKG
경우	경우/NNG
표면을	표면/NNG+을/JKO
만져보면	만지/VV+어/EC+보/VX+면/EC
숫자	숫자/NNG
'100'	'/SS+100/SN+'/SS
부분에	부분/NNG+에/JKB
요철이	요철/NNG+이/JKS
느껴지지	느끼/VV+어/EC+지/VX+지/EC
않는다는	않/VX+는다는/ETM
점	점/NNG
등	등/NNB
'위조지폐	'/SS+위조지폐/NNG
판독법'을	판독/NNG+법/NNG+'/SS+을/JKO
국민들에게	국민/NNG+들/XSN+에게/JKB
홍보하고	홍보/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.19.5.1
중국 공안당국은 작년 초부터 유통된 이 위폐가 홍콩이나 대만에서 만들었을 것이라는 추정만 할 뿐이다.

중국	중국/NNP
공안당국은	공안/NNG+당국/NNG+은/JX
작년	작년/NNG
초부터	초/NNB+부터/JX
유통된	유통/NNG+되/XSV+ㄴ/ETM
이	이/MMD
위폐가	위폐/NNG+가/JKS
홍콩이나	홍콩/NNP+이나/JC
대만에서	대만/NNP+에서/JKB
만들었을	만들/VV+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
추정만	추정/NNG+만/JX
할	하/VV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.19.5.2
중국의 상점들 중에는 위폐일 가능성을 우려해 새 돈을 받지 않는 곳들도 있다.

중국의	중국/NNP+의/JKG
상점들	상점/NNG+들/XSN
중에는	중/NNB+에/JKB+는/JX
위폐일	위폐/NNG+이/VCP+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
우려해	우려/NNG+하/XSV+아/EC
새	새/MMA
돈을	돈/NNG+을/JKO
받지	받/VV+지/EC
않는	않/VX+는/ETM
곳들도	곳/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


