# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.210
metadata : {}


# id : NWRW1800000045.210.1.1
“月2회 휴업, 영업자유 침해 아냐… 골목상권 보호-상생 공익 크다”

“月2회	“/SS+月/SH+2/SN+회/NNB
휴업,	휴업/NNG+,/SP
영업자유	영업/NNG+자유/NNG
침해	침해/NNG
아냐…	아니/VCN+야/EF+…/SE
골목상권	골목/NNG+상권/NNG
보호-상생	보호/NNG+-/SO+상생/NNG
공익	공익/NNG
크다”	크/VA+다/EF+”/SS


# id : NWRW1800000045.210.2.1
대법 “대형마트 의무휴업 정당”

대법	대법/NNG
“대형마트	“/SS+대형/NNG+마트/NNG
의무휴업	의무/NNG+휴업/NNG
정당”	정당/XR+”/SS


# id : NWRW1800000045.210.3.1
‘골목상권 보호냐, 소비자 선택권 보장이냐.’

‘골목상권	‘/SS+골목/NNG+상권/NNG
보호냐,	보호/NNG+이/VCP+냐/EF+,/SP
소비자	소비자/NNG
선택권	선택/NNG+권/XSN
보장이냐.’	보장/NNG+이/VCP+냐/EF+./SF+’/SS


# id : NWRW1800000045.210.4.1
대형마트 영업시간 제한 등을 놓고 지방자치단체와 유통업체 간 벌어진 3년여의 법정 다툼에서 대법원이 지자체의 손을 들어줬다.

대형마트	대형/NNG+마트/NNG
영업시간	영업시간/NNG
제한	제한/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
지방자치단체와	지방/NNG+자치/NNG+단체/NNG+와/JC
유통업체	유통업체/NNG
간	간/NNB
벌어진	벌어지/VV+ㄴ/ETM
3년여의	3/SN+년/NNB+여/XSN+의/JKG
법정	법정/NNG
다툼에서	다툼/NNG+에서/JKB
대법원이	대/XPN+법원/NNG+이/JKS
지자체의	지자체/NNG+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.210.4.2
지자체는 관련 조례의 법적 타당성을 인정받았지만 소비자 선택권 보장을 위한 다양한 해법을 고민할 것으로 보인다.

지자체는	지자체/NNG+는/JX
관련	관련/NNG
조례의	조례/NNG+의/JKG
법적	법/NNG+적/XSN
타당성을	타당성/NNG+을/JKO
인정받았지만	인정/NNG+받/XSV+았/EP+지만/EC
소비자	소비자/NNG
선택권	선택/NNG+권/XSN
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
해법을	해법/NNG+을/JKO
고민할	고민/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.210.5.1
○ “영업자유 침해 아니다”

○	○/SW
“영업자유	“/SS+영업/NNG+자유/NNG
침해	침해/NNG
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000045.210.6.1
대법원은 대형마트 영업시간 제한 등으로 얻을 수 있는 공익이 크고, 이로 인해 발생하는 소비자의 불편은 감내할 수준이라고 판단했다.

대법원은	대/XPN+법원/NNG+은/JX
대형마트	대형/NNG+마트/NNG
영업시간	영업시간/NNG
제한	제한/NNG
등으로	등/NNB+으로/JKB
얻을	얻/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
공익이	공익/NNG+이/JKS
크고,	크/VA+고/EC+,/SP
이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
발생하는	발생/NNG+하/XSV+는/ETM
소비자의	소비자/NNG+의/JKG
불편은	불편/NNG+은/JX
감내할	감내/NNG+하/XSV+ㄹ/ETM
수준이라고	수준/NNG+이/VCP+라고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.210.6.2
