# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.251
metadata : {}


# id : NWRW1800000022.251.1.1
"바나나·초콜릿·떡 정도는 골프장에 들여올 수 있다" 공정거래위원회

"바나나·초콜릿·떡	"/SS+바나나/NNG+·/SP+초콜릿/NNG+·/SP+떡/NNG
정도는	정도/NNG+는/JX
골프장에	골프장/NNG+에/JKB
들여올	들여오/VV+ㄹ/ETM
수	수/NNB
있다"	있/VA+다/EF+"/SS
공정거래위원회	공정/NNG+거래/NNG+위원회/NNG


# id : NWRW1800000022.251.2.1
지난해 10월 경기도 광주시 '강남300컨트리클럽' 골프장에서 골프를 치던 회원 3명이 바깥에서 사온 커피와 바나나, 초콜릿 등을 먹었다.

지난해	지난해/NNG
10월	10/SN+월/NNB
경기도	경기도/NNP
광주시	광주시/NNP
'강남300컨트리클럽'	'/SS+강남300컨트리클럽/NNP+'/SS
골프장에서	골프장/NNG+에서/JKB
골프를	골프/NNG+를/JKO
치던	치/VV+던/ETM
회원	회원/NNG
3명이	3/SN+명/NNB+이/JKS
바깥에서	바깥/NNG+에서/JKB
사온	사/VV+아/EC+오/VV+ㄴ/ETM
커피와	커피/NNG+와/JC
바나나,	바나나/NNG+,/SP
초콜릿	초콜릿/NNG
등을	등/NNB+을/JKO
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.251.2.2
그러자 골프장측은 내부 규정을 설명하며 한달간 골프장 부킹(예약)을 정지하겠다고 그들에게 통보했다.

그러자	그러/VV+자/EC
골프장측은	골프장/NNG+측/NNB+은/JX
내부	내부/NNG
규정을	규정/NNG+을/JKO
설명하며	설명/NNG+하/XSV+며/EC
한달간	한/MMN+달/NNB+간/XSN
골프장	골프장/NNG
부킹(예약)을	부킹/NNG+(/SS+예약/NNG+)/SS+을/JKO
정지하겠다고	정지/NNG+하/XSV+겠/EP+다고/EC
그들에게	그/NP+들/XSN+에게/JKB
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.251.2.3
이 골프장은 지난해 9월 쾌적한 환경과 질서를 유지한다는 명분으로 '골프장 내 음식물 반입을 일절 금지한다'는 안내문을 내걸었다.

이	이/MMD
골프장은	골프장/NNG+은/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
쾌적한	쾌적하/VA+ㄴ/ETM
환경과	환경/NNG+과/JC
질서를	질서/NNG+를/JKO
유지한다는	유지/NNG+하/XSV+ㄴ다는/ETM
명분으로	명분/NNG+으로/JKB
'골프장	'/SS+골프장/NNG
내	내/NNB
음식물	음식물/NNG
반입을	반입/NNG+을/JKO
일절	일절/MAG
금지한다'는	금지/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
안내문을	안내문/NNG+을/JKO
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.251.2.4
이를 1회 어길 경우 벌점 25점(한달간 골프장 예약 정지), 2회 어기면 벌점 50점(두달 정지) 등의 규정을 신설했다.

이를	이/NP+를/JKO
