# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.9
metadata : {}


# id : NWRW1800000053.9.1.1
이번에도 ‘허니문 랠리’?… 기대 부푼 증시

이번에도	이번/NNG+에/JKB+도/JX
‘허니문	‘/SS+허니문/NNG
랠리’?…	랠리/NNG+’/SS+?/SF+…/SE
기대	기대/NNG
부푼	부풀/VV+ㄴ/ETM
증시	증시/NNG


# id : NWRW1800000053.9.2.1
새 정부 6번중 4번 두자릿수 상승 정책 불확실성 해소-투자확대 예상… 美 ‘트럼프랠리’땐 100일간 6% 올라 최고치 찍은 코스피 탄력 기대… “국내보다 해외변수 중요” 반론도

새	새/MMA
정부	정부/NNG
6번중	6/SN+번/NNB+중/NNB
4번	4/SN+번/NNB
두자릿수	두/MMN+자릿수/NNG
상승	상승/NNG
정책	정책/NNG
불확실성	불확실/NNG+성/XSN
해소-투자확대	해소/NNG+-/SO+투자/NNG+확대/NNG
예상…	예상/NNG+…/SE
美	美/SH
‘트럼프랠리’땐	‘/SS+트럼프/NNP+랠리/NNG+’/SS+때/NNG+ㄴ/JX
100일간	100/SN+일/NNB+간/XSN
6%	6/SN+%/SW
올라	오르/VV+아/EC
최고치	최고/NNG+치/XSN
찍은	찍/VV+은/ETM
코스피	코스피/NNP
탄력	탄력/NNG
기대…	기대/NNG+…/SE
“국내보다	“/SS+국내/NNG+보다/JKB
해외변수	해외/NNG+변수/NNG
중요”	중요/NNG+”/SS
반론도	반론/NNG+도/JX


# id : NWRW1800000053.9.3.1
코스피가 사상 최고치를 돌파한 가운데 새 정부 출범 이후 주가가 상승세를 나타내는 ‘허니문 랠리’에 대한 기대감이 높아지고 있다.

코스피가	코스피/NNP+가/JKS
사상	사상/NNG
최고치를	최고/NNG+치/XSN+를/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
새	새/MMA
정부	정부/NNG
출범	출범/NNG
이후	이후/NNG
주가가	주가/NNG+가/JKS
상승세를	상승세/NNG+를/JKO
나타내는	나타내/VV+는/ETM
‘허니문	‘/SS+허니문/NNG
랠리’에	랠리/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
기대감이	기대감/NNG+이/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.9.4.1
한국거래소는 직선제로 치러진 13∼18대 대통령 체제 출범 후 최초 1년간 유가증권시장에서 코스피 등락률을 분석한 결과 6차례 선거 중 이명박과 박근혜 정부를 제외한 4차례는 코스피가 상승한 것으로 나타났다고 5일 밝혔다.

한국거래소는	한국거래소/NNP+는/JX
직선제로	직선/NNG+제/XSN+로/JKB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
13∼18대	13/SN+∼/SO+18/SN+대/NNB
대통령	대통령/NNG
체제	체제/NNG
출범	출범/NNG
후	후/NNG
최초	최초/NNG
1년간	1/SN+년/NNB+간/XSN
유가증권시장에서	유가/NNG+증권/NNG+시장/NNG+에서/JKB
코스피	코스피/NNP
등락률을	등락/NNG+률/XSN+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
6차례	6/SN+차례/NNG
선거	선거/NNG
중	중/NNB
이명박과	이명박/NNP+과/JC
박근혜	박근혜/NNP
정부를	정부/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
4차례는	4/SN+차례/NNG+는/JX
코스피가	코스피/NNP+가/JKS
상승한	상승/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다고	나타나/VV+았/EP+다고/EC
5일	5/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.9.5.1
새 정부가 출범할 때 정책 불확실성이 해소되고 사회가 안정될 것이란 기대감에 주가가 상승하는 이른바 ‘허니문 랠리’가 나타난 것이다.

새	새/MMA
정부가	정부/NNG+가/JKS
출범할	출범/NNG+하/XSV+ㄹ/ETM
때	때/NNG
정책	정책/NNG
불확실성이	불확실/NNG+성/XSN+이/JKS
해소되고	해소/NNG+되/XSV+고/EC
사회가	사회/NNG+가/JKS
안정될	안정/NNG+되/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
기대감에	기대감/NNG+에/JKB
주가가	주가/NNG+가/JKS
상승하는	상승/NNG+하/XSV+는/ETM
이른바	이른바/MAG
‘허니문	‘/SS+허니문/NNG
랠리’가	랠리/NNG+’/SS+가/JKS
