# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.279
metadata : {}


# id : NWRW1800000040.279.1.1
법원 첫 ‘심리적 부검’…자살자에 업무상 재해 인정

법원	법원/NNG
첫	첫/MMN
‘심리적	‘/SS+심리/NNG+적/XSN
부검’…자살자에	부검/NNG+’/SS+…/SE+자살자/NNG+에/JKB
업무상	업무/NNG+상/XSN
재해	재해/NNG
인정	인정/NNG


# id : NWRW1800000040.279.2.1
부산 공무원 유족, 항소심 승소

부산	부산/NNP
공무원	공무원/NNG
유족,	유족/NNG+,/SP
항소심	항소심/NNG
승소	승소/NNG


# id : NWRW1800000040.279.3.1
“업무 스트레스 때문” 유서에도

“업무	“/SS+업무/NNG
스트레스	스트레스/NNG
때문”	때문/NNB+”/SS
유서에도	유서/NNG+에/JKB+도/JX


# id : NWRW1800000040.279.4.1
1심선 ‘업무상 재해’ 인정 안해

1심선	1심/NNG+서/JKB+ㄴ/JX
‘업무상	‘/SS+업무/NNG+상/XSN
재해’	재해/NNG+’/SS
인정	인정/NNG
안해	안/MAG+하/VV+아/EF


# id : NWRW1800000040.279.5.1
2심선 유족·동료 심층면접 반영

2심선	2심/NNG+서/JKB+ㄴ/JX
유족·동료	유족/NNG+·/SP+동료/NNG
심층면접	심층/NNG+면접/NNG
반영	반영/NNG


# id : NWRW1800000040.279.6.1
자살을 업무상 재해로 인정해달라는 소송에서 법원이 최초로 ‘심리적 부검’을 실시해 자살과 업무의 관련성을 인정하는 판결을 내렸다.

자살을	자살/NNG+을/JKO
업무상	업무/NNG+상/XSN
재해로	재해/NNG+로/JKB
인정해달라는	인정/NNG+하/XSV+아/EC+달/VX+라는/ETM
소송에서	소송/NNG+에서/JKB
법원이	법원/NNG+이/JKS
최초로	최초/NNG+로/JKB
‘심리적	‘/SS+심리/NNG+적/XSN
부검’을	부검/NNG+’/SS+을/JKO
실시해	실시/NNG+하/XSV+아/EC
자살과	자살/NNG+과/JC
업무의	업무/NNG+의/JKG
관련성을	관련/NNG+성/XSN+을/JKO
인정하는	인정/NNG+하/XSV+는/ETM
판결을	판결/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.279.6.2
심리적 부검(Psychological Autopsy)은 서류만으로 자살과 업무의 관련성을 판단하는 게 아니라, 숨진 사람의 가족 및 직장 동료들에 대한 면접과 주변조사 등 심층분석을 통해 자살 원인을 규명하는 것을 말한다.

심리적	심리/NNG+적/XSN
부검(Psychological	부검/NNG+(/SS+Psychological/SL
Autopsy)은	Autopsy/SL+)/SS+은/JX
서류만으로	서류/NNG+만/JX+으로/JKB
자살과	자살/NNG+과/JC
업무의	업무/NNG+의/JKG
관련성을	관련/NNG+성/XSN+을/JKO
판단하는	판단/NNG+하/XSV+는/ETM
게	거/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
숨진	숨지/VV+ㄴ/ETM
사람의	사람/NNG+의/JKG
가족	가족/NNG
및	및/MAG
직장	직장/NNG
동료들에	동료/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
면접과	면접/NNG+과/JC
주변조사	주변/NNG+조사/NNG
등	등/NNB
심층분석을	심층/NNG+분석/NNG+을/JKO
통해	통하/VV+아/EC
자살	자살/NNG
원인을	원인/NNG+을/JKO
규명하는	규명/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.279.7.1
서울고법 행정9부(재판장 박형남)는 업무상 스트레스로 자살한 공무원의 유족이 “유족보상금을 지급하라”며 공무원연금공단을 상대로 낸 소송의 항소심에서 업무상 재해를 인정하지 않은 원심을 깨고 원고 승소 판결했다고 22일 밝혔다.

서울고법	서울고법/NNP
행정9부(재판장	행정/NNG+9/SN+부/NNG+(/SS+재판장/NNG
박형남)는	박형남/NNP+)/SS+는/JX
업무상	업무/NNG+상/XSN
스트레스로	스트레스/NNG+로/JKB
자살한	자살/NNG+하/XSV+ㄴ/ETM
공무원의	공무원/NNG+의/JKG
유족이	유족/NNG+이/JKS
“유족보상금을	“/SS+유족/NNG+보상금/NNG+을/JKO
지급하라”며	지급/NNG+하/XSV+라/EF+”/SS+며/EC
공무원연금공단을	공무원연금공단/NNP+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
소송의	소송/NNG+의/JKG
항소심에서	항소심/NNG+에서/JKB
재해를	재해/NNG+를/JKO
인정하지	인정/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
원심을	원심/NNG+을/JKO
깨고	깨/VV+고/EC
원고	원고/NNG
승소	승소/NNG
판결했다고	판결/NNG+하/XSV+았/EP+다고/EC
22일	22/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.279.8.1
부산지방국세청에서 근무하던 ㄱ(사망 당시 44살)씨는 2009년 9월 세무조사를 위한 자료분석 전담팀이 새로 생기면서 팀장으로 임명됐다.

부산지방국세청에서	부산지방국세청/NNP+에서/JKB
근무하던	근무/NNG+하/XSV+던/ETM
ㄱ(사망	ㄱ/NNG+(/SS+사망/NNG
당시	당시/NNG
44살)씨는	44/SN+살/NNB+)/SS+씨/NNB+는/JX
2009년	2009/SN+년/NNB
9월	9/SN+월/NNB
세무조사를	세무/NNG+조사/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
자료분석	자료/NNG+분석/NNG
전담팀이	전담/NNG+팀/NNG+이/JKS
새로	새로/MAG
생기면서	생기/VV+면서/EC
팀장으로	팀장/NNG+으로/JKB
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.279.8.2
자료분석은 국세청에서도 힘든 업무였다.

자료분석은	자료/NNG+분석/NNG+은/JX
국세청에서도	국세청/NNG+에서/JKB+도/JX
힘든	힘들/VA+ㄴ/ETM
업무였다.	업무/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.279.8.3
팀원은 7명이었지만, 3명은 기존에 맡던 업무를 마무리해야 한다는 이유로 전담팀 일을 하지 않았다.

팀원은	팀원/NNG+은/JX
7명이었지만,	7/SN+명/NNB+이/VCP+었/EP+지만/EC+,/SP
3명은	3/SN+명/NNB+은/JX
기존에	기존/NNG+에/JKB
맡던	맡/VV+던/ETM
업무를	업무/NNG+를/JKO
마무리해야	마무리/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
전담팀	전담/NNG+팀/NNG
일을	일/NNG+을/JKO
하지	하/VV+지/EC
