# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.193
metadata : {}


# id : NWRW1800000022.193.1.1
[모닝커피] 벌써 보신의 계절?… 생닭, 날개 돋친 듯 팔려

[모닝커피]	[/SS+모닝커피/NNG+]/SS
벌써	벌써/MAG
보신의	보신/NNG+의/JKG
계절?…	계절/NNG+?/SF+…/SE
생닭,	생/XPN+닭/NNG+,/SP
날개	날개/NNG
돋친	돋치/VV+ㄴ/ETM
듯	듯/NNB
팔려	팔리/VV+어/EF


# id : NWRW1800000022.193.2.1
때 이른 더위 덕분에 '생닭'의 인기가 상종가를 치고 있다.

때	때/NNG
이른	이르/VA+ㄴ/ETM
더위	더위/NNG
덕분에	덕분/NNG+에/JKB
'생닭'의	'/SS+생/XPN+닭/NNG+'/SS+의/JKG
인기가	인기/NNG+가/JKS
상종가를	상종가/NNG+를/JKO
치고	치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.193.3.1
롯데백화점 전국 25개 점포에서는 5월(21일까지) 생닭 매출이 지난해 같은 기간보다 250%가량 늘었다.

롯데백화점	롯데백화점/NNP
전국	전국/NNG
25개	25/SN+개/NNB
점포에서는	점포/NNG+에서/JKB+는/JX
5월(21일까지)	5/SN+월/NNB+(/SS+21/SN+일/NNB+까지/JX+)/SS
생닭	생/XPN+닭/NNG
매출이	매출/NNG+이/JKS
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
250%가량	250/SN+%/SW+가량/XSN
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.193.3.2
현대백화점에서는 같은 기간 지난해보다 400% 가까운 신장률을 보였고, 신세계 이마트에서는 460%나 늘었다.

현대백화점에서는	현대백화점/NNP+에서/JKB+는/JX
같은	같/VA+은/ETM
기간	기간/NNG
지난해보다	지난해/NNG+보다/JKB
400%	400/SN+%/SW
가까운	가깝/VA+ㄴ/ETM
