# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.90
metadata : {}


# id : NWRW1800000030.90.1.1
"2011년 한반도 상황 매우 불안해"

"2011년	"/SS+2011/SN+년/NNB
한반도	한반도/NNP
상황	상황/NNG
매우	매우/MAG
불안해"	불안/NNG+하/XSA+아/EF+"/SS


# id : NWRW1800000030.90.2.1
?美 헤리티지재단 퓰너 이사장 한양대 특강

?美	?/NA+美/SH
헤리티지재단	헤리티지재단/NNP
퓰너	퓰너/NNP
이사장	이사장/NNG
한양대	한양대/NNP
특강	특강/NNG


# id : NWRW1800000030.90.3.1
"자제력을 잃은 북한의 고(高)수위 도발행위는 2011년 한반도를 더욱 더 부싯깃통(tinderbox)같이 일촉즉발의 상황으로 몰아넣을 것이며, 어느 한쪽이라도 오판을 한다면 한반도 전체가 파멸적인 대결의 장소로 변할 것이다."

"자제력을	"/SS+자제력/NNG+을/JKO
잃은	잃/VV+은/ETM
북한의	북한/NNP+의/JKG
고(高)수위	고/XPN+(/SS+高/SH+)/SS+수위/NNG
도발행위는	도발/NNG+행위/NNG+는/JX
2011년	2011/SN+년/NNB
한반도를	한반도/NNP+를/JKO
더욱	더욱/MAG
더	더/MAG
부싯깃통(tinderbox)같이	부싯깃/NNG+통/NNG+(/SS+tinderbox/SL+)/SS+같이/JKB
일촉즉발의	일촉즉발/NNG+의/JKG
상황으로	상황/NNG+으로/JKB
몰아넣을	몰아넣/VV+을/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
어느	어느/MMD
한쪽이라도	한쪽/NNG+이/VCP+라도/EC
오판을	오판/NNG+을/JKO
한다면	하/VV+ㄴ다면/EC
한반도	한반도/NNP
전체가	전체/NNG+가/JKS
파멸적인	파멸/NNG+적/XSN+이/VCP+ㄴ/ETM
대결의	대결/NNG+의/JKG
장소로	장소/NNG+로/JKB
변할	변하/VV+ㄹ/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000030.90.4.1
미국의 대표적 보수주의 싱크탱크인 헤리티지재단의 에드윈 퓰너(Feulner) 이사장이 17일 한양대 국제대학원에서 '2011년 한·미관계와 미국 중간선거의 영향'이란 주제로 특강을 했다.

미국의	미국/NNP+의/JKG
대표적	대표/NNG+적/XSN
보수주의	보수주의/NNG
싱크탱크인	싱크탱크/NNG+이/VCP+ㄴ/ETM
헤리티지재단의	헤리티지재단/NNP+의/JKG
에드윈	에드윈/NNP
퓰너(Feulner)	퓰너/NNP+(/SS+Feulner/SL+)/SS
이사장이	이사장/NNG+이/JKS
17일	17/SN+일/NNB
한양대	한양대/NNP
국제대학원에서	국제/NNG+대학원/NNG+에서/JKB
'2011년	'/SS+2011/SN+년/NNB
한·미관계와	한·미/NNP+관계/NNG+와/JC
미국	미국/NNP
중간선거의	중간/NNG+선거/NNG+의/JKG
영향'이란	영향/NNG+'/SS+이/VCP+란/ETM
주제로	주제/NNG+로/JKB
특강을	특강/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.90.4.2
이 자리에서 퓰너 이사장은 2011년 한반도 상황을 매우 어둡게 전망했다.

이	이/MMD
자리에서	자리/NNG+에서/JKB
퓰너	퓰너/NNP
이사장은	이사장/NNG+은/JX
2011년	2011/SN+년/NNB
한반도	한반도/NNP
상황을	상황/NNG+을/JKO
매우	매우/MAG
어둡게	어둡/VA+게/EC
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.90.5.1
그는 "지난해 북한이 과거와 달리 자제력을 잃고 (천안함과 연평도 공격 등) 도발 행위를 감행한 것은 권력승계와 연관된 것일 수 있지만 그만큼 정치·경제가 절박한 상황으로 흘러가고 있다는 것을 방증하는 것"이라며 "한·미 정부 모두 당분간 북한에 대한 압박을 누그러뜨릴 기미가 없기 때문에 북한은 한·미를 대화로 끌어들이기 위해 도발을 중단하지 않을 것"이라고 예측했다.

그는	그/NP+는/JX
"지난해	"/SS+지난해/NNG
북한이	북한/NNP+이/JKS
과거와	과거/NNG+와/JKB
달리	달리/MAG
자제력을	자제력/NNG+을/JKO
잃고	잃/VV+고/EC
(천안함과	(/SS+천안함/NNP+과/JC
연평도	연평도/NNP
공격	공격/NNG
등)	등/NNB+)/SS
도발	도발/NNG
행위를	행위/NNG+를/JKO
감행한	감행/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
권력승계와	권력/NNG+승계/NNG+와/JKB
연관된	연관/NNG+되/XSV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
그만큼	그만큼/MAG
정치·경제가	정치/NNG+·/SP+경제/NNG+가/JKS
절박한	절박하/VA+ㄴ/ETM
상황으로	상황/NNG+으로/JKB
흘러가고	흘러가/VV+고/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
방증하는	방증/NNG+하/XSV+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"한·미	"/SS+한·미/NNP
정부	정부/NNG
모두	모두/MAG
당분간	당분간/MAG
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
압박을	압박/NNG+을/JKO
누그러뜨릴	누그러뜨리/VV+ㄹ/ETM
기미가	기미/NNG+가/JKS
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
북한은	북한/NNP+은/JX
한·미를	한·미/NNP+를/JKO
대화로	대화/NNG+로/JKB
끌어들이기	끌어들이/VV+기/ETN
위해	위하/VV+아/EC
도발을	도발/NNG+을/JKO
중단하지	중단/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.90.6.1
그는 "북한은 한 차례 더 핵실험을 감행할 수도 있고 그렇지 않을 수도 있지만, 분명한 사실은 북한이 국제사회에 긴장을 조성하는 것 자체를 성공으로 본다는 점"이라며 "김정일은 미국과 한국이 북한의 핵실험이 두려워 양보하길 바라고 있다"고 진단했다.

그는	그/NP+는/JX
"북한은	"/SS+북한/NNP+은/JX
한	한/MMN
차례	차례/NNG
더	더/MAG
핵실험을	핵/NNG+실험/NNG+을/JKO
감행할	감행/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있고	있/VA+고/EC
그렇지	그렇/VA+지/EC
않을	않/VX+을/ETM
있지만,	있/VA+지만/EC+,/SP
분명한	분명/MAG+하/XSA+ㄴ/ETM
사실은	사실/NNG+은/JX
북한이	북한/NNP+이/JKS
국제사회에	국제/NNG+사회/NNG+에/JKB
긴장을	긴장/NNG+을/JKO
조성하는	조성/NNG+하/XSV+는/ETM
것	것/NNB
자체를	자체/NNG+를/JKO
성공으로	성공/NNG+으로/JKB
본다는	보/VV+ㄴ다는/ETM
점"이라며	점/NNG+"/SS+이/VCP+라며/EC
"김정일은	"/SS+김정일/NNP+은/JX
미국과	미국/NNP+과/JC
한국이	한국/NNP+이/JKS
북한의	북한/NNP+의/JKG
핵실험이	핵/NNG+실험/NNG+이/JKS
두려워	두렵/VA+어/EC
양보하길	양보/NNG+하/XSV+기/ETN+ㄹ/JKO
바라고	바라/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.90.6.2
퓰너 이사장은 과거에도 북한의 이러한 전략이 주효했고 또 도발로 잃을 것이 별로 없다고 인식하고 있다면서 그 원인으로 "도발이 응징으로 이어진 경우가 없었기 때문"이라고 꼬집었다.

퓰너	퓰너/NNP
이사장은	이사장/NNG+은/JX
과거에도	과거/NNG+에/JKB+도/JX
북한의	북한/NNP+의/JKG
이러한	이러하/VA+ㄴ/ETM
전략이	전략/NNG+이/JKS
주효했고	주효/NNG+하/XSV+았/EP+고/EC
또	또/MAG
도발로	도발/NNG+로/JKB
잃을	잃/VV+을/ETM
것이	것/NNB+이/JKS
별로	별로/MAG
없다고	없/VA+다고/EC
인식하고	인식/NNG+하/XSV+고/EC
있다면서	있/VX+다면서/EC
그	그/MMD
원인으로	원인/NNG+으로/JKB
"도발이	"/SS+도발/NNG+이/JKS
응징으로	응징/NNG+으로/JKB
이어진	이어지/VV+ㄴ/ETM
경우가	경우/NNG+가/JKS
없었기	없/VA+었/EP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


