# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.310
metadata : {}


# id : NWRW1800000028.310.1.1
‘조희문’ 성토장 된 영화인 대토론회

‘조희문’	‘/SS+조희문/NNP+’/SS
성토장	성토장/NNG
된	되/VV+ㄴ/ETM
영화인	영화인/NNG
대토론회	대/XPN+토론회/NNG


# id : NWRW1800000028.310.2.1
1일 오후 서울 용산 국립중앙박물관 대강당 앞에 200여명 가까운 영화인들이 모여들었다.

1일	1/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
용산	용산/NNP
국립중앙박물관	국립중앙박물관/NNP
대강당	대/XPN+강당/NNG
앞에	앞/NNG+에/JKB
200여명	200/SN+여/XSN+명/NNB
가까운	가깝/VA+ㄴ/ETM
영화인들이	영화인/NNG+들/XSN+이/JKS
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.310.2.2
문화체육관광부 주최, 영화진흥위원회(이하 영진위) 주관의 ‘한국영화 발전을 위한 영화인 대토론회’가 이곳에서 열렸다.

문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
주최,	주최/NNG+,/SP
영화진흥위원회(이하	영화/NNG+진흥/NNG+위원회/NNG+(/SS+이하/NNG
영진위)	영진위/NNG+)/SS
주관의	주관/NNG+의/JKG
‘한국영화	‘/SS+한국/NNP+영화/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
영화인	영화인/NNG
대토론회’가	대/XPN+토론회/NNG+’/SS+가/JKS
이곳에서	이곳/NP+에서/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.310.3.1
토론회 시작 10여분을 앞두고 대강당 입구에 조희문 영진위 위원장이 나타났다.

토론회	토론회/NNG
시작	시작/NNG
10여분을	10/SN+여/XSN+분/NNB+을/JKO
앞두고	앞두/VV+고/EC
대강당	대/XPN+강당/NNG
입구에	입구/NNG+에/JKB
조희문	조희문/NNP
영진위	영진위/NNG
위원장이	위원장/NNG+이/JKS
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.310.3.2
영화계의 대표적 지원자라 할 그의 손을 반갑게 맞잡는 영화인들은 드물었다.

영화계의	영화/NNG+계/XSN+의/JKG
대표적	대표/NNG+적/XSN
지원자라	지원자/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
그의	그/NP+의/JKG
손을	손/NNG+을/JKO
반갑게	반갑/VA+게/EC
맞잡는	맞잡/VV+는/ETM
영화인들은	영화인/NNG+들/XSN+은/JX
드물었다.	드물/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.310.3.3
지난 5월 영진위의 독립영화제작지원 심사에 조 위원장이 외압을 행사한 사실이 폭로되고도 100일이 넘도록 자리를 지키고 있는 ‘버티기의 달인’에 대한 영화인들의 감정은 착잡하게 보였다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
영진위의	영진위/NNG+의/JKG
독립영화제작지원	독립/NNG+영화/NNG+제작/NNG+지원/NNG
심사에	심사/NNG+에/JKB
조	조/NNP
위원장이	위원장/NNG+이/JKS
외압을	외압/NNG+을/JKO
행사한	행사/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
폭로되고도	폭로/NNG+되/XSV+고/EC+도/JX
100일이	100/SN+일/NNB+이/JKS
넘도록	넘/VV+도록/EC
자리를	자리/NNG+를/JKO
지키고	지키/VV+고/EC
있는	있/VX+는/ETM
‘버티기의	‘/SS+버티기/NNG+의/JKG
달인’에	달인/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
영화인들의	영화인/NNG+들/XSN+의/JKG
감정은	감정/NNG+은/JX
착잡하게	착잡/NNG+하/XSA+게/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.310.4.1
영화와 거리가 먼 대북 단파 라디오방송사 <열린북한방송>의 지원작과 자신이 직접 출연하는 작품을 뽑으라고 심사위원들한테 국제전화까지 한 조 위원장은 토론회 들머리에 영화인들 앞에서 고개 들어 인사하지 못했다.

영화와	영화/NNG+와/JKB
거리가	거리/NNG+가/JKS
먼	멀/VA+ㄴ/ETM
대북	대북/NNG
단파	단파/NNG
라디오방송사	라디오/NNG+방송사/NNG
<열린북한방송>의	</SS+열린북한방송/NNP+>/SS+의/JKG
지원작과	지원작/NNG+과/JC
자신이	자신/NNG+이/JKS
직접	직접/MAG
출연하는	출연/NNG+하/XSV+는/ETM
작품을	작품/NNG+을/JKO
뽑으라고	뽑/VV+으라고/EC
심사위원들한테	심사/NNG+위원/NNG+들/XSN+한테/JKB
국제전화까지	국제/NNG+전화/NNG+까지/JX
한	하/VV+ㄴ/ETM
조	조/NNP
위원장은	위원장/NNG+은/JX
토론회	토론회/NNG
들머리에	들머리/NNG+에/JKB
영화인들	영화인/NNG+들/XSN
앞에서	앞/NNG+에서/JKB
고개	고개/NNG
들어	들/VV+어/EC
인사하지	인사/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.310.5.1
토론회는 조 위원장과 영진위에 대한 성토장과 다름없었다.

토론회는	토론회/NNG+는/JX
조	조/NNP
위원장과	위원장/NNG+과/JC
영진위에	영진위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
성토장과	성토장/NNG+과/JKB
다름없었다.	다름없/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.310.5.2
예상한 바지만, 수위는 예상밖이었다.

예상한	예상/NNG+하/XSV+ㄴ/ETM
바지만,	바/NNB+이/VCP+지만/EC+,/SP
수위는	수위/NNG+는/JX
예상밖이었다.	예상/NNG+밖/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.310.5.3
영진위 위원과 산업연구원 연구위원의 한국 영화산업의 문제점과 과제 등에 대한 발제가 있었지만, 토론이 시작되자 원로, 청장년을 가릴 것 없이 영화계 대표 토론자들은 조 위원장과 영진위에 대한 비판을 쏟아냈다.

영진위	영진위/NNG
위원과	위원/NNG+과/JKB
산업연구원	산업/NNG+연구원/NNG
연구위원의	연구/NNG+위원/NNG+의/JKG
한국	한국/NNP
영화산업의	영화/NNG+산업/NNG+의/JKG
문제점과	문제점/NNG+과/JC
과제	과제/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
발제가	발제/NNG+가/JKS
있었지만,	있/VA+었/EP+지만/EC+,/SP
토론이	토론/NNG+이/JKS
시작되자	시작/NNG+되/XSV+자/EC
원로,	원로/NNG+,/SP
청장년을	청장년/NNG+을/JKO
가릴	가리/VV+ㄹ/ETM
것	것/NNB
없이	없이/MAG
영화계	영화/NNG+계/XSN
대표	대표/NNG
토론자들은	토론자/NNG+들/XSN+은/JX
조	조/NNP
위원장과	위원장/NNG+과/JC
영진위에	영진위/NNG+에/JKB
비판을	비판/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.310.6.1
정진우 한국영화인복지재단 이사장이 포문을 열었다.

정진우	정진우/NNP
한국영화인복지재단	한국/NNP+영화인/NNG+복지/NNG+재단/NNG
이사장이	이사장/NNG+이/JKS
포문을	포문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.310.6.2
“영진위가 불공정하게 (지원작에 대해) 심사해서 그런 거예요.

“영진위가	“/SS+영진위/NNG+가/JKS
불공정하게	불/XPN+공정/NNG+하/XSA+게/EC
(지원작에	(/SS+지원작/NNG+에/JKB
대해)	대하/VV+아/EC+)/SS
심사해서	심사/NNG+하/XSV+아서/EC
그런	그런/MMD
거예요.	거/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000028.310.6.3
(조 위원장이) 학연이다, 지연이다, 기자 시절 신세졌다, 하면서 뭐 그런 사람들한테 제작 지원금 주고 하는 이따위 짓을 해서는 안 됩니다.

(조	(/SS+조/NNP
위원장이)	위원장/NNG+이/JKS+)/SS
학연이다,	학연/NNG+이/VCP+다/EF+,/SP
지연이다,	지연/NNG+이/VCP+다/EF+,/SP
기자	기자/NNG
시절	시절/NNG
신세졌다,	신세/NNG+지/VV+었/EP+다/EF+,/SP
하면서	하/VV+면서/EC
뭐	뭐/IC
그런	그런/MMD
사람들한테	사람/NNG+들/XSN+한테/JKB
제작	제작/NNG
지원금	지원금/NNG
주고	주/VV+고/EC
하는	하/VX+는/ETM
이따위	이따위/MMD
짓을	짓/NNG+을/JKO
해서는	하/VV+아서/EC+는/JX
안	안/MAG
됩니다.	되/VV+ㅂ니다/EF+./SF


# id : NWRW1800000028.310.6.4
영진위가 쓰는 영화발전기금이 어떤 돈입니까?

영진위가	영진위/NNG+가/JKS
쓰는	쓰/VV+는/ETM
영화발전기금이	영화/NNG+발전/NNG+기금/NNG+이/JKS
어떤	어떤/MMD
돈입니까?	돈/NNG+이/VCP+ㅂ니까/EF+?/SF


# id : NWRW1800000028.310.6.5
제작자들, 감독들, 극장업자들이 어려운 가운데 피나는 노력 해서 모아들인 돈 아닙니까?

제작자들,	제작자/NNG+들/XSN+,/SP
감독들,	감독/NNG+들/XSN+,/SP
극장업자들이	극장업자/NNG+들/XSN+이/JKS
어려운	어렵/VA+ㄴ/ETM
가운데	가운데/NNG
피나는	피나/VV+는/ETM
노력	노력/NNG
해서	하/VV+아서/EC
모아들인	모아들이/VV+ㄴ/ETM
돈	돈/NNG
아닙니까?	아니/VCN+ㅂ니까/EF+?/SF


# id : NWRW1800000028.310.6.6
그런데 영진위 위원장이 전화질해서 특정 작품 지원해줘라 하면….”

그런데	그런데/MAJ
영진위	영진위/NNG
위원장이	위원장/NNG+이/JKS
전화질해서	전화/NNG+질/XSN+하/XSV+아서/EC
특정	특정/NNG
작품	작품/NNG
지원해줘라	지원/NNG+하/XSV+아/EC+주/VX+어라/EF
하면….”	하/VV+면/EC+…/SE+./SF+”/SS


# id : NWRW1800000028.310.6.7
원로 영화인의 목소리는 분노로 떨렸고 끝내 말을 잇지 못했다.

원로	원로/NNG
