# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.98
metadata : {}


# id : NWRW1800000038.98.1.1
눈총만 받던 아프가니스탄의 지적장애 아이들, 하키로 영웅 되다

눈총만	눈총/NNG+만/JX
받던	받/VV+던/ETM
아프가니스탄의	아프가니스탄/NNP+의/JKG
지적장애	지/NNG+적/XSN+장애/NNG
아이들,	아이/NNG+들/XSN+,/SP
하키로	하키/NNG+로/JKB
영웅	영웅/NNG
되다	되/VV+다/EF


# id : NWRW1800000038.98.2.1
평창 스페셜올림픽 출전한 아프간 플로어하키팀

평창	평창/NNP
스페셜올림픽	스페셜올림픽/NNG
출전한	출전/NNG+하/XSV+ㄴ/ETM
아프간	아프간/NNP
플로어하키팀	플로어하키팀/NNG


# id : NWRW1800000038.98.3.1
'절망의 땅'에서 온 소년들의 마음은 희망으로 가득 차 있었다.

'절망의	'/SS+절망/NNG+의/JKG
땅'에서	땅/NNG+'/SS+에서/JKB
온	오/VV+ㄴ/ETM
소년들의	소년/NNG+들/XSN+의/JKG
마음은	마음/NNG+은/JX
희망으로	희망/NNG+으로/JKB
가득	가득/MAG
차	차/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.98.4.1
아프가니스탄에서 온 10대 선수 11명은 3일 강릉 관동대체육관에서 열린 평창 동계 스페셜올림픽 플로어하키 경기에 출전했다.

아프가니스탄에서	아프가니스탄/NNP+에서/JKB
온	오/VV+ㄴ/ETM
10대	10/SN+대/NNB
선수	선수/NNG
11명은	11/SN+명/NNB+은/JX
3일	3/SN+일/NNB
강릉	강릉/NNP
관동대체육관에서	관동대/NNP+체육관/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
평창	평창/NNP
동계	동계/NNG
스페셜올림픽	스페셜올림픽/NNG
플로어하키	플로어하키/NNG
경기에	경기/NNG+에/JKB
출전했다.	출전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.98.4.2
상대팀인 일본에 경기 종료 5초를 남기고 골을 내줘 2대3으로 역전패했지만 실망하지 않았다.

상대팀인	상대/NNG+팀/NNG+이/VCP+ㄴ/ETM
일본에	일본/NNP+에/JKB
경기	경기/NNG
종료	종료/NNG
5초를	5/SN+초/NNB+를/JKO
남기고	남기/VV+고/EC
골을	골/NNG+을/JKO
내줘	내주/VV+어/EC
2대3으로	2/SN+대/NNB+3/SN+으로/JKB
역전패했지만	역전패/NNG+하/XSV+았/EP+지만/EC
실망하지	실망/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.98.5.1
선수들은 경기 후 코트 위에서 원을 그리고 섰다.

선수들은	선수/NNG+들/XSN+은/JX
경기	경기/NNG
후	후/NNG
코트	코트/NNG
위에서	위/NNG+에서/JKB
원을	원/NNG+을/JKO
그리고	그리/VV+고/EC
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.98.5.2
그리곤 "즈완드! 즈완드!"라고 되풀이해 외쳤다.

그리곤	그리고/MAJ+ㄴ/JX
"즈완드!	"/SS+즈완드/NA+!/SF
즈완드!"라고	즈완드/NA+!/SF+"/SS+라고/JKQ
되풀이해	되풀이/NNG+하/XSV+아/EC
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.98.5.3
아프가니스탄 말로 '살자'라는 뜻이다.

아프가니스탄	아프가니스탄/NNP
말로	말/NNG+로/JKB
'살자'라는	'/SS+살/VV+자/EF+'/SS+이/VCP+라는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.98.5.4
모하메드 하지미(48) 감독은 "우린 서로 기운을 북돋우기 위해 언제나 '살자'라고 함께 소리친다"며 "생존이 목표인 선수들에게 어울리는 구호"라 했다.

모하메드	모하메드/NNP
하지미(48)	하지미/NNP+(/SS+48/SN+)/SS
감독은	감독/NNG+은/JX
"우린	"/SS+우리/NP+ㄴ/JX
서로	서로/MAG
기운을	기운/NNG+을/JKO
북돋우기	북돋우/VV+기/ETN
위해	위하/VV+아/EC
언제나	언제나/MAG
'살자'라고	'/SS+살/VV+자/EF+'/SS+라고/JKQ
함께	함께/MAG
소리친다"며	소리치/VV+ㄴ다/EF+"/SS+며/EC
"생존이	"/SS+생존/NNG+이/JKS
목표인	목표/NNG+이/VCP+ㄴ/ETM
선수들에게	선수/NNG+들/XSN+에게/JKB
어울리는	어울리/VV+는/ETM
구호"라	구호/NNG+"/SS+라/JKQ
