# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.194
metadata : {}


# id : NWRW1800000028.194.1.1
기아 모닝 리콜

기아	기아/NNP
모닝	모닝/NNG
리콜	리콜/NNG


# id : NWRW1800000028.194.2.1
국토해양부는 기아자동차가 제작·판매한 ‘모닝’ 승용차에서 제작 결함이 발견돼 제작사가 자발적 리콜을 실시한다고 11일 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
기아자동차가	기아자동차/NNP+가/JKS
제작·판매한	제작/NNG+·/SP+판매/NNG+하/XSV+ㄴ/ETM
‘모닝’	‘/SS+모닝/NNG+’/SS
승용차에서	승용차/NNG+에서/JKB
제작	제작/NNG
결함이	결함/NNG+이/JKS
발견돼	발견/NNG+되/XSV+어/EC
제작사가	제작사/NNG+가/JKS
자발적	자발/NNG+적/XSN
리콜을	리콜/NNG+을/JKO
실시한다고	실시/NNG+하/XSV+ㄴ다고/EC
11일	11/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.194.3.1
결함 부분은 연료 주입구(주유구)의 플라스틱 파이프로, 겨울 폭설 때 뿌리는 염화칼슘과 반응할 경우 일정기간 뒤 미세하게 갈라져 연료가 누출될 수 있는 것으로 나타났다.

결함	결함/NNG
부분은	부분/NNG+은/JX
연료	연료/NNG
주입구(주유구)의	주입구/NNG+(/SS+주유구/NNG+)/SS+의/JKG
플라스틱	플라스틱/NNG
파이프로,	파이프/NNG+로/JKB+,/SP
겨울	겨울/NNG
폭설	폭설/NNG
때	때/NNG
뿌리는	뿌리/VV+는/ETM
염화칼슘과	염화/NNG+칼슘/NNG+과/JC
반응할	반응/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
일정기간	일정/NNG+기간/NNG
뒤	뒤/NNG
미세하게	미세/NNG+하/XSA+게/EC
갈라져	갈라지/VV+어/EC
연료가	연료/NNG+가/JKS
누출될	누출/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.194.3.2
리콜 대상은 지난해 11월13일부터 올 2월5일 생산해 판매한 모닝 2만777대이다.

리콜	리콜/NNG
대상은	대상/NNG+은/JX
지난해	지난해/NNG
11월13일부터	11/SN+월/NNB+13/SN+일/NNB+부터/JX
올	올/NNG
2월5일	2/SN+월/NNB+5/SN+일/NNB
생산해	생산/NNG+하/XSV+아/EC
판매한	판매/NNG+하/XSV+ㄴ/ETM
모닝	모닝/NNG
2만777대이다.	2/SN+만/NR+777/SN+대/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.194.4.1
해당 자동차 소유자는 14일부터 기아자동차 직영 서비스센터에서 무상수리(연료주입구 플라스틱 파이프 교환)를 받을 수 있다.

해당	해당/NNG
자동차	자동차/NNG
소유자는	소유자/NNG+는/JX
14일부터	14/SN+일/NNB+부터/JX
기아자동차	기아자동차/NNP
직영	직영/NNG
서비스센터에서	서비스/NNG+센터/NNG+에서/JKB
무상수리(연료주입구	무상/NNG+수리/NNG+(/SS+연료/NNG+주입구/NNG
플라스틱	플라스틱/NNG
파이프	파이프/NNG
교환)를	교환/NNG+)/SS+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.194.4.2
또 리콜을 하기 전 자동차 소유자가 이번 제작결함에 해당되는 사항을 고친 경우 기아자동차 직영서비스센터에 신청해 수리 비용을 보상받을 수 있다.

또	또/MAG
리콜을	리콜/NNG+을/JKO
하기	하/VV+기/ETN
전	전/NNG
자동차	자동차/NNG
소유자가	소유자/NNG+가/JKS
이번	이번/NNG
제작결함에	제작/NNG+결함/NNG+에/JKB
해당되는	해당/NNG+되/XSV+는/ETM
사항을	사항/NNG+을/JKO
고친	고치/VV+ㄴ/ETM
경우	경우/NNG
기아자동차	기아자동차/NNP
직영서비스센터에	직영/NNG+서비스/NNG+센터/NNG+에/JKB
신청해	신청/NNG+하/XSV+아/EC
수리	수리/NNG
비용을	비용/NNG+을/JKO
보상받을	보상/NNG+받/XSV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


