# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.362
metadata : {}


# id : NWRW1800000056.362.1.1
[단독]칼 빈슨 4월말 한반도행…국방부, 알고도 숨겼다

[단독]칼	[/SS+단독/NNG+]/SS+칼/NNP
빈슨	빈슨/NNP
4월말	4/SN+월/NNB+말/NNB
한반도행…국방부,	한반도행/NNG+…/SE+국방부/NNG+,/SP
알고도	알/VV+고/EC+도/JX
숨겼다	숨기/VV+었/EP+다/EF


# id : NWRW1800000056.362.2.1
이철희 의원실 “4월9일 미국서 통보”

이철희	이철희/NNP
의원실	의원실/NNG
“4월9일	“/SS+4/SN+월/NNB+9/SN+일/NNB
미국서	미국/NNP+서/JKB
통보”	통보/NNG+”/SS


# id : NWRW1800000056.362.3.1
위기설 높아지는데 사태 방조한 셈

위기설	위기설/NNG
높아지는데	높아지/VV+는데/EC
사태	사태/NNG
방조한	방조/NNG+하/XSV+ㄴ/ETM
셈	셈/NNB


# id : NWRW1800000056.362.4.1
국방부가 미국의 핵추진 항공모함 칼 빈슨함이 애초 알려진 것과 달리 4월 말께나 한반도 인근 해역에 진입한다는 사실을 4월 초순에 미리 알았으면서도 이를 숨겨온 것으로 드러났다.

국방부가	국방부/NNG+가/JKS
미국의	미국/NNP+의/JKG
핵추진	핵/NNG+추진/NNG
항공모함	항공/NNG+모함/NNG
칼	칼/NNP
빈슨함이	빈슨함/NNP+이/JKS
애초	애초/NNG
알려진	알려지/VV+ㄴ/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
4월	4/SN+월/NNB
말께나	말/NNB+께/XSN+나/JX
한반도	한반도/NNP
인근	인근/NNG
해역에	해역/NNG+에/JKB
진입한다는	진입/NNG+하/XSV+ㄴ다는/ETM
사실을	사실/NNG+을/JKO
초순에	초순/NNG+에/JKB
미리	미리/MAG
알았으면서도	알/VV+았/EP+으면서/EC+도/JX
이를	이/NP+를/JKO
숨겨온	숨기/VV+어/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.362.4.2
당시 칼 빈슨함 한반도 이동과 연관된 `4월 위기설'이 한반도를 뒤흔드는 상황에서, 국방부는 칼 빈슨함의 한반도 전개 시기가 언론 등의 예상보다 훨씬 늦어진다는 것을 알면서도 그런 사실을 숨긴 채 함의 위치에 대한 빗발치는 확인 요구를 무시하는 방법으로 위기설을 방관한 셈이다.

당시	당시/NNG
칼	칼/NNP
빈슨함	빈슨함/NNP
한반도	한반도/NNP
이동과	이동/NNG+과/JKB
