# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.401
metadata : {}


# id : NWRW1800000036.401.1.1
‘공천 헌금’ 현영희 의원 영장 기각

‘공천	‘/SS+공천/NNG
헌금’	헌금/NNG+’/SS
현영희	현영희/NNP
의원	의원/NNG
영장	영장/NNG
기각	기각/NNG


# id : NWRW1800000036.401.2.1
[한겨레] 새누리당 국회의원 후보로 공천을 받게 달라며 3억원을 건넨 혐의로 검찰이 청구한 현영희(61·무소속) 의원의 사전구속영장을 법원이 기각했다.

[한겨레]	[/SS+한겨레/NNP+]/SS
새누리당	새누리당/NNP
국회의원	국회/NNG+의원/NNG
후보로	후보/NNG+로/JKB
공천을	공천/NNG+을/JKO
받게	받/VV+게/EC
달라며	달/VX+라며/EC
3억원을	3/SN+억/NR+원/NNB+을/JKO
건넨	건네/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
검찰이	검찰/NNG+이/JKS
청구한	청구/NNG+하/XSV+ㄴ/ETM
현영희(61·무소속)	현영희/NNP+(/SS+61/SN+·/SP+무/XPN+소속/NNG+)/SS
의원의	의원/NNG+의/JKG
사전구속영장을	사전/NNG+구속/NNG+영장/NNG+을/JKO
법원이	법원/NNG+이/JKS
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.401.3.1
이혁 부산지법 영장전담판사는 7일 오후 현 의원을 상대로 구속 전 피의자 심문(영장 실질심사)을 벌여 밤늦게 “구속의 필요성 및 상당성이 부족하다고 판단된다”며 부산지검 공안부가 청구한 구속영장을 기각했다.

이혁	이혁/NNP
부산지법	부산지법/NNP
영장전담판사는	영장/NNG+전담/NNG+판사/NNG+는/JX
7일	7/SN+일/NNB
오후	오후/NNG
현	현/NNP
의원을	의원/NNG+을/JKO
상대로	상대/NNG+로/JKB
구속	구속/NNG
전	전/NNG
피의자	피의자/NNG
심문(영장	심문/NNG+(/SS+영장/NNG
실질심사)을	실질/NNG+심사/NNG+)/SS+을/JKO
벌여	벌이/VV+어/EC
밤늦게	밤늦/VA+게/EC
“구속의	“/SS+구속/NNG+의/JKG
필요성	필요/NNG+성/XSN
및	및/MAG
상당성이	상당/NNG+성/XSN+이/JKS
부족하다고	부족/NNG+하/XSA+다고/EC
판단된다”며	판단/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
부산지검	부산지검/NNP
공안부가	공안부/NNG+가/JKS
청구한	청구/NNG+하/XSV+ㄴ/ETM
구속영장을	구속/NNG+영장/NNG+을/JKO
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.401.3.2
현 의원은 총선을 앞둔 지난 3월15일 ‘새누리당 공천을 받을 수 있도록 힘써달라’며 자신의 비서를 시켜 서울역에서 조기문(46·구속) 전 새누리당 부산시당 홍보위원장에게 3억원을 건넨 혐의 등을 받고 있다.

현	현/NNP
의원은	의원/NNG+은/JX
총선을	총선/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
3월15일	3/SN+월/NNB+15/SN+일/NNB
‘새누리당	‘/SS+새누리당/NNP
공천을	공천/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
힘써달라’며	힘쓰/VV+어/EC+달/VX+라/EF+’/SS+며/EC
자신의	자신/NNG+의/JKG
비서를	비서/NNG+를/JKO
시켜	시키/VV+어/EC
서울역에서	서울역/NNP+에서/JKB
조기문(46·구속)	조기문/NNP+(/SS+46/SN+·/SP+구속/NNG+)/SS
전	전/MMD
새누리당	새누리당/NNP
부산시당	부산시/NNP+당/NNG
홍보위원장에게	홍보/NNG+위원장/NNG+에게/JKB
3억원을	3/SN+억/NR+원/NNB+을/JKO
건넨	건네/VV+ㄴ/ETM
혐의	혐의/NNG
등을	등/NNB+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.401.4.1
이 판사는 “이 사건의 핵심인 ‘공직후보자 추천 관련 3억원 제공 혐의’와 관련해 제보자(현 의원의 비서)의 진술, 500만원을 받았다고 했다가 번복해 5000만원을 수령했다는 공범(조기문 전 홍보위원장)의 진술, 500만원을 줬다는 피의자(현 의원)의 진술, 여러 정황 증거를 살피더라도, 피의자가 죄를 범했다고 의심할 만한 상당한 이유가 있다고 단정하기 어렵다”고 기각 사유를 밝혔다.

이	이/NNP
판사는	판사/NNG+는/JX
“이	“/SS+이/MMD
사건의	사건/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
‘공직후보자	‘/SS+공직/NNG+후보자/NNG
추천	추천/NNG
관련	관련/NNG
3억원	3/SN+억/NR+원/NNB
제공	제공/NNG
혐의’와	혐의/NNG+’/SS+와/JKB
관련해	관련/NNG+하/XSV+아/EC
제보자(현	제보자/NNG+(/SS+현/NNP
의원의	의원/NNG+의/JKG
비서)의	비서/NNG+)/SS+의/JKG
진술,	진술/NNG+,/SP
500만원을	500/SN+만/NR+원/NNB+을/JKO
받았다고	받/VV+았/EP+다고/EC
했다가	하/VV+았/EP+다가/EC
번복해	번복/NNG+하/XSV+아/EC
5000만원을	5000/SN+만/NR+원/NNB+을/JKO
수령했다는	수령/NNG+하/XSV+았/EP+다는/ETM
공범(조기문	공범/NNG+(/SS+조기문/NNP
전	전/MMD
홍보위원장)의	홍보/NNG+위원장/NNG+)/SS+의/JKG
줬다는	주/VV+었/EP+다는/ETM
피의자(현	피의자/NNG+(/SS+현/NNP
의원)의	의원/NNG+)/SS+의/JKG
여러	여러/MMN
정황	정황/NNG
증거를	증거/NNG+를/JKO
살피더라도,	살피/VV+더라도/EC+,/SP
피의자가	피의자/NNG+가/JKS
죄를	죄/NNG+를/JKO
범했다고	범하/VV+았/EP+다고/EC
의심할	의심/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
상당한	상당/NNG+하/XSA+ㄴ/ETM
이유가	이유/NNG+가/JKS
있다고	있/VA+다고/EC
단정하기	단정/NNG+하/XSV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
기각	기각/NNG
사유를	사유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.401.5.1
현 의원이 남의 이름으로 새누리당 의원 2명에게 500만원씩 후원금을 제공한 혐의 등도 “피의자로선 다투어볼 여지가 있어 보인다”고 덧붙였다.

현	현/NNP
의원이	의원/NNG+이/JKS
남의	남/NNG+의/JKG
이름으로	이름/NNG+으로/JKB
새누리당	새누리당/NNP
의원	의원/NNG
2명에게	2/SN+명/NNB+에게/JKB
500만원씩	500/SN+만/NR+원/NNB+씩/XSN
후원금을	후원금/NNG+을/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
혐의	혐의/NNG
등도	등/NNB+도/JX
“피의자로선	“/SS+피의자/NNG+로서/JKB+ㄴ/JX
다투어볼	다투/VV+어/EC+보/VX+ㄹ/ETM
여지가	여지/NNB+가/JKS
있어	있/VA+어/EC
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.401.6.1
새누리당은 지난달 17일 현 의원을 제명했고, 국회는 지난 6일 본회의를 열어 현 의원에 대한 체포동의안을 찬성 200표, 반대 47표, 기권 5표, 무효 14표로 가결했다.

새누리당은	새누리당/NNP+은/JX
지난달	지난달/NNG
17일	17/SN+일/NNB
현	현/NNP
의원을	의원/NNG+을/JKO
제명했고,	제명/NNG+하/XSV+았/EP+고/EC+,/SP
국회는	국회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
본회의를	본회의/NNG+를/JKO
열어	열/VV+어/EC
의원에	의원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
체포동의안을	체포/NNG+동의안/NNG+을/JKO
찬성	찬성/NNG
200표,	200/SN+표/NNG+,/SP
반대	반대/NNG
47표,	47/SN+표/NNG+,/SP
기권	기권/NNG
5표,	5/SN+표/NNG+,/SP
무효	무효/NNG
14표로	14/SN+표/NNG+로/JKB
가결했다.	가결/NNG+하/XSV+았/EP+다/EF+./SF


