# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.104
metadata : {}


# id : NWRW1800000045.104.1.1
[Economic Review]꾸준한 나눔-공유로 ‘공존공영’ 가치 창출

[Economic	[/SS+Economic/SL
Review]꾸준한	Review/SL+]/SS+꾸준하/VA+ㄴ/ETM
나눔-공유로	나누/VV+ㅁ/ETN+-/SO+공유/NNG+로/JKB
‘공존공영’	‘/SS+공존공영/NNG+’/SS
가치	가치/NNG
창출	창출/NNG


# id : NWRW1800000045.104.2.1
파나소닉코리아㈜

파나소닉코리아㈜	파나소닉코리아/NNP+㈜/SW


# id : NWRW1800000045.104.3.1
최근 경기 불황이 장기화되면서 사회공헌을 필수 활동으로 삼는 기업이 늘고 있다.

최근	최근/MAG
경기	경기/NNG
불황이	불황/NNG+이/JKS
장기화되면서	장기/NNG+화/XSN+되/XSV+면서/EC
사회공헌을	사회/NNG+공헌/NNG+을/JKO
필수	필수/NNG
활동으로	활동/NNG+으로/JKB
삼는	삼/VV+는/ETM
기업이	기업/NNG+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.104.3.2
그러나 연말연시나 특별한 시기에만 생색내듯 사회공헌 활동을 하는 기업들도 있는 게 현실.

그러나	그러나/MAJ
연말연시나	연말연시/NNG+나/JC
특별한	특별/NNG+하/XSA+ㄴ/ETM
시기에만	시기/NNG+에/JKB+만/JX
생색내듯	생색내/VV+듯/EC
사회공헌	사회/NNG+공헌/NNG
활동을	활동/NNG+을/JKO
하는	하/VV+는/ETM
기업들도	기업/NNG+들/XSN+도/JX
있는	있/VA+는/ETM
게	거/NNB+이/JKS
현실.	현실/NNG+./SF


# id : NWRW1800000045.104.3.3
사회공헌은 기업의 장기생존 전략이며 직원들에게도 자부심을 심는 일임을 잘 알고 일상 속에서 지속적으로 노력하는 것이 중요하다.

사회공헌은	사회/NNG+공헌/NNG+은/JX
기업의	기업/NNG+의/JKG
장기생존	장기/NNG+생존/NNG
전략이며	전략/NNG+이/VCP+며/EC
직원들에게도	직원/NNG+들/XSN+에게/JKB+도/JX
자부심을	자부심/NNG+을/JKO
심는	심/VV+는/ETM
일임을	일/NNG+이/VCP+ㅁ/ETN+을/JKO
잘	잘/MAG
알고	알/VV+고/EC
일상	일상/NNG
속에서	속/NNG+에서/JKB
지속적으로	지속/NNG+적/XSN+으로/JKB
노력하는	노력/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.104.4.1
이런 관점으로 꾸준히 ‘나눔’과 ‘공유’의 가치를 실천하는 기업들이 있다.

이런	이런/MMD
관점으로	관점/NNG+으로/JKB
꾸준히	꾸준히/MAG
‘나눔’과	‘/SS+나누/VV+ㅁ/ETN+’/SS+과/JC
‘공유’의	‘/SS+공유/NNG+’/SS+의/JKG
가치를	가치/NNG+를/JKO
실천하는	실천/NNG+하/XSV+는/ETM
기업들이	기업/NNG+들/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.104.4.2
일본이 낳은 ‘경영의 신’ 고 마쓰시타 고노스케가 설립한 파나소닉의 한국 법인 파나소닉코리아㈜가 그중 하나.

일본이	일본/NNP+이/JKS
낳은	낳/VV+은/ETM
‘경영의	‘/SS+경영/NNG+의/JKG
신’	신/NNG+’/SS
고	고/MMA
마쓰시타	마쓰시타/NNP
고노스케가	고노스케/NNP+가/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
파나소닉의	파나소닉/NNP+의/JKG
한국	한국/NNP
법인	법인/NNG
파나소닉코리아㈜가	파나소닉코리아/NNP+㈜/SW+가/JKS
그중	그중/NNG
하나.	하나/NR+./SF


# id : NWRW1800000045.104.4.3
파나소닉코리아는 ‘A Better Life, A Better World’라는 기업 슬로건처럼 창업주 마쓰시타 고노스케의 경영 정신에 기반한 사회와의 ‘공존공영’에 앞장서고 있다.

파나소닉코리아는	파나소닉코리아/NNP+는/JX
‘A	‘/SS+A/SL
Better	Better/SL
Life,	Life/SL+,/SP
A	A/SL
World’라는	World/SL+’/SS+이/VCP+라는/ETM
기업	기업/NNG
슬로건처럼	슬로건/NNG+처럼/JKB
창업주	창업주/NNG
마쓰시타	마쓰시타/NNP
고노스케의	고노스케/NNP+의/JKG
경영	경영/NNG
정신에	정신/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
사회와의	사회/NNG+와/JKB+의/JKG
‘공존공영’에	‘/SS+공존공영/NNG+’/SS+에/JKB
앞장서고	앞장서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.104.5.1
최근에는 윤리 경영과 사회적 책임이라는 기반 아래 환경-문화 진흥 사업을 지원하며 창립 100주년인 2018년에는 평창 겨울올림픽의 공식 후원을 맡기도 하였다.

최근에는	최근/NNG+에/JKB+는/JX
윤리	윤리/NNG
경영과	경영/NNG+과/JC
사회적	사회/NNG+적/XSN
책임이라는	책임/NNG+이/VCP+라는/ETM
기반	기반/NNG
아래	아래/NNG
환경-문화	환경/NNG+-/SO+문화/NNG
진흥	진흥/NNG
사업을	사업/NNG+을/JKO
지원하며	지원/NNG+하/XSV+며/EC
창립	창립/NNG
100주년인	100/SN+주년/NNB+이/VCP+ㄴ/ETM
2018년에는	2018/SN+년/NNB+에/JKB+는/JX
평창	평창/NNP
겨울올림픽의	겨울/NNG+올림픽/NNG+의/JKG
공식	공식/NNG
후원을	후원/NNG+을/JKO
맡기도	맡/VV+기/ETN+도/JX
하였다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.104.6.1
파나소닉은 전자 강국 일본에서도 6만 종에 달하는 정보기술(IT), 가전제품을 생산하는 베테랑 기업이다.

파나소닉은	파나소닉/NNP+은/JX
전자	전자/NNG
강국	강국/NNG
일본에서도	일본/NNP+에서/JKB+도/JX
6만	6/SN+만/NR
종에	종/NNG+에/JKB
달하는	달하/VV+는/ETM
정보기술(IT),	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS+,/SP
가전제품을	가전제품/NNG+을/JKO
생산하는	생산/NNG+하/XSV+는/ETM
베테랑	베테랑/NNG
기업이다.	기업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.104.7.1
