# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.113
metadata : {}


# id : NWRW1800000030.113.1.1
익명 세상의 희망, 격려 댓글 동영상 만든 대학생

익명	익명/NNG
세상의	세상/NNG+의/JKG
희망,	희망/NNG+,/SP
격려	격려/NNG
댓글	댓글/NNG
동영상	동영상/NNG
만든	만들/VV+ㄴ/ETM
대학생	대학/NNG+생/XSN


# id : NWRW1800000030.113.2.1
•인터넷 윤리대전 大賞

•인터넷	•/SW+인터넷/NNG
윤리대전	윤리/NNG+대전/NNG
大賞	大賞/SH


# id : NWRW1800000030.113.3.1
"내가 지금 달고 있는 댓글이 모니터 너머의 누군가에게 격려와 칭찬이 된다면 더 나은 세상이 이뤄지겠죠.

"내가	"/SS+내/NP+가/JKS
지금	지금/MAG
달고	달/VV+고/EC
있는	있/VX+는/ETM
댓글이	댓글/NNG+이/JKS
모니터	모니터/NNG
너머의	너머/NNG+의/JKG
누군가에게	누구/NP+이/VCP+ㄴ가/EF+에게/JKB
격려와	격려/NNG+와/JC
칭찬이	칭찬/NNG+이/JKS
된다면	되/VV+ㄴ다면/EC
더	더/MAG
나은	낫/VA+은/ETM
세상이	세상/NNG+이/JKS
이뤄지겠죠.	이뤄지/VV+겠/EP+죠/EF+./SF


# id : NWRW1800000030.113.3.2
그런 메시지를 전하고 싶었어요.

그런	그런/MMD
메시지를	메시지/NNG+를/JKO
전하고	전하/VV+고/EC
싶었어요.	싶/VX+었/EP+어요/EF+./SF


# id : NWRW1800000030.113.3.3
모든 사람이 좀 더 신중하고 따뜻한 댓글을 달았으면 좋겠어요."

모든	모든/MMN
사람이	사람/NNG+이/JKS
좀	좀/MAG
더	더/MAG
신중하고	신중/NNG+하/XSA+고/EC
따뜻한	따뜻하/VA+ㄴ/ETM
댓글을	댓글/NNG+을/JKO
달았으면	달/VV+았/EP+으면/EC
좋겠어요."	좋/VA+겠/EP+어요/EF+./SF+"/SS


