# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.387
metadata : {}


# id : NWRW1800000029.387.1.1
경제 꼬인 日, FTA 협상재개 주력할 듯

경제	경제/NNG
꼬인	꼬이/VV+ㄴ/ETM
日,	日/SH+,/SP
FTA	FTA/SL
협상재개	협상/NNG+재개/NNG
주력할	주력/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000029.387.2.1
노다 日 총리 첫 외교행보로 한국 선택… 내일 방한-19일 정상회담

노다	노다/NNP
日	日/SH
총리	총리/NNG
첫	첫/MMN
외교행보로	외교/NNG+행보/NNG+로/JKB
한국	한국/NNP
선택…	선택/NNG+…/SE
내일	내일/MAG
방한-19일	방한/NNG+-/SO+19/SN+일/NNB
정상회담	정상/NNG+회담/NNG


# id : NWRW1800000029.387.3.1
노다 요시히코(野田佳彦) 일본 총리가 18, 19일 이틀 동안 한국을 방문해 이명박 대통령과 정상회담을 갖는다.

노다	노다/NNP
요시히코(野田佳彦)	요시히코/NNP+(/SS+野田佳彦/SH+)/SS
일본	일본/NNP
총리가	총리/NNG+가/JKS
18,	18/SN+,/SP
19일	19/SN+일/NNB
이틀	이틀/NNG
동안	동안/NNG
한국을	한국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
이명박	이명박/NNP
대통령과	대통령/NNG+과/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000029.387.3.2
두 나라 정상이 양자회담을 위해 상대국을 찾는 것은 2009년 10월 하토야마 유키오(鳩山由紀夫) 총리 방한 이후 처음이다.

두	두/MMN
나라	나라/NNG
정상이	정상/NNG+이/JKS
양자회담을	양자/NNG+회담/NNG+을/JKO
위해	위하/VV+아/EC
상대국을	상대국/NNG+을/JKO
찾는	찾/VV+는/ETM
것은	것/NNB+은/JX
2009년	2009/SN+년/NNB
10월	10/SN+월/NNB
하토야마	하토야마/NNP
유키오(鳩山由紀夫)	유키오/NNP+(/SS+鳩山由紀夫/SH+)/SS
총리	총리/NNG
방한	방한/NNG
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.387.3.3
한일 외교관계자들은 “취임 후 국내정치에 집중해온 노다 총리가 본격적인 외교 행보의 첫 무대로 한국을 선택한 것은 한국의 전략적 중요성을 보여주는 것”이라고 평가했다.

한일	한일/NNP
외교관계자들은	외교/NNG+관계자/NNG+들/XSN+은/JX
“취임	“/SS+취임/NNG
후	후/NNG
국내정치에	국내/NNG+정치/NNG+에/JKB
집중해온	집중/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
노다	노다/NNP
총리가	총리/NNG+가/JKS
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
외교	외교/NNG
행보의	행보/NNG+의/JKG
첫	첫/MMN
무대로	무대/NNG+로/JKB
한국을	한국/NNP+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
한국의	한국/NNP+의/JKG
전략적	전략/NNG+적/XSN
중요성을	중요/NNG+성/XSN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.387.4.1
○ 실질적 동반자 관계로 성숙

○	○/SW
실질적	실질/NNG+적/XSN
동반자	동반자/NNG
관계로	관계/NNG+로/JKB
성숙	성숙/NNG


# id : NWRW1800000029.387.5.1
한일 양국 외교관계자들은 노다 총리의 방한 시기에 각별한 의미를 부여하고 있다.

한일	한일/NNP
양국	양국/NNG
외교관계자들은	외교/NNG+관계자/NNG+들/XSN+은/JX
노다	노다/NNP
총리의	총리/NNG+의/JKG
방한	방한/NNG
시기에	시기/NNG+에/JKB
각별한	각별/NNG+하/XSA+ㄴ/ETM
의미를	의미/NNG+를/JKO
부여하고	부여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.387.5.2
지난달 말 뉴욕에서 열린 유엔총회 참석을 위해 미국을 방문했지만 정상회담을 목적으로 외국을 방문하는 것이 처음인 노다 총리가 20일부터 열리는 일본 정기국회를 앞두고 서둘러 한국 방문을 결정한 것은 의미가 작지 않다는 것.

지난달	지난달/NNG
말	말/NNB
뉴욕에서	뉴욕/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
유엔총회	유엔/NNP+총회/NNG
참석을	참석/NNG+을/JKO
위해	위하/VV+아/EC
미국을	미국/NNP+을/JKO
방문했지만	방문/NNG+하/XSV+았/EP+지만/EC
정상회담을	정상/NNG+회담/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
외국을	외국/NNG+을/JKO
방문하는	방문/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
처음인	처음/NNG+이/VCP+ㄴ/ETM
노다	노다/NNP
총리가	총리/NNG+가/JKS
20일부터	20/SN+일/NNB+부터/JX
열리는	열리/VV+는/ETM
일본	일본/NNP
정기국회를	정기/NNG+국회/NNG+를/JKO
앞두고	앞두/VV+고/EC
서둘러	서두르/VV+어/EC
한국	한국/NNP
방문을	방문/NNG+을/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
의미가	의미/NNG+가/JKS
작지	작/VA+지/EC
않다는	않/VX+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.387.6.1
일본은 대지진과 원전사고, 엔화가치 급등 등 국내 현안이 산적해 있다.

일본은	일본/NNP+은/JX
대지진과	대/XPN+지진/NNG+과/JC
원전사고,	원전/NNG+사고/NNG+,/SP
엔화가치	엔화/NNG+가치/NNG
급등	급등/NNG
등	등/NNB
국내	국내/NNG
현안이	현안/NNG+이/JKS
산적해	산적/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.387.6.2
국회 회기 중 총리가 외국을 방문하려면 국회 승인도 필요하다.

국회	국회/NNG
회기	회기/NNG
중	중/NNB
총리가	총리/NNG+가/JKS
외국을	외국/NNG+을/JKO
방문하려면	방문/NNG+하/XSV+려면/EC
승인도	승인/NNG+도/JX
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.387.6.3
노다 총리가 국내 정치일정에 구애받지 않는 시점을 선택한 것은 한국과의 관계 개선에 의욕을 보이고 있는 증거라는 평가다.

노다	노다/NNP
총리가	총리/NNG+가/JKS
국내	국내/NNG
정치일정에	정치/NNG+일정/NNG+에/JKB
구애받지	구애/NNG+받/XSV+지/EC
않는	않/VX+는/ETM
시점을	시점/NNG+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
한국과의	한국/NNP+과/JKB+의/JKG
관계	관계/NNG
개선에	개선/NNG+에/JKB
의욕을	의욕/NNG+을/JKO
보이고	보이/VV+고/EC
있는	있/VX+는/ETM
증거라는	증거/NNG+이/VCP+라는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.387.7.1
일본의 국제정치 전문가들은 중국의 군사적 팽창과 북한의 도발로 동아시아지역 안보가 불안하고 전통적인 우방인 미국과의 관계 역시 후텐마 미군기지 이전문제로 꼬인 상태에서 한국의 전략적 중요성이 높아졌다고 분석한다.

