# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.361
metadata : {}


# id : NWRW1800000030.361.1.1
[수도권] 목동 아이스링크 낡은 때 벗고 새 얼굴로

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
목동	목동/NNP
아이스링크	아이스링크/NNG
낡은	낡/VV+은/ETM
때	때/NNG
벗고	벗/VV+고/EC
새	새/MMA
얼굴로	얼굴/NNG+로/JKB


# id : NWRW1800000030.361.2.1
•종목따라 얼음 상태 조절… 관중석엔 난로 설치

•종목따라	•/SW+종목/NNG+따르/VV+아/EC
얼음	얼음/NNG
상태	상태/NNG
조절…	조절/NNG+…/SE
관중석엔	관중석/NNG+에/JKB+ㄴ/JX
난로	난로/NNG
설치	설치/NNG


# id : NWRW1800000030.361.3.1
"딸아이가 피겨스케이트를 배우는 동안 편안히 기다릴 수 있도록 따뜻한 난로가 설치된 관중석이 새로 생겨 몰라보게 좋아졌어요."

"딸아이가	"/SS+딸아이/NNG+가/JKS
피겨스케이트를	피겨/NNG+스케이트/NNG+를/JKO
배우는	배우/VV+는/ETM
동안	동안/NNG
편안히	편안히/MAG
기다릴	기다리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
따뜻한	따뜻하/VA+ㄴ/ETM
난로가	난로/NNG+가/JKS
설치된	설치/NNG+되/XSV+ㄴ/ETM
관중석이	관중석/NNG+이/JKS
새로	새로/MAG
생겨	생기/VV+어/EC
몰라보게	몰라보/VV+게/EC
좋아졌어요."	좋/VA+아/EC+지/VX+었/EP+어요/EF+./SF+"/SS


# id : NWRW1800000030.361.4.1
지난 11일 오후 서울 양천구 목동아이스링크 지하 보조경기장에서 피겨를 배우는 초등학교 1학년 딸을 바라보던 김모(40·양천구 목동)씨는 링크 바깥쪽 세 곳의 모퉁이에 설치된 나무 관중석을 가리키며 이렇게 말했다.

지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
양천구	양천구/NNP
목동아이스링크	목동아이스링크/NNP
지하	지하/NNG
보조경기장에서	보조/NNG+경기장/NNG+에서/JKB
피겨를	피겨/NNG+를/JKO
배우는	배우/VV+는/ETM
초등학교	초등학교/NNG
1학년	1/SN+학년/NNG
딸을	딸/NNG+을/JKO
바라보던	바라보/VV+던/ETM
김모(40·양천구	김/NNP+모/NP+(/SS+40/SN+·/SP+양천구/NNP
목동)씨는	목동/NNP+)/SS+씨/NNB+는/JX
링크	링크/NNG
바깥쪽	바깥쪽/NNG
세	세/MMN
곳의	곳/NNG+의/JKG
모퉁이에	모퉁이/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
나무	나무/NNG
관중석을	관중석/NNG+을/JKO
가리키며	가리키/VV+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


