# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.333
metadata : {}


# id : NWRW1800000024.333.1.1
‘교과서값 자율화’ 무상교육에 불똥 튀나

‘교과서값	‘/SS+교과서/NNG+값/NNG
자율화’	자율/NNG+화/XSN+’/SS
무상교육에	무상/NNG+교육/NNG+에/JKB
불똥	불똥/NNG
튀나	튀/VV+나/EF


# id : NWRW1800000024.333.2.1
무상교육 단계인 초·중학교에서도 교과서를 무상이 아닌 유료로 지급하거나, 한 권의 책을 여러 명이 함께 쓰도록 하는 방안이 검토되고 있다.

무상교육	무상/NNG+교육/NNG
단계인	단계/NNG+이/VCP+ㄴ/ETM
초·중학교에서도	초·중학교/NNG+에서/JKB+도/JX
교과서를	교과서/NNG+를/JKO
무상이	무상/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
유료로	유료/NNG+로/JKB
지급하거나,	지급/NNG+하/XSV+거나/EC+,/SP
한	한/MMN
권의	권/NNB+의/JKG
책을	책/NNG+을/JKO
여러	여러/MMN
명이	명/NNB+이/JKS
함께	함께/MAG
쓰도록	쓰/VV+도록/EC
하는	하/VX+는/ETM
방안이	방안/NNG+이/JKS
검토되고	검토/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.333.3.1
교육과학기술부는 15일 서울 종로구 교원소청심사위원회 대강당에서 ‘미래형 교과서 정책 토론회’를 열어 이런 방안을 제시했다.

교육과학기술부는	교육/NNG+과학/NNG+기술부/NNG+는/JX
15일	15/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
교원소청심사위원회	교원/NNG+소청/NNG+심사/NNG+위원회/NNG
대강당에서	대/XPN+강당/NNG+에서/JKB
‘미래형	‘/SS+미래/NNG+형/XSN
교과서	교과서/NNG
정책	정책/NNG
토론회’를	토론회/NNG+’/SS+를/JKO
열어	열/VV+어/EC
이런	이런/MMD
방안을	방안/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.333.4.1
이날 ‘교과서 가격 및 공급제도 개선’을 주제로 발표한 김재춘 영남대 교수(교육학)는 교과부가 지난 7월 말, 28년 동안 유지돼 온 교과서 공동발행제와 이익금 균등배분제를 폐지해 출판사들이 교과서 값을 자율적으로 결정할 수 있게 됨에 따라 교과서 값이 크게 오를 것이라고 내다봤다.

이날	이날/NNG
‘교과서	‘/SS+교과서/NNG
가격	가격/NNG
및	및/MAG
공급제도	공급/NNG+제도/NNG
개선’을	개선/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
김재춘	김재춘/NNP
영남대	영남대/NNP
교수(교육학)는	교수/NNG+(/SS+교육학/NNG+)/SS+는/JX
교과부가	교과부/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
말,	말/NNB+,/SP
28년	28/SN+년/NNB
동안	동안/NNG
유지돼	유지/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
교과서	교과서/NNG
공동발행제와	공동/NNG+발행/NNG+제/XSN+와/JC
이익금	이익금/NNG
균등배분제를	균등/NNG+배분/NNG+제/XSN+를/JKO
폐지해	폐지/NNG+하/XSV+아/EC
출판사들이	출판사/NNG+들/XSN+이/JKS
값을	값/NNG+을/JKO
자율적으로	자율/NNG+적/XSN+으로/JKB
결정할	결정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됨에	되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
값이	값/NNG+이/JKS
크게	크/VA+게/EC
오를	오르/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.333.5.1
김 교수는 “출판사들이 가격을 결정할 수 있어 교과서의 질이 높아질 수 있겠지만, 교과부가 직접 가격을 통제할 수 있는 방안은 사라졌다”며 “출판사들이 교과서의 쪽수·지질·판형 등을 바꿔 값을 부풀리거나, 같은 질의 교과서라도 ‘가격 현실화’를 이유로 값을 올릴 가능성도 배제할 수 없다”고 지적했다.

김	김/NNP
교수는	교수/NNG+는/JX
“출판사들이	“/SS+출판사/NNG+들/XSN+이/JKS
가격을	가격/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
교과서의	교과서/NNG+의/JKG
질이	질/NNG+이/JKS
높아질	높아지/VV+ㄹ/ETM
있겠지만,	있/VA+겠/EP+지만/EC+,/SP
교과부가	교과부/NNG+가/JKS
직접	직접/MAG
통제할	통제/NNG+하/XSV+ㄹ/ETM
있는	있/VA+는/ETM
방안은	방안/NNG+은/JX
사라졌다”며	사라지/VV+었/EP+다/EF+”/SS+며/EC
쪽수·지질·판형	쪽수/NNG+·/SP+지질/NNG+·/SP+판형/NNG
등을	등/NNB+을/JKO
바꿔	바꾸/VV+어/EC
값을	값/NNG+을/JKO
부풀리거나,	부풀리/VV+거나/EC+,/SP
같은	같/VA+은/ETM
질의	질/NNG+의/JKG
교과서라도	교과서/NNG+이/VCP+라도/EC
‘가격	‘/SS+가격/NNG
현실화’를	현실/NNG+화/XSN+’/SS+를/JKO
이유로	이유/NNG+로/JKB
올릴	올리/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
없다”고	없/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.333.6.1
김 교수는 교과서 값 상승으로 국가가 치를 비용이 크게 늘어나면 교과서 무상공급 제도를 개선할 필요가 있다고 제안했다.

김	김/NNP
교수는	교수/NNG+는/JX
교과서	교과서/NNG
값	값/NNG
상승으로	상승/NNG+으로/JKB
국가가	국가/NNG+가/JKS
치를	치르/VV+ㄹ/ETM
비용이	비용/NNG+이/JKS
크게	크/VA+게/EC
늘어나면	늘어나/VV+면/EC
무상공급	무상/NNG+공급/NNG
제도를	제도/NNG+를/JKO
