# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.201
metadata : {}


# id : NWRW1800000021.201.1.1
저축銀 후순위채의 유혹

저축銀	저축/NNG+銀/SH
후순위채의	후순위채/NNG+의/JKG
유혹	유혹/NNG


# id : NWRW1800000021.201.2.1
회사원 이상호 씨(43)는 최근 은행 정기예금의 만기가 끝나 찾은 목돈을 저축은행 후순위채권에 투자했다.

회사원	회사원/NNG
이상호	이상호/NNP
씨(43)는	씨/NNB+(/SS+43/SN+)/SS+는/JX
최근	최근/NNG
은행	은행/NNG
정기예금의	정기/NNG+예금/NNG+의/JKG
만기가	만기/NNG+가/JKS
끝나	끝나/VV+아/EC
찾은	찾/VV+은/ETM
목돈을	목돈/NNG+을/JKO
저축은행	저축/NNG+은행/NNG
후순위채권에	후순위/NNG+채권/NNG+에/JKB
투자했다.	투자/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.201.2.2
정기예금에 다시 들자니 연 3%대에 불과한 저금리가 못마땅했고, 주식이나 펀드에 투자하자니 주가에 신경을 써야 하는 것이 싫었다.

정기예금에	정기/NNG+예금/NNG+에/JKB
다시	다시/MAG
들자니	들/VV+자니/EC
연	연/NNG
3%대에	3/SN+%/SW+대/XSN+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
저금리가	저/XPN+금리/NNG+가/JKS
못마땅했고,	못마땅하/VA+았/EP+고/EC+,/SP
주식이나	주식/NNG+이나/JC
펀드에	펀드/NNG+에/JKB
투자하자니	투자/NNG+하/XSV+자니/EC
주가에	주가/NNG+에/JKB
신경을	신경/NNG+을/JKO
써야	쓰/VV+어야/EC
하는	하/VX+는/ETM
것이	것/NNB+이/JKS
싫었다.	싫/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.201.2.3
그는 “마땅한 투자처가 없어 다소 위험하더라도 시중금리보다 2배 이상 높은 후순위채에 투자했다”고 말했다.

그는	그/NP+는/JX
“마땅한	“/SS+마땅하/VA+ㄴ/ETM
투자처가	투자처/NNG+가/JKS
없어	없/VA+어/EC
다소	다소/MAG
위험하더라도	위험/NNG+하/XSA+더라도/EC
시중금리보다	시중/NNG+금리/NNG+보다/JKB
2배	2/SN+배/NNG
이상	이상/NNG
높은	높/VA+은/ETM
후순위채에	후순위채/NNG+에/JKB
투자했다”고	투자/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.201.2.4
후순위채는 발행회사가 파산할 경우 다른 채권자들에 대한 부채가 모두 청산된 다음에야 원리금을 상환 받을 수 있는 채권으로 비교적 리스크가 큰 투자 상품이다.

후순위채는	후순위채/NNG+는/JX
발행회사가	발행/NNG+회사/NNG+가/JKS
파산할	파산/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
다른	다른/MMD
채권자들에	채권자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
부채가	부채/NNG+가/JKS
모두	모두/MAG
청산된	청산/NNG+되/XSV+ㄴ/ETM
다음에야	다음/NNG+에/JKB+야/JX
원리금을	원리금/NNG+을/JKO
상환	상환/NNG
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
채권으로	채권/NNG+으로/JKB
비교적	비교/NNG+적/XSN
리스크가	리스크/NNG+가/JKS
큰	크/VA+ㄴ/ETM
투자	투자/NNG
상품이다.	상품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.201.3.1
저축은행이 잇달아 발행한 후순위채가 모집금액을 크게 웃도는 수준으로 청약을 끝내며 시중자금을 끌어 모으고 있다.

저축은행이	저축/NNG+은행/NNG+이/JKS
잇달아	잇달/VV+아/EC
발행한	발행/NNG+하/XSV+ㄴ/ETM
후순위채가	후순위채/NNG+가/JKS
모집금액을	모집/NNG+금액/NNG+을/JKO
크게	크/VA+게/EC
웃도는	웃돌/VV+는/ETM
수준으로	수준/NNG+으로/JKB
청약을	청약/NNG+을/JKO
끝내며	끝내/VV+며/EC
시중자금을	시중/NNG+자금/NNG+을/JKO
끌어	끌/VV+어/EC
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.201.3.2
올해 2분기(4∼6월)에만 3조 원가량이 저축은행 후순위채 청약에 몰렸다.

올해	올해/NNG
2분기(4∼6월)에만	2/SN+분기/NNG+(/SS+4/SN+∼/SO+6/SN+월/NNB+)/SS+에/JKB+만/JX
3조	3/SN+조/NR
원가량이	원/NNB+가량/XSN+이/JKS
저축은행	저축/NNG+은행/NNG
후순위채	후순위채/NNG
청약에	청약/NNG+에/JKB
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.201.3.3
모집금액을 다 채우지 못하고 미달 사태가 속출했던 1분기와 대비되는 모습이다.

모집금액을	모집/NNG+금액/NNG+을/JKO
다	다/MAG
채우지	채우/VV+지/EC
못하고	못하/VX+고/EC
미달	미달/NNG
사태가	사태/NNG+가/JKS
속출했던	속출/NNG+하/XSV+았/EP+던/ETM
1분기와	1/SN+분기/NNG+와/JKB
대비되는	대비/NNG+되/XSV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.201.3.4
경기회복에 대한 기대감이 커지면서 시중에 넘쳐나는 유동자금이 리스크가 큰 고수익 자산으로도 이동하고 있는 것이다.

경기회복에	경기/NNG+회복/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대감이	기대감/NNG+이/JKS
커지면서	커지/VV+면서/EC
시중에	시중/NNG+에/JKB
넘쳐나는	넘치/VV+어/EC+나/VX+는/ETM
유동자금이	유동/NNG+자금/NNG+이/JKS
리스크가	리스크/NNG+가/JKS
큰	크/VA+ㄴ/ETM
고수익	고/XPN+수익/NNG
자산으로도	자산/NNG+으로/JKB+도/JX
이동하고	이동/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.201.4.1
○ 경기 회복 기대 투자 몰려

○	○/SW
경기	경기/NNG
회복	회복/NNG
기대	기대/NNG
투자	투자/NNG
몰려	몰리/VV+어/EC


# id : NWRW1800000021.201.5.1
토마토저축은행이 8일부터 사흘간 발행한 400억 원 규모의 후순위채에 총 802억 원의 청약자금이 몰렸다.

토마토저축은행이	토마토저축은행/NNP+이/JKS
8일부터	8/SN+일/NNB+부터/JX
사흘간	사흘/NNG+간/XSN
발행한	발행/NNG+하/XSV+ㄴ/ETM
400억	400/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
후순위채에	후순위채/NNG+에/JKB
총	총/MMA
802억	802/SN+억/NR
원의	원/NNB+의/JKG
청약자금이	청약/NNG+자금/NNG+이/JKS
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.201.5.2
저축은행 후순위채 모집금액 가운데 역대 최대 규모다.

저축은행	저축/NNG+은행/NNG
후순위채	후순위채/NNG
모집금액	모집/NNG+금액/NNG
가운데	가운데/NNG
역대	역대/NNG
최대	최대/NNG
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.201.5.3
제일2저축은행이 18일 마감한 200억 원 규모의 후순위채에도 220억 원의 자금이 몰렸다.

제일2저축은행이	제일2저축은행/NNP+이/JKS
18일	18/SN+일/NNB
마감한	마감/NNG+하/XSV+ㄴ/ETM
200억	200/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
후순위채에도	후순위채/NNG+에/JKB+도/JX
220억	220/SN+억/NR
원의	원/NNB+의/JKG
자금이	자금/NNG+이/JKS
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.201.5.4
지난달 현대스위스저축은행의 후순위채는 300억 원 모집에 517억 원이 몰렸으며 경기저축은행이 판매한 200억 원 규모의 후순위채도 320억 원이 모집됐다.

지난달	지난달/NNG
현대스위스저축은행의	현대스위스저축은행/NNP+의/JKG
후순위채는	후순위채/NNG+는/JX
300억	300/SN+억/NR
원	원/NNB
모집에	모집/NNG+에/JKB
517억	517/SN+억/NR
원이	원/NNB+이/JKS
몰렸으며	몰리/VV+었/EP+으며/EC
경기저축은행이	경기저축은행/NNP+이/JKS
판매한	판매/NNG+하/XSV+ㄴ/ETM
200억	200/SN+억/NR
규모의	규모/NNG+의/JKG
후순위채도	후순위채/NNG+도/JX
320억	320/SN+억/NR
모집됐다.	모집/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.201.6.1
반면 3월 650억 원과 350억 원 규모로 후순위채를 발행한 부산과 부산2저축은행은 목표금액의 절반 정도만 모집하며 청약을 끝내야 했다.

반면	반면/NNG
3월	3/SN+월/NNB
650억	650/SN+억/NR
원과	원/NNB+과/JC
350억	350/SN+억/NR
원	원/NNB
규모로	규모/NNG+로/JKB
후순위채를	후순위채/NNG+를/JKO
발행한	발행/NNG+하/XSV+ㄴ/ETM
부산과	부산/NNP+과/JC
부산2저축은행은	부산2저축은행/NNP+은/JX
목표금액의	목표/NNG+금액/NNG+의/JKG
절반	절반/NNG
정도만	정도/NNG+만/JX
모집하며	모집/NNG+하/XSV+며/EC
청약을	청약/NNG+을/JKO
끝내야	끝내/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.201.6.2
2월 HK저축은행이 모집한 350억 원 규모의 후순위채는 309억 원이 몰리며 청약률 88%를 보였다.

2월	2/SN+월/NNB
HK저축은행이	HK저축은행/NNP+이/JKS
모집한	모집/NNG+하/XSV+ㄴ/ETM
350억	350/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
후순위채는	후순위채/NNG+는/JX
309억	309/SN+억/NR
원이	원/NNB+이/JKS
몰리며	몰리/VV+며/EC
청약률	청약/NNG+률/XSN
88%를	88/SN+%/SW+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.201.6.3
연 9.5%의 파격적인 금리를 내세웠지만 미달을 피하지 못했다.

연	연/NNG
9.5%의	9/SN+./SP+5/SN+%/SW+의/JKG
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
금리를	금리/NNG+를/JKO
내세웠지만	내세우/VV+었/EP+지만/EC
미달을	미달/NNG+을/JKO
피하지	피하/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.201.7.1
제일저축은행 홍상준 팀장은 “1분기는 금융위기 여파로 자산을 안정적으로 운용하려는 투자자들이 후순위채를 외면했다”며 “하지만 최근 불안감이 많이 해소되고 경기회복 조짐이 보이면서 고금리 후순위채가 인기를 끌고 있다”고 말했다.

제일저축은행	제일저축은행/NNP
홍상준	홍상준/NNP
팀장은	팀장/NNG+은/JX
“1분기는	“/SS+1/SN+분기/NNG+는/JX
금융위기	금융/NNG+위기/NNG
여파로	여파/NNG+로/JKB
자산을	자산/NNG+을/JKO
안정적으로	안정/NNG+적/XSN+으로/JKB
운용하려는	운용/NNG+하/XSV+려는/ETM
투자자들이	투자자/NNG+들/XSN+이/JKS
후순위채를	후순위채/NNG+를/JKO
외면했다”며	외면/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
최근	최근/NNG
불안감이	불안감/NNG+이/JKS
많이	많이/MAG
해소되고	해소/NNG+되/XSV+고/EC
경기회복	경기/NNG+회복/NNG
조짐이	조짐/NNG+이/JKS
보이면서	보이/VV+면서/EC
고금리	고/XPN+금리/NNG
후순위채가	후순위채/NNG+가/JKS
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.201.7.2
정부가 경기부양을 위해 시중에 푼 자금이 고수익을 겨냥해 금융권 주변을 맴돌면서 저축은행 후순위채로도 유동자금이 몰리고 있는 것.

정부가	정부/NNG+가/JKS
경기부양을	경기/NNG+부양/NNG+을/JKO
위해	위하/VV+아/EC
시중에	시중/NNG+에/JKB
푼	풀/VV+ㄴ/ETM
자금이	자금/NNG+이/JKS
고수익을	고/XPN+수익/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
금융권	금융/NNG+권/XSN
주변을	주변/NNG+을/JKO
맴돌면서	맴돌/VV+면서/EC
저축은행	저축/NNG+은행/NNG
후순위채로도	후순위채/NNG+로/JKB+도/JX
유동자금이	유동/NNG+자금/NNG+이/JKS
몰리고	몰리/VV+고/EC
있는	있/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.201.8.1
○ 저축은행의 안정성 확인해야

○	○/SW
저축은행의	저축/NNG+은행/NNG+의/JKG
안정성	안정/NNG+성/XSN
확인해야	확인/NNG+하/XSV+아야/EC


# id : NWRW1800000021.201.9.1
저축은행이 후순위채 발행에 적극 나서는 것은 자본 확충을 통해 국제결제은행(BIS) 기준 자기자본비율을 높이기 위해서다.

저축은행이	저축/NNG+은행/NNG+이/JKS
후순위채	후순위채/NNG
발행에	발행/NNG+에/JKB
적극	적극/NNG
나서는	나서/VV+는/ETM
것은	것/NNB+은/JX
자본	자본/NNG
확충을	확충/NNG+을/JKO
