# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.327
metadata : {}


# id : NWRW1800000053.327.1.1
후보들 건강해 보이기는 한데… 구체적 건강상태 공개해야

후보들	후보/NNG+들/XSN
건강해	건강/NNG+하/XSA+아/EC
보이기는	보이/VV+기/ETN+는/JX
한데…	하/VX+ㄴ데/EC+…/SE
구체적	구체/NNG+적/XSN
건강상태	건강/NNG+상태/NNG
공개해야	공개/NNG+하/XSV+아야/EC


# id : NWRW1800000053.327.2.1
[선택 2017/대선 D-1]문재인측 “히말라야도 갔다 왔는데…” 홍준표, 5년전 금연… 小食 원칙 지켜… 안철수, 도보유세하며 “남는게 체력” 유승민, 도라지즙 챙기며 목관리 신경… 심상정, 매일아침 체력단련실서 운동

[선택	[/SS+선택/NNG
2017/대선	2017/SN+//SP+대선/NNG
D-1]문재인측	D/SL+-/SO+1/SN+]/SS+문재인/NNP+측/NNB
“히말라야도	“/SS+히말라야/NNP+도/JX
갔다	가/VV+았/EP+다/EC
왔는데…”	오/VV+았/EP+는데/EC+…/SE+”/SS
홍준표,	홍준표/NNP+,/SP
5년전	5/SN+년/NNB+전/NNG
금연…	금연/NNG+…/SE
小食	小食/SH
원칙	원칙/NNG
지켜…	지키/VV+어/EC+…/SE
안철수,	안철수/NNP+,/SP
도보유세하며	도보/NNG+유세/NNG+하/XSV+며/EC
“남는게	“/SS+남/VV+는/ETM+거/NNB+이/JKS
체력”	체력/NNG+”/SS
유승민,	유승민/NNP+,/SP
도라지즙	도라지즙/NNG
챙기며	챙기/VV+며/EC
목관리	목/NNG+관리/NNG
신경…	신경/NNG+…/SE
심상정,	심상정/NNP+,/SP
매일아침	매일/NNG+아침/NNG
체력단련실서	체력/NNG+단련실/NNG+서/JKB
운동	운동/NNG


# id : NWRW1800000053.327.3.1
“김대중 전 대통령, 힐러리 클린턴 미국 대선 후보도 건강 이상설을 해명하기 위해 건강검진을 받은 바 있다.”

“김대중	“/SS+김대중/NNP
전	전/MMD
대통령,	대통령/NNG+,/SP
힐러리	힐러리/NNP
클린턴	클린턴/NNP
미국	미국/NNP
대선	대선/NNG
후보도	후보/NNG+도/JX
건강	건강/NNG
이상설을	이상설/NNG+을/JKO
해명하기	해명/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
건강검진을	건강/NNG+검진/NNG+을/JKO
받은	받/VV+은/ETM
바	바/NNB
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000053.327.4.1
국민의당 이언주 의원은 지난달 더불어민주당 문재인 대선 후보의 ‘건강 이상설’을 소셜네트워크서비스(SNS) 등을 통해 유포한 20대가 불구속 기소된 것을 두고 “국민의 알권리에 재갈을 물린 행위”라며 이같이 말했다.

국민의당	국민의당/NNP
이언주	이언주/NNP
의원은	의원/NNG+은/JX
지난달	지난달/NNG
더불어민주당	더불어민주당/NNP
문재인	문재인/NNP
대선	대선/NNG
후보의	후보/NNG+의/JKG
‘건강	‘/SS+건강/NNG
이상설’을	이상설/NNG+’/SS+을/JKO
소셜네트워크서비스(SNS)	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
유포한	유포/NNG+하/XSV+ㄴ/ETM
20대가	20/SN+대/NNB+가/JKS
불구속	불/XPN+구속/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
“국민의	“/SS+국민/NNG+의/JKG
알권리에	알/VV+ㄹ/ETM+권리/NNG+에/JKB
재갈을	재갈/NNG+을/JKO
물린	물리/VV+ㄴ/ETM
행위”라며	행위/NNG+”/SS+이/VCP+라며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.327.5.1
하지만 5·9대선 캠페인 과정에서는 후보들의 건강 문제가 주요 쟁점으로 떠오르지는 않았다.

하지만	하지만/MAJ
5·9대선	5/SN+·/SP+9/SN+대선/NNG
캠페인	캠페인/NNG
과정에서는	과정/NNG+에서/JKB+는/JX
후보들의	후보/NNG+들/XSN+의/JKG
건강	건강/NNG
문제가	문제/NNG+가/JKS
주요	주요/NNG
쟁점으로	쟁점/NNG+으로/JKB
떠오르지는	떠오르/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.327.5.2
선거 기간이 짧았던 데다 후보들의 연령대가 상대적으로 젊어져 건강에 대한 우려가 크지 않았기 때문이라는 해석이다.

선거	선거/NNG
기간이	기간/NNG+이/JKS
짧았던	짧/VA+았/EP+던/ETM
데다	데/NNB+다/JX
후보들의	후보/NNG+들/XSN+의/JKG
연령대가	연령대/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
젊어져	젊/VA+어/EC+지/VX+어/EC
건강에	건강/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려가	우려/NNG+가/JKS
크지	크/VA+지/EC
않았기	않/VX+았/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
해석이다.	해석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.327.6.1
후보가 자신의 건강 정보를 유권자에게 제공하는 것은 법적 의무사항은 아니다.

후보가	후보/NNG+가/JKS
자신의	자신/NNG+의/JKG
건강	건강/NNG
정보를	정보/NNG+를/JKO
유권자에게	유권자/NNG+에게/JKB
제공하는	제공/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
법적	법/NNG+적/XSN
의무사항은	의무/NNG+사항/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000053.327.6.2
중앙선거관리위원회는 학력 경력 재산 납세 병역 전과기록 등에 한해 후보자로부터 정보를 제출받아 공개하고 있다.

중앙선거관리위원회는	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG+는/JX
학력	학력/NNG
경력	경력/NNG
재산	재산/NNG
납세	납세/NNG
병역	병역/NNG
전과기록	전과/NNG+기록/NNG
등에	등/NNB+에/JKB
한해	한/NNG+하/XSV+아/EC
후보자로부터	후보자/NNG+로부터/JKB
정보를	정보/NNG+를/JKO
제출받아	제출/NNG+받/XSV+아/EC
공개하고	공개/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.327.6.3
미국에서도 대선 후보의 건강 정보 공개가 법적 의무사항은 아니다.

미국에서도	미국/NNP+에서/JKB+도/JX
대선	대선/NNG
후보의	후보/NNG+의/JKG
건강	건강/NNG
정보	정보/NNG
공개가	공개/NNG+가/JKS
법적	법/NNG+적/XSN
의무사항은	의무/NNG+사항/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000053.327.7.1
다만 후보가 고령이거나 건강에 대한 우려가 외부로 드러났을 경우 후보 스스로 정보를 공개하는 경우는 있다.

다만	다만/MAG
후보가	후보/NNG+가/JKS
고령이거나	고령/NNG+이/VCP+거나/EC
건강에	건강/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려가	우려/NNG+가/JKS
외부로	외부/NNG+로/JKB
드러났을	드러나/VV+았/EP+을/ETM
경우	경우/NNG
후보	후보/NNG
스스로	스스로/MAG
정보를	정보/NNG+를/JKO
공개하는	공개/NNG+하/XSV+는/ETM
경우는	경우/NNG+는/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.327.7.2
상대 후보 측의 ‘공세’가 집중되기 때문이다.

상대	상대/NNG
후보	후보/NNG
