# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.166
metadata : {}


# id : NWRW1800000046.166.1.1
승용차에 깔린 여고생, 시민 수십명이 車 들어올려 구해

승용차에	승용차/NNG+에/JKB
깔린	깔리/VV+ㄴ/ETM
여고생,	여고/NNG+생/XSN+,/SP
시민	시민/NNG
수십명이	수십/NR+명/NNB+이/JKS
車	車/SH
들어올려	들/VV+어/EC+올리/VV+어/EC
구해	구하/VV+아/EF


# id : NWRW1800000046.166.2.1
사고車가 여학생 덮치자 주변 시민들 몰려와 구조

사고車가	사고/NNG+車/SH+가/JKS
여학생	여학생/NNG
덮치자	덮치/VV+자/EC
주변	주변/NNG
시민들	시민/NNG+들/XSN
몰려와	몰려오/VV+아/EC
구조	구조/NNG


# id : NWRW1800000046.166.3.1
교통사고로 여고생이 승용차 아래에 깔리자 주변 시민 수십명이 차를 들어 올려 구해낸 사실이 뒤늦게 알려졌다.

교통사고로	교통사고/NNG+로/JKB
여고생이	여고/NNG+생/XSN+이/JKS
승용차	승용차/NNG
아래에	아래/NNG+에/JKB
깔리자	깔리/VV+자/EC
주변	주변/NNG
시민	시민/NNG
수십명이	수십/NR+명/NNB+이/JKS
차를	차/NNG+를/JKO
들어	들/VV+어/EC
올려	올리/VV+어/EC
구해낸	구하/VV+아/EC+내/VX+ㄴ/ETM
사실이	사실/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.166.4.1
사고는 지난 3일 오후 6시 38분쯤 경남 창원시 마산회원구 마산역 사거리에서 일어났다.

사고는	사고/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
38분쯤	38/SN+분/NNB+쯤/XSN
경남	경남/NNP
창원시	창원시/NNP
마산회원구	마산회원구/NNP
마산역	마산역/NNP
사거리에서	사거리/NNG+에서/JKB
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.166.4.2
여성 운전자 곽모(52)씨가 몰던 BMW 차량이 좌회전을 하다가 25t 시멘트 운반 차량과 부딪친 뒤 튕겨나가, 횡단보도에서 보행신호를 기다리던 고교 2학년 노모(17)양을 덮쳤다.

여성	여성/NNG
운전자	운전자/NNG
곽모(52)씨가	곽/NNP+모/NP+(/SS+52/SN+)/SS+씨/NNB+가/JKS
몰던	몰/VV+던/ETM
BMW	BMW/SL
차량이	차량/NNG+이/JKS
좌회전을	좌회전/NNG+을/JKO
하다가	하/VV+다가/EC
25t	25/SN+t/SW
시멘트	시멘트/NNG
운반	운반/NNG
차량과	차량/NNG+과/JKB
부딪친	부딪치/VV+ㄴ/ETM
뒤	뒤/NNG
튕겨나가,	튕기/VV+어/EC+나가/VX+아/EC+,/SP
횡단보도에서	횡단보도/NNG+에서/JKB
보행신호를	보행/NNG+신호/NNG+를/JKO
기다리던	기다리/VV+던/ETM
고교	고교/NNG
2학년	2/SN+학년/NNG
노모(17)양을	노/NNP+모/NP+(/SS+17/SN+)/SS+양/NNB+을/JKO
덮쳤다.	덮치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.166.4.3
노양은 이 차에 받힌 뒤 아래에 끼었고, 그 상태로 20여m를 더 끌려갔다.

노양은	노/NNP+양/NNB+은/JX
이	이/MMD
차에	차/NNG+에/JKB
받힌	받히/VV+ㄴ/ETM
뒤	뒤/NNG
아래에	아래/NNG+에/JKB
끼었고,	끼/VV+었/EP+고/EC+,/SP
그	그/MMD
상태로	상태/NNG+로/JKB
20여m를	20/SN+여/XSN+m/SW+를/JKO
더	더/MAG
끌려갔다.	끌려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.166.4.4
차가 멈추자 주변 사람들이 "차 밑에 사람이 있다"고 외쳤고, 행인과 주변 식당 직원 등 남녀 20여명이 순식간에 몰려들어 차를 둘러쌌다.

차가	차/NNG+가/JKS
멈추자	멈추/VV+자/EC
주변	주변/NNG
사람들이	사람/NNG+들/XSN+이/JKS
"차	"/SS+차/NNG
밑에	밑/NNG+에/JKB
사람이	사람/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
외쳤고,	외치/VV+었/EP+고/EC+,/SP
행인과	행인/NNG+과/JC
식당	식당/NNG
직원	직원/NNG
등	등/NNB
남녀	남녀/NNG
20여명이	20/SN+여/XSN+명/NNB+이/JKS
순식간에	순식/NNG+간/XSN+에/JKB
몰려들어	몰려들/VV+어/EC
차를	차/NNG+를/JKO
둘러쌌다.	둘러싸/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.166.4.5
시민들은 "하나, 둘, 셋" 구령을 붙이며 힘을 모아 차의 왼쪽을 들어올린 뒤 아래에 있던 노양을 빼냈다.

시민들은	시민/NNG+들/XSN+은/JX
"하나,	"/SS+하나/NR+,/SP
둘,	둘/NR+,/SP
셋"	셋/NR+"/SS
구령을	구령/NNG+을/JKO
붙이며	붙이/VV+며/EC
힘을	힘/NNG+을/JKO
모아	모으/VV+아/EC
차의	차/NNG+의/JKG
왼쪽을	왼쪽/NNG+을/JKO
들어올린	들/VV+어/EC+올리/VV+ㄴ/ETM
뒤	뒤/NNG
아래에	아래/NNG+에/JKB
있던	있/VA+던/ETM
노양을	노/NNP+양/NNB+을/JKO
빼냈다.	빼내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.166.4.6
중상을 입은 노양은 시민 신고로 출동한 119구조대가 인근 병원으로 옮겼고, 지금은 부산의 한 대학병원 중환자실에서 입원 치료 중이다.

중상을	중상/NNG+을/JKO
입은	입/VV+은/ETM
노양은	노/NNP+양/NNB+은/JX
시민	시민/NNG
신고로	신고/NNG+로/JKB
출동한	출동/NNG+하/XSV+ㄴ/ETM
119구조대가	119/SN+구조대/NNG+가/JKS
인근	인근/NNG
병원으로	병원/NNG+으로/JKB
옮겼고,	옮기/VV+었/EP+고/EC+,/SP
지금은	지금/NNG+은/JX
부산의	부산/NNP+의/JKG
한	한/MMN
대학병원	대학/NNG+병원/NNG
중환자실에서	중환자실/NNG+에서/JKB
입원	입원/NNG
치료	치료/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.166.5.1
노양은 골반뼈 골절 등 중상을 입은 상태여서 회복에 상당한 시일이 소요될 것으로 알려졌지만 다행히 생명에는 지장이 없는 것으로 전해졌다.

노양은	노/NNP+양/NNB+은/JX
골반뼈	골반뼈/NNG
골절	골절/NNG
등	등/NNB
중상을	중상/NNG+을/JKO
입은	입/VV+은/ETM
상태여서	상태/NNG+이/VCP+어서/EC
회복에	회복/NNG+에/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
시일이	시일/NNG+이/JKS
소요될	소요/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌지만	알려지/VV+었/EP+지만/EC
다행히	다행히/MAG
생명에는	생명/NNG+에/JKB+는/JX
지장이	지장/NNG+이/JKS
없는	없/VA+는/ETM
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.166.5.2
노양 부모는 "많은 분이 차를 들어올려 딸을 재빨리 구조해 주신 것은 정말 감사한 일"이라고 말했다.

노양	노/NNP+양/NNB
부모는	부모/NNG+는/JX
"많은	"/SS+많/VA+은/ETM
분이	분/NNB+이/JKS
차를	차/NNG+를/JKO
들어올려	들/VV+어/EC+올리/VV+어/EC
딸을	딸/NNG+을/JKO
