# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.160
metadata : {}


# id : NWRW1800000054.160.1.1
스누버(서울대 자율주행車)가 우버와 발음 비슷해 사용하지 말라고?

스누버(서울대	스누버/NNP+(/SS+서울대/NNP
자율주행車)가	자율/NNG+주행/NNG+車/SH+)/SS+가/JKS
우버와	우버/NNP+와/JKB
발음	발음/NNG
비슷해	비슷하/VA+아/EC
사용하지	사용/NNG+하/XSV+지/EC
말라고?	말/VX+라고/EF+?/SF


# id : NWRW1800000054.160.2.1
우버, 서울대에 법적조치 위협… 서울대 "우버와 아무 상관없어"

우버,	우버/NNP+,/SP
서울대에	서울대/NNP+에/JKB
법적조치	법/NNG+적/XSN+조치/NNG
위협…	위협/NNG+…/SE
서울대	서울대/NNP
"우버와	"/SS+우버/NNP+와/JKB
아무	아무/MMD
상관없어"	상관없/VA+어/EC+"/SS


# id : NWRW1800000054.160.3.1
세계 최대의 차량 공유 서비스 업체 우버(Uber)와 서울대가 상표권을 둘러싼 법적 분쟁을 앞두고 있다.

세계	세계/NNG
최대의	최대/NNG+의/JKG
차량	차량/NNG
공유	공유/NNG
서비스	서비스/NNG
업체	업체/NNG
우버(Uber)와	우버/NNP+(/SS+Uber/SL+)/SS+와/JC
서울대가	서울대/NNP+가/JKS
상표권을	상표/NNG+권/XSN+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
법적	법/NNG+적/XSN
분쟁을	분쟁/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.160.3.2
서울대가 개발 중인 자율주행 자동차 '스누버(SNU ver)'의 이름이 '우버'와 비슷하다는 것이 쟁점이다.

서울대가	서울대/NNP+가/JKS
개발	개발/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
자율주행	자율/NNG+주행/NNG
자동차	자동차/NNG
'스누버(SNU	'/SS+스누버/NNP+(/SS+SNU/SL
ver)'의	ver/SL+)/SS+'/SS+의/JKG
이름이	이름/NNG+이/JKS
'우버'와	'/SS+우버/NNP+'/SS+와/JKB
비슷하다는	비슷하/VA+다는/ETM
것이	것/NNB+이/JKS
쟁점이다.	쟁점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.160.4.1
9일 서울대에 따르면 이 학교 지능형자동차IT연구센터의 서승우 교수 연구팀은 지난 2015년 11월 서울대 관악캠퍼스 외곽 도로를 자율주행할 수 있는 차를 개발해 공개했다.

9일	9/SN+일/NNB
서울대에	서울대/NNP+에/JKB
따르면	따르/VV+면/EC
이	이/MMD
학교	학교/NNG
지능형자동차IT연구센터의	지능/NNG+형/XSN+자동차/NNG+IT/SL+연구/NNG+센터/NNG+의/JKG
서승우	서승우/NNP
교수	교수/NNG
연구팀은	연구/NNG+팀/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2015년	2015/SN+년/NNB
11월	11/SN+월/NNB
서울대	서울대/NNP
관악캠퍼스	관악/NNP+캠퍼스/NNG
외곽	외곽/NNG
도로를	도로/NNG+를/JKO
자율주행할	자율/NNG+주행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
차를	차/NNG+를/JKO
개발해	개발/NNG+하/XSV+아/EC
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.160.4.2
서울대의 약자인 'SNU'에 운전자를 뜻하는 '드라이버(driver)'에서 딴 '버(ver)'를 붙여 '스누버'로 명명했다.

서울대의	서울대/NNP+의/JKG
약자인	약자/NNG+이/VCP+ㄴ/ETM
'SNU'에	'/SS+SNU/SL+'/SS+에/JKB
운전자를	운전자/NNG+를/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
'드라이버(driver)'에서	'/SS+드라이버/NNG+(/SS+driver/SL+)/SS+'/SS+에서/JKB
딴	따/VV+ㄴ/ETM
'버(ver)'를	'/SS+버/NNG+(/SS+ver/SL+)/SS+'/SS+를/JKO
붙여	붙이/VV+어/EC
'스누버'로	'/SS+스누버/NNP+'/SS+로/JKB
명명했다.	명명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.160.4.3
당시 자율주행차의 한글 이름인 '스누버'만 발표됐기 때문에 국내외 언론들은 스누버의 영문 명칭을 대부분 'SNUber'로 표기했다.

당시	당시/NNG
자율주행차의	자율/NNG+주행차/NNG+의/JKG
한글	한글/NNG
이름인	이름/NNG+이/VCP+ㄴ/ETM
'스누버'만	'/SS+스누버/NNP+'/SS+만/JX
