# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.152
metadata : {}


# id : NWRW1800000030.152.1.1
부산저축銀 브로커 박태규씨 조기 송환 캐나다 당국과 여권 취소 절차 협의

부산저축銀	부산저축銀/NNP
브로커	브로커/NNG
박태규씨	박태규/NNP+씨/NNB
조기	조기/NNG
송환	송환/NNG
캐나다	캐나다/NNP
당국과	당국/NNG+과/JKB
여권	여권/NNG
취소	취소/NNG
절차	절차/NNG
협의	협의/NNG


# id : NWRW1800000030.152.2.1
부산저축은행 비리를 수사중인 대검 중수부가 캐나다로 도피한 거물 브로커 박태규(72)씨의 조기송환을 추진중인 것으로 28일 알려졌다.

부산저축은행	부산저축은행/NNP
비리를	비리/NNG+를/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
대검	대검/NNG
중수부가	중수부/NNG+가/JKS
캐나다로	캐나다/NNP+로/JKB
도피한	도피/NNG+하/XSV+ㄴ/ETM
거물	거물/NNG
브로커	브로커/NNG
박태규(72)씨의	박태규/NNP+(/SS+72/SN+)/SS+씨/NNB+의/JKG
조기송환을	조기/NNG+송환/NNG+을/JKO
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
28일	28/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.152.2.2
검찰이 캐나다 이민국과 직접 접촉해 여권 취소→강제퇴거→조기송환을 절차를 밟겠다는 것이다.

검찰이	검찰/NNG+이/JKS
캐나다	캐나다/NNP
이민국과	이민국/NNG+과/JKB
직접	직접/MAG
접촉해	접촉/NNG+하/XSV+아/EC
여권	여권/NNG
취소→강제퇴거→조기송환을	취소/NNG+→/SW+강제/NNG+퇴거/NNG+→/SW+조기/NNG+송환/NNG+을/JKO
절차를	절차/NNG+를/JKO
밟겠다는	밟/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.152.2.3
검찰 관계자는 "강제퇴거의 경우 사법절차가 생략되기 때문에 현지에서 신병만 확보되면 빨리 송환받을 수 있다"고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"강제퇴거의	"/SS+강제/NNG+퇴거/NNG+의/JKG
경우	경우/NNG
사법절차가	사법/NNG+절차/NNG+가/JKS
생략되기	생략/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
현지에서	현지/NNG+에서/JKB
신병만	신병/NNG+만/JX
확보되면	확보/NNG+되/XSV+면/EC
빨리	빨리/MAG
송환받을	송환/NNG+받/XSV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.152.2.4
대검 중수부는 이날 서울 마포에 있는 서울신용평가정보(이하 서신평) 본사를 압수수색했다.

대검	대검/NNG
중수부는	중수부/NNG+는/JX
이날	이날/NNG
서울	서울/NNP
마포에	마포/NNP+에/JKB
있는	있/VA+는/ETM
서울신용평가정보(이하	서울신용평가정보/NNP+(/SS+이하/NNG
서신평)	서신평/NNP+)/SS
본사를	본사/NNG+를/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.152.2.5
서신평은 부산저축은행의 특수목적법인(SPC)인 에스비파트너스가 대주주(지분율 20.5%)로 있어 부산저축은행과 밀접한 사이다.

서신평은	서신평/NNP+은/JX
부산저축은행의	부산저축은행/NNP+의/JKG
특수목적법인(SPC)인	특수/NNG+목적/NNG+법인/NNG+(/SS+SPC/SL+)/SS+이/VCP+ㄴ/ETM
에스비파트너스가	에스비파트너스/NNP+가/JKS
대주주(지분율	대/XPN+주주/NNG+(/SS+지분/NNG+율/XSN
20.5%)로	20/SN+./SP+5/SN+%/SW+)/SS+로/JKB
있어	있/VA+어/EC
부산저축은행과	부산저축은행/NNP+과/JKB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
사이다.	사이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.152.2.6
부산저축은행은 영업정지 하루 전날인 2월 16일 사모펀드인 칸서스파트너스에 서신평 지분의 43.6%를 약 158억원에 매각하는 계약을 맺었다.

부산저축은행은	부산저축은행/NNP+은/JX
영업정지	영업/NNG+정지/NNG
하루	하루/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
2월	2/SN+월/NNB
