# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.212
metadata : {}


# id : NWRW1800000032.212.1.1
배아무개(30)씨는 지난여름 어묵조림을 강화유리 그릇에 담다 그릇이 폭발하는 사고를 겪었다.

배아무개(30)씨는	배/NNP+아무개/NP+(/SS+30/SN+)/SS+씨/NNB+는/JX
지난여름	지난여름/NNG
어묵조림을	어묵조림/NNG+을/JKO
강화유리	강화/NNG+유리/NNG
그릇에	그릇/NNG+에/JKB
담다	담/VV+다/EC
그릇이	그릇/NNG+이/JKS
폭발하는	폭발/NNG+하/XSV+는/ETM
사고를	사고/NNG+를/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.212.1.2
배씨는 어묵조림을 10분가량 식힌 뒤 그릇에 담았지만, 그릇은 밑바닥이 갈라지기 시작하더니 파편이 사방으로 튀며 산산조각이 났다.

배씨는	배/NNP+씨/NNB+는/JX
어묵조림을	어묵조림/NNG+을/JKO
10분가량	10/SN+분/NNB+가량/XSN
식힌	식히/VV+ㄴ/ETM
뒤	뒤/NNG
그릇에	그릇/NNG+에/JKB
담았지만,	담/VV+았/EP+지만/EC+,/SP
그릇은	그릇/NNG+은/JX
밑바닥이	밑바닥/NNG+이/JKS
갈라지기	갈라지/VV+기/ETN
시작하더니	시작/NNG+하/XSV+더니/EC
파편이	파편/NNG+이/JKS
사방으로	사방/NNG+으로/JKB
튀며	튀/VV+며/EC
산산조각이	산산조각/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.212.1.3
배씨는 “전자레인지 등에 모두 사용할 수 있다고 해서 10개를 세트로 샀는데, 뜨거운 어묵 때문에 그릇이 깨질거라곤 상상도 못했다”며 “남은 그릇은 냉장고 반찬 보관용으로만 쓰고 있다”고 말했다.

배씨는	배/NNP+씨/NNB+는/JX
“전자레인지	“/SS+전자레인지/NNG
등에	등/NNB+에/JKB
모두	모두/MAG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
해서	하/VV+아서/EC
10개를	10/SN+개/NNB+를/JKO
세트로	세트/NNG+로/JKB
샀는데,	사/VV+았/EP+는데/EC+,/SP
뜨거운	뜨겁/VA+ㄴ/ETM
어묵	어묵/NNG
때문에	때문/NNB+에/JKB
그릇이	그릇/NNG+이/JKS
깨질거라곤	깨지/VV+ㄹ/ETM+거/NNB+이/VCP+라고/EC+ㄴ/JX
상상도	상상/NNG+도/JX
못했다”며	못/MAG+하/VV+았/EP+다/EF+”/SS+며/EC
“남은	“/SS+남/VV+은/ETM
그릇은	그릇/NNG+은/JX
냉장고	냉장고/NNG
반찬	반찬/NNG
보관용으로만	보관/NNG+용/XSN+으로/JKB+만/JX
쓰고	쓰/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.212.2.1
손아무개(40)씨는 운전중 차량 뒤에서 그릇이 폭발했다.

손아무개(40)씨는	손/NNP+아무개/NP+(/SS+40/SN+)/SS+씨/NNB+는/JX
운전중	운전/NNG+중/NNB
차량	차량/NNG
뒤에서	뒤/NNG+에서/JKB
그릇이	그릇/NNG+이/JKS
폭발했다.	폭발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.212.2.2
아이들에게 주려고 군고구마를 강화유리 그릇에 담아 이동하던 중 열을 견디지 못해 그릇이 깨진 것이다.

아이들에게	아이/NNG+들/XSN+에게/JKB
주려고	주/VV+려고/EC
군고구마를	군고구마/NNG+를/JKO
강화유리	강화/NNG+유리/NNG
그릇에	그릇/NNG+에/JKB
담아	담/VV+아/EC
이동하던	이동/NNG+하/XSV+던/ETM
중	중/NNB
열을	열/NNG+을/JKO
견디지	견디/VV+지/EC
못해	못하/VX+아/EC
그릇이	그릇/NNG+이/JKS
깨진	깨지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.212.2.3
손씨는 “차에 아이가 함께 타고 있다가 눈에 파편이라도 튀었으면 어떡할 뻔했냐”며 놀란 가슴을 쓸어내렸다.

손씨는	손/NNP+씨/NNB+는/JX
“차에	“/SS+차/NNG+에/JKB
아이가	아이/NNG+가/JKS
함께	함께/MAG
타고	타/VV+고/EC
있다가	있/VX+다가/EC
눈에	눈/NNG+에/JKB
파편이라도	파편/NNG+이/VCP+라도/EC
튀었으면	튀/VV+었/EP+으면/EC
어떡할	어떡하/VV+ㄹ/ETM
뻔했냐”며	뻔/NNB+하/XSA+았/EP+냐/EF+”/SS+며/EC
놀란	놀라/VV+ㄴ/ETM
가슴을	가슴/NNG+을/JKO
쓸어내렸다.	쓸어내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.212.3.1
강화유리 식기 폭발사고가 잇따르고 있는 가운데, 최근 지식경제부 기술표준원이 강화유리 식기를 내열유리제 식기에 포함시키는 한국산업규격(KS) 내열유리제 식기(L2424) 개정안을 예고해 논란이 일고 있다.

강화유리	강화/NNG+유리/NNG
식기	식기/NNG
폭발사고가	폭발/NNG+사고/NNG+가/JKS
잇따르고	잇따르/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
최근	최근/MAG
지식경제부	지식/NNG+경제부/NNG
기술표준원이	기술/NNG+표준원/NNG+이/JKS
식기를	식기/NNG+를/JKO
내열유리제	내열/NNG+유리제/NNG
식기에	식기/NNG+에/JKB
포함시키는	포함/NNG+시키/XSV+는/ETM
한국산업규격(KS)	한국/NNP+산업/NNG+규격/NNG+(/SS+KS/SL+)/SS
식기(L2424)	식기/NNG+(/SS+L/SL+2424/SN+)/SS
개정안을	개정안/NNG+을/JKO
예고해	예고/NNG+하/XSV+아/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.212.3.2
한국산업규격을 보면, 현재 내열유리제 식기는 ‘붕규산염 유리와 결정화 유리 및 알루미나 규산염 유리 등 팽창계수가 규정수준(0~300℃) 이하인 식기’라고 규정돼 있지만, 지난해 10월 기술표준원이 예고한 개정안에는 ‘강화처리하여 내열성을 부여한 유리’라는 내용이 추가됐다.

한국산업규격을	한국/NNP+산업/NNG+규격/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
현재	현재/MAG
내열유리제	내열/NNG+유리제/NNG
식기는	식기/NNG+는/JX
‘붕규산염	‘/SS+붕규산염/NNG
유리와	유리/NNG+와/JC
결정화	결정/NNG+화/XSN
유리	유리/NNG
및	및/MAG
알루미나	알루미나/NNG
규산염	규산염/NNG
등	등/NNB
팽창계수가	팽창/NNG+계수/NNG+가/JKS
규정수준(0~300℃)	규정/NNG+수준/NNG+(/SS+0/SN+~/SO+300/SN+℃/SW+)/SS
이하인	이하/NNG+이/VCP+ㄴ/ETM
식기’라고	식기/NNG+’/SS+라고/JKQ
규정돼	규정/NNG+되/XSV+어/EC
있지만,	있/VX+지만/EC+,/SP
지난해	지난해/NNG
10월	10/SN+월/NNB
기술표준원이	기술/NNG+표준원/NNG+이/JKS
예고한	예고/NNG+하/XSV+ㄴ/ETM
개정안에는	개정안/NNG+에/JKB+는/JX
‘강화처리하여	‘/SS+강화/NNG+처리/NNG+하/XSV+아/EC
내열성을	내열/NNG+성/XSN+을/JKO
부여한	부여/NNG+하/XSV+ㄴ/ETM
유리’라는	유리/NNG+’/SS+이/VCP+라는/ETM
내용이	내용/NNG+이/JKS
추가됐다.	추가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.212.4.1
문제는 강화유리와 내열유리가 성격이 완전히 다른 유리라는 데 있다.

문제는	문제/NNG+는/JX
강화유리와	강화/NNG+유리/NNG+와/JC
내열유리가	내열/NNG+유리/NNG+가/JKS
성격이	성격/NNG+이/JKS
완전히	완전히/MAG
다른	다르/VA+ㄴ/ETM
유리라는	유리/NNG+이/VCP+라는/ETM
데	데/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.212.4.2
내열유리는 원료 자체가 열에 강한 반면, 강화유리는 원료는 열에 약하지만 물리적 힘으로 내열성을 부여한 것이라 작은 흠집과 낮은 열에도 쉽게 폭발할 수 있다.

내열유리는	내열/NNG+유리/NNG+는/JX
원료	원료/NNG
자체가	자체/NNG+가/JKS
열에	열/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
반면,	반면/NNG+,/SP
강화유리는	강화/NNG+유리/NNG+는/JX
원료는	원료/NNG+는/JX
약하지만	약하/VA+지만/EC
물리적	물리/NNG+적/XSN
힘으로	힘/NNG+으로/JKB
