# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.282
metadata : {}


# id : NWRW1800000046.282.1.1
[데스크에서] 설악산 케이블카와 새정련

[데스크에서]	[/SS+데스크/NNG+에서/JKB+]/SS
설악산	설악산/NNP
케이블카와	케이블카/NNG+와/JC
새정련	새정련/NNP


# id : NWRW1800000046.282.2.1
혁신안을 둘러싼 갈등 때문에 시끄러운 새정치민주연합 내부에는 또 하나의 고민이 있다.

혁신안을	혁신안/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
갈등	갈등/NNG
때문에	때문/NNB+에/JKB
시끄러운	시끄럽/VA+ㄴ/ETM
새정치민주연합	새정치민주연합/NNP
내부에는	내부/NNG+에/JKB+는/JX
또	또/MAG
하나의	하나/NR+의/JKG
고민이	고민/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.282.2.2
핵심 지지층으로부터 '새누리당 2중대'라는 비판까지 받고 있지만 이러지도 저러지도 못한다.

핵심	핵심/NNG
지지층으로부터	지지/NNG+층/XSN+으로부터/JKB
'새누리당	'/SS+새누리당/NNP
2중대'라는	2/SN+중대/NNG+'/SS+이/VCP+라는/ETM
비판까지	비판/NNG+까지/JX
받고	받/VV+고/EC
있지만	있/VX+지만/EC
이러지도	이러/VV+지/EC+도/JX
저러지도	저러/VV+지/EC+도/JX
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.282.2.3
최근 환경부 국립공원위원회에서 승인한 설악산 오색 케이블카 문제다.

최근	최근/NNG
환경부	환경부/NNG
국립공원위원회에서	국립/NNG+공원/NNG+위원회/NNG+에서/JKB
승인한	승인/NNG+하/XSV+ㄴ/ETM
설악산	설악산/NNP
오색	오색/NNG
케이블카	케이블카/NNG
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.282.2.4
과거 야당 태도에 비춰보자면 당연히 "정부의 환경 파괴를 용납할 수 없다"며 치열한 대여(對與) 투쟁에 나서야 할 것 같지만 뜻밖에 잠잠하다.

과거	과거/NNG
야당	야당/NNG
태도에	태도/NNG+에/JKB
비춰보자면	비추/VV+어/EC+보/VX+자면/EC
당연히	당연히/MAG
"정부의	"/SS+정부/NNG+의/JKG
환경	환경/NNG
파괴를	파괴/NNG+를/JKO
용납할	용납/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
치열한	치열/NNG+하/XSA+ㄴ/ETM
대여(對與)	대여/NNG+(/SS+對與/SH+)/SS
투쟁에	투쟁/NNG+에/JKB
나서야	나서/VV+어야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같지만	같/VA+지만/EC
뜻밖에	뜻밖에/MAG
잠잠하다.	잠잠하/VA+다/EF+./SF


# id : NWRW1800000046.282.2.5
지난달 말 승인 확정 직후 새정치연합 김성수 대변인은 "지역 경제를 둘러싼 강원도민의 걱정과 이를 해결해보려는 지방자치단체의 노력을 충분히 이해한다"며 "그래도 관광산업과 환경 보전이 조화를 이루는 합리적 방안을 좀 더 찾아봐야 하지 않았나 싶다"고 했다.

지난달	지난달/NNG
말	말/NNB
승인	승인/NNG
확정	확정/NNG
직후	직후/NNG
새정치연합	새정치연합/NNP
김성수	김성수/NNP
대변인은	대변인/NNG+은/JX
"지역	"/SS+지역/NNG
경제를	경제/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
강원도민의	강원/NNP+도민/NNG+의/JKG
걱정과	걱정/NNG+과/JC
이를	이/NP+를/JKO
해결해보려는	해결/NNG+하/XSV+아/EC+보/VX+려는/ETM
지방자치단체의	지방/NNG+자치/NNG+단체/NNG+의/JKG
노력을	노력/NNG+을/JKO
충분히	충분히/MAG
이해한다"며	이해/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"그래도	"/SS+그래도/MAJ
관광산업과	관광/NNG+산업/NNG+과/JC
환경	환경/NNG
보전이	보전/NNG+이/JKS
조화를	조화/NNG+를/JKO
이루는	이루/VV+는/ETM
합리적	합리/NNG+적/XSN
방안을	방안/NNG+을/JKO
좀	좀/MAG
더	더/MAG
찾아봐야	찾아보/VV+아야/EC
하지	하/VX+지/EC
않았나	않/VX+았/EP+나/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.282.2.6
찬반(贊反) 여부에 관한 명확한 입장을 밝히지 못한 것이다.

찬반(贊反)	찬반/NNG+(/SS+贊反/SH+)/SS
여부에	여부/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
명확한	명확하/VA+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝히지	밝히/VV+지/EC
못한	못하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.282.2.7
국회 환경노동위원회 소속 일부 야당 의원은 개인적으로는 반대한다고 하지만 당론(黨論) 채택을 위한 논의는 없다.

국회	국회/NNG
환경노동위원회	환경/NNG+노동/NNG+위원회/NNG
소속	소속/NNG
일부	일부/NNG
야당	야당/NNG
의원은	의원/NNG+은/JX
개인적으로는	개인/NNG+적/XSN+으로/JKB+는/JX
반대한다고	반대/NNG+하/XSV+ㄴ다고/EC
하지만	하/VV+지만/EC
당론(黨論)	당론/NNG+(/SS+黨論/SH+)/SS
채택을	채택/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
논의는	논의/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.282.3.1
이렇게 애매한 태도를 취하는 핵심 원인은 새정치연합 소속인 최문순 강원도지사 때문이다.

이렇게	이렇/VA+게/EC
애매한	애매/NNG+하/XSA+ㄴ/ETM
태도를	태도/NNG+를/JKO
취하는	취하/VV+는/ETM
핵심	핵심/NNG
원인은	원인/NNG+은/JX
새정치연합	새정치연합/NNP
소속인	소속/NNG+이/VCP+ㄴ/ETM
최문순	최문순/NNP
강원도지사	강원/NNP+도지사/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.282.3.2
최 지사는 작년 6·4 지방선거에서 설악산 케이블카 유치를 주요 공약으로 삼았고 이를 관철시키기 위해 백방으로 뛰었다.

최	최/NNP
지사는	지사/NNG+는/JX
작년	작년/NNG
6·4	6/SN+·/SP+4/SN
지방선거에서	지방/NNG+선거/NNG+에서/JKB
설악산	설악산/NNP
케이블카	케이블카/NNG
유치를	유치/NNG+를/JKO
주요	주요/NNG
공약으로	공약/NNG+으로/JKB
삼았고	삼/VV+았/EP+고/EC
이를	이/NP+를/JKO
관철시키기	관철/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
백방으로	백방/NNG+으로/JKB
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.282.3.3
최 지사는 "이번 국립공원위원회 결정이 강원도의 새 역사를 시작하는 기폭제가 되도록 총력을 다하겠다"고 했다.

최	최/NNP
지사는	지사/NNG+는/JX
"이번	"/SS+이번/NNG
국립공원위원회	국립/NNG+공원/NNG+위원회/NNG
결정이	결정/NNG+이/JKS
강원도의	강원도/NNP+의/JKG
새	새/MMA
역사를	역사/NNG+를/JKO
시작하는	시작/NNG+하/XSV+는/ETM
기폭제가	기폭제/NNG+가/JKC
되도록	되/VV+도록/EC
총력을	총력/NNG+을/JKO
다하겠다"고	다/MAG+하/XSV+겠/EP+다/EC+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.282.3.4
전통적인 여권 강세 지역에서 두 차례나 도지사로 당선된 최 지사의 입장이 강고하니 새정치연합 지도부로서는 그간의 원칙을 내세우기 난감한 것이다.

전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
여권	여권/NNG
강세	강세/NNG
지역에서	지역/NNG+에서/JKB
두	두/MMN
차례나	차례/NNG+나/JX
도지사로	도지사/NNG+로/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
최	최/NNP
지사의	지사/NNG+의/JKG
입장이	입장/NNG+이/JKS
강고하니	강고하/VA+니/EC
새정치연합	새정치연합/NNP
지도부로서는	지도부/NNG+로서/JKB+는/JX
그간의	그/NP+간/XSN+의/JKG
원칙을	원칙/NNG+을/JKO
내세우기	내세우/VV+기/ETN
난감한	난감하/VA+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.282.3.5
진보 진영은 환경과 개발 사이의 논란에서 언제나 전자(前者)를 강조해왔다.

진보	진보/NNG
진영은	진영/NNG+은/JX
환경과	환경/NNG+과/JC
개발	개발/NNG
사이의	사이/NNG+의/JKG
논란에서	논란/NNG+에서/JKB
언제나	언제나/MAG
전자(前者)를	전자/NNG+(/SS+前者/SH+)/SS+를/JKO
강조해왔다.	강조/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.282.4.1
상황이 이렇게 되자 진보 정당과 시민사회단체는 새정치연합에 비난의 화살을 돌리고 있다.

상황이	상황/NNG+이/JKS
이렇게	이렇/VA+게/EC
되자	되/VV+자/EC
진보	진보/NNG
정당과	정당/NNG+과/JC
시민사회단체는	시민/NNG+사회단체/NNG+는/JX
새정치연합에	새정치연합/NNP+에/JKB
비난의	비난/NNG+의/JKG
화살을	화살/NNG+을/JKO
돌리고	돌리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.282.4.2
노동당은 논평에서 "환경단체들의 우려 목소리가 터져 나와도 안하무인으로 행동하는 새정치민주연합에서 MB의 그림자를 느낀다"고 했다.

노동당은	노동당/NNP+은/JX
논평에서	논평/NNG+에서/JKB
"환경단체들의	"/SS+환경/NNG+단체/NNG+들/XSN+의/JKG
우려	우려/NNG
목소리가	목소리/NNG+가/JKS
터져	터지/VV+어/EC
나와도	나오/VV+아도/EC
안하무인으로	안하무인/NNG+으로/JKB
행동하는	행동/NNG+하/XSV+는/ETM
새정치민주연합에서	새정치민주연합/NNP+에서/JKB
MB의	MB/SL+의/JKG
그림자를	그림자/NNG+를/JKO
느낀다"고	느끼/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.282.4.3
녹색연합 등 환경단체들은 성명을 내고 "케이블카 사업에 동조하는 새정치연합은 원칙도 소신도 없는 무능한 야당의 모습"이라고 비판했다.

녹색연합	녹색연합/NNP
등	등/NNB
환경단체들은	환경/NNG+단체/NNG+들/XSN+은/JX
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
"케이블카	"/SS+케이블카/NNG
사업에	사업/NNG+에/JKB
동조하는	동조/NNG+하/XSV+는/ETM
새정치연합은	새정치연합/NNP+은/JX
원칙도	원칙/NNG+도/JX
소신도	소신/NNG+도/JX
없는	없/VA+는/ETM
무능한	무능/NNG+하/XSA+ㄴ/ETM
야당의	야당/NNG+의/JKG
모습"이라고	모습/NNG+"/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.282.4.4
침묵하는 지지층의 반감(反感)은 더 무섭다.

침묵하는	침묵/NNG+하/XSV+는/ETM
지지층의	지지/NNG+층/XSN+의/JKG
반감(反感)은	반감/NNG+(/SS+反感/SH+)/SS+은/JX
더	더/MAG
무섭다.	무섭/VA+다/EF+./SF


# id : NWRW1800000046.282.4.5
한국갤럽이 지난 1~3일 전국 성인 1003명을 대상으로 '설악산 오색지구 케이블카 설치 사업 승인에 관한 의견'을 물은 결과 전체 응답자의 43%는 찬성, 35%는 반대 의견을 보였다.

