# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.383
metadata : {}


# id : NWRW1800000040.383.1.1
안팎에 끼인 ‘새누리당 경실모’

안팎에	안팎/NNG+에/JKB
끼인	끼이/VV+ㄴ/ETM
‘새누리당	‘/SS+새누리당/NNP
경실모’	경실모/NNG+’/SS


# id : NWRW1800000040.383.2.1
‘갑을관계 민주화법’ 발의하자

‘갑을관계	‘/SS+갑을/NNG+관계/NNG
민주화법’	민주/NNG+화/XSN+법/NNG+’/SS
발의하자	발의/NNG+하/XSV+자/EF


# id : NWRW1800000040.383.3.1
정책위의장 “신중해야” 제동

정책위의장	정책위/NNG+의장/NNG
“신중해야”	“/SS+신중/NNG+하/XSA+아야/EC+”/SS
제동	제동/NNG


# id : NWRW1800000040.383.4.1
민주쪽과도 입장차 진통불가피

민주쪽과도	민주/NNP+쪽/NNB+과/JKB+도/JX
입장차	입장/NNG+차/NNG
진통불가피	진통/NNG+불가피/XR


# id : NWRW1800000040.383.5.1
* 경실모: 경제민주화실천모임

*	*/SW
경실모:	경실모/NNG+:/SP
경제민주화실천모임	경제/NNG+민주/NNG+화/XSN+실천/NNG+모임/NNG


# id : NWRW1800000040.383.6.1
‘남양유업 사건’을 계기로 불거진 ‘갑의 횡포’를 막기 위해 새누리당 경제민주화실천모임(경실모)이 28일 징벌적 손해배상제와 집단소송제, 피해자의 행위금지 청구제 도입 등을 핵심 내용으로 한 ‘독점규제 및 공정거래에 관한 법률’ 개정안(갑을관계 민주화법)을 발의했다.

‘남양유업	‘/SS+남양유업/NNP
사건’을	사건/NNG+’/SS+을/JKO
계기로	계기/NNG+로/JKB
불거진	불거지/VV+ㄴ/ETM
‘갑의	‘/SS+갑/NNG+의/JKG
횡포’를	횡포/NNG+’/SS+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
새누리당	새누리당/NNP
경제민주화실천모임(경실모)이	경제/NNG+민주/NNG+화/XSN+실천/NNG+모임/NNG+(/SS+경실모/NNG+)/SS+이/JKS
28일	28/SN+일/NNB
