# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.271
metadata : {}


# id : NWRW1800000025.271.1.1
KBO “서브 스폰서는 줄을 서시오”

KBO	KBO/SL
“서브	“/SS+서브/NNG
스폰서는	스폰서/NNG+는/JX
줄을	줄/NNG+을/JKO
서시오”	서/VV+시/EP+오/EF+”/SS


# id : NWRW1800000025.271.2.1
29일 개막하는 프로야구 포스트시즌을 앞두고 한국야구위원회(KBO)가 행복한 고민에 빠졌다.

29일	29/SN+일/NNB
개막하는	개막/NNG+하/XSV+는/ETM
프로야구	프로/NNG+야구/NNG
포스트시즌을	포스트시즌/NNG+을/JKO
앞두고	앞두/VV+고/EC
한국야구위원회(KBO)가	한국야구위원회/NNP+(/SS+KBO/SL+)/SS+가/JKS
행복한	행복/NNG+하/XSA+ㄴ/ETM
고민에	고민/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.271.2.2
한껏 달아오른 야구 붐을 이용해 프로야구 마케팅을 펼치려는 기업들의 문의가 폭주하는 가운데 원만하게 ‘교통정리’를 해야 하기 때문이다.

한껏	한껏/MAG
달아오른	달아오르/VV+ㄴ/ETM
야구	야구/NNG
붐을	붐/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
프로야구	프로/NNG+야구/NNG
마케팅을	마케팅/NNG+을/JKO
펼치려는	펼치/VV+려는/ETM
기업들의	기업/NNG+들/XSN+의/JKG
문의가	문의/NNG+가/JKS
폭주하는	폭주/NNG+하/XSV+는/ETM
가운데	가운데/NNG
원만하게	원만하/VA+게/EC
‘교통정리’를	‘/SS+교통정리/NNG+’/SS+를/JKO
해야	하/VV+아야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.271.3.1
프로야구의 타이틀 스폰서는 온라인 게임 ‘마구마구’를 서비스하는 CJ인터넷이다.

