# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.177
metadata : {}


# id : NWRW1800000033.177.1.1
그에게 ‘영재’는 돈줄이었다

그에게	그/NP+에게/JKB
‘영재’는	‘/SS+영재/NNG+’/SS+는/JX
돈줄이었다	돈줄/NNG+이/VCP+었/EP+다/EF


# id : NWRW1800000033.177.2.1
경찰 ‘울트라 비리’ 한예종 교수 제자 9명 영재교육원-예비학교 출신 확인

경찰	경찰/NNG
‘울트라	‘/SS+울트라/NNG
비리’	비리/NNG+’/SS
한예종	한예종/NNP
교수	교수/NNG
제자	제자/NNG
9명	9/SN+명/NNB
영재교육원-예비학교	영재/NNG+교육원/NNG+-/SO+예비/NNG+학교/NNG
출신	출신/NNG
확인	확인/NNG


# id : NWRW1800000033.177.3.1
음악 영재들이 꿈을 키우는 한국예술종합학교(한예종)의 영재교육기관이 고액과외를 통한 대학교수의 돈벌이 수단으로 악용됐던 것으로 드러나 충격을 주고 있다.

음악	음악/NNG
영재들이	영재/NNG+들/XSN+이/JKS
꿈을	꿈/NNG+을/JKO
키우는	키우/VV+는/ETM
한국예술종합학교(한예종)의	한국예술종합학교/NNP+(/SS+한예종/NNP+)/SS+의/JKG
영재교육기관이	영재/NNG+교육/NNG+기관/NNG+이/JKS
고액과외를	고액/NNG+과외/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
대학교수의	대학교수/NNG+의/JKG
돈벌이	돈벌이/NNG
수단으로	수단/NNG+으로/JKB
악용됐던	악용/NNG+되/XSV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
드러나	드러나/VV+아/EC
충격을	충격/NNG+을/JKO
주고	주/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.177.3.2
이 학교 입시준비생들에게 불법으로 교습하고 부정 입학을 시켜 준 대가로 2억6000만 원을 받은 혐의로 구속된 이 학교 콘트라베이스 전공 이호교 교수(45)가 한예종 예술영재교육원과 예비학교(예술실기연수과정)에 다니는 중고교 제자들을 상대로 불법 교습을 하며 3000여만 원을 챙긴 것으로 드러났다.

이	이/MMD
학교	학교/NNG
입시준비생들에게	입시/NNG+준비/NNG+생/XSN+들/XSN+에게/JKB
불법으로	불법/NNG+으로/JKB
교습하고	교습/NNG+하/XSV+고/EC
부정	부정/NNG
입학을	입학/NNG+을/JKO
시켜	시키/VV+어/EC
준	주/VX+ㄴ/ETM
대가로	대가/NNG+로/JKB
2억6000만	2/SN+억/NR+6000/SN+만/NR
원을	원/NNB+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
구속된	구속/NNG+되/XSV+ㄴ/ETM
콘트라베이스	콘트라베이스/NNG
전공	전공/NNG
이호교	이호교/NNP
교수(45)가	교수/NNG+(/SS+45/SN+)/SS+가/JKS
한예종	한예종/NNP
예술영재교육원과	예술/NNG+영재/NNG+교육원/NNG+과/JC
예비학교(예술실기연수과정)에	예비/NNG+학교/NNG+(/SS+예술/NNG+실기/NNG+연수/NNG+과정/NNG+)/SS+에/JKB
다니는	다니/VV+는/ETM
중고교	중고교/NNG
제자들을	제자/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
불법	불법/NNG
교습을	교습/NNG+을/JKO
하며	하/VV+며/EC
3000여만	3000/SN+여/XSN+만/NR
챙긴	챙기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.177.4.1
▶본보 4월 23일자 A2면 참조

▶본보	▶/SW+본보/NNG
4월	4/SN+월/NNB
23일자	23/SN+일/NNB+자/NNG
A2면	A/SL+2/SN+면/NNG
참조	참조/NNG


# id : NWRW1800000033.177.5.1
서울지방경찰청 광역수사대와 한예종 관계자에 따르면 이 교수가 2006년부터 지난해까지 불법 교습을 한 것으로 확인된 제자 12명 가운데 9명은 고교 재학 시절부터 한예종 영재교육원이나 예비학교에 다니며 이 교수와 인연을 맺었다.

서울지방경찰청	서울지방경찰청/NNP
광역수사대와	광역/NNG+수사대/NNG+와/JC
한예종	한예종/NNP
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/NNP
교수가	교수/NNG+가/JKS
2006년부터	2006/SN+년/NNB+부터/JX
지난해까지	지난해/NNG+까지/JX
불법	불법/NNG
교습을	교습/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인된	확인/NNG+되/XSV+ㄴ/ETM
제자	제자/NNG
12명	12/SN+명/NNB
가운데	가운데/NNG
9명은	9/SN+명/NNB+은/JX
고교	고교/NNG
재학	재학/NNG
시절부터	시절/NNG+부터/JX
영재교육원이나	영재/NNG+교육원/NNG+이나/JC
예비학교에	예비/NNG+학교/NNG+에/JKB
다니며	다니/VV+며/EC
교수와	교수/NNG+와/JKB
인연을	인연/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.177.5.2
이 교수와 가까운 한예종 관계자 A 씨는 “이 교수가 콘트라베이스 전공 예비학교나 영재교육원에서 강의하며 중고생들과 친분을 다진 뒤 ‘내 밑에 있는 시간강사나 대학원생에게 개인 교습을 받아야 한예종에 합격할 수 있다’며 교습을 권했다”고 말했다.

이	이/NNP
교수와	교수/NNG+와/JKB
가까운	가깝/VA+ㄴ/ETM
한예종	한예종/NNP
관계자	관계자/NNG
A	A/SL
씨는	씨/NNB+는/JX
“이	“/SS+이/NNP
교수가	교수/NNG+가/JKS
콘트라베이스	콘트라베이스/NNG
전공	전공/NNG
예비학교나	예비/NNG+학교/NNG+나/JC
영재교육원에서	영재/NNG+교육원/NNG+에서/JKB
강의하며	강의/NNG+하/XSV+며/EC
중고생들과	중/NNG+고/NNG+생/XSN+들/XSN+과/JKB
친분을	친분/NNG+을/JKO
다진	다지/VV+ㄴ/ETM
뒤	뒤/NNG
‘내	‘/SS+나/NP+의/JKG
밑에	밑/NNG+에/JKB
있는	있/VA+는/ETM
시간강사나	시간/NNG+강사/NNG+나/JC
대학원생에게	대학원/NNG+생/XSN+에게/JKB
개인	개인/NNG
교습을	교습/NNG+을/JKO
받아야	받/VV+아야/EC
한예종에	한예종/NNP+에/JKB
합격할	합격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다’며	있/VA+다/EF+’/SS+며/EC
권했다”고	권/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.177.5.3
국립대 교원 신분으로는 현행법상 개인 교습을 할 수 없기 때문에 시간강사나 대학원생에게 교습을 맡긴 것이다.

국립대	국립대/NNG
교원	교원/NNG
신분으로는	신분/NNG+으로/JKB+는/JX
현행법상	현행법/NNG+상/XSN
개인	개인/NNG
교습을	교습/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
시간강사나	시간/NNG+강사/NNG+나/JC
대학원생에게	대학원/NNG+생/XSN+에게/JKB
맡긴	맡기/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.177.5.4
학생들은 이들을 ‘중간 선생님’이라고 불렀다.

학생들은	학생/NNG+들/XSN+은/JX
이들을	이/NP+들/XSN+을/JKO
‘중간	‘/SS+중간/NNG
선생님’이라고	선생/NNG+님/XSN+’/SS+이라고/JKQ
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.177.5.5
한예종 입학이 꿈인 학생 대부분 이 교수의 제안을 거부하지 못하고 ‘중간 선생님’에게 교습을 받은 것으로 알려졌다.

한예종	한예종/NNP
입학이	입학/NNG+이/JKS
꿈인	꿈/NNG+이/VCP+ㄴ/ETM
학생	학생/NNG
대부분	대/XPN+부분/NNG
이	이/NNP
교수의	교수/NNG+의/JKG
제안을	제안/NNG+을/JKO
거부하지	거부/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
‘중간	‘/SS+중간/NNG
선생님’에게	선생/NNG+님/XSN+’/SS+에게/JKB
교습을	교습/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.177.6.1
문제는 이 교수가 학생들 교습에 참여하지 않는 척했지만 실제로는 교습을 하고 거액을 받았다는 점이다.

문제는	문제/NNG+는/JX
이	이/NNP
교수가	교수/NNG+가/JKS
학생들	학생/NNG+들/XSN
교습에	교습/NNG+에/JKB
참여하지	참여/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
척했지만	척/NNB+하/XSV+았/EP+지만/EC
실제로는	실제로/MAG+는/JX
교습을	교습/NNG+을/JKO
하고	하/VV+고/EC
거액을	거액/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.177.6.2
이 교수는 입시 2, 3개월 전이 되면 ‘중간 선생님’에게 ‘교습을 그만하라’고 한 뒤 학생들을 넘겨받아 시간당 15만 원이 넘는 돈을 받고 가르쳤다.

이	이/NNP
교수는	교수/NNG+는/JX
입시	입시/NNG
2,	2/SN+,/SP
3개월	3/SN+개월/NNB
전이	전/NNG+이/JKS
되면	되/VV+면/EC
‘중간	‘/SS+중간/NNG
선생님’에게	선생/NNG+님/XSN+’/SS+에게/JKB
‘교습을	‘/SS+교습/NNG+을/JKO
그만하라’고	그만/MAG+하/XSV+라/EF+’/SS+고/JKQ
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
학생들을	학생/NNG+들/XSN+을/JKO
넘겨받아	넘겨받/VV+아/EC
시간당	시간/NNG+당/XSN
15만	15/SN+만/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
돈을	돈/NNG+을/JKO
받고	받/VV+고/EC
가르쳤다.	가르치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.177.6.3
이 교수는 이런 수법으로 2006년부터 지난해까지 3000여만 원을 벌어들였다.

이	이/NNP
교수는	교수/NNG+는/JX
이런	이런/MMD
수법으로	수법/NNG+으로/JKB
2006년부터	2006/SN+년/NNB+부터/JX
지난해까지	지난해/NNG+까지/JX
3000여만	3000/SN+여/XSN+만/NR
원을	원/NNB+을/JKO
벌어들였다.	벌어들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.177.6.4
이 교수는 주변 시선을 따돌리기 위해 ‘중간 선생님’들에게 직접 학생들을 가르치고 있다는 소문을 내라고 시킨 것으로 알려졌다.

이	이/NNP
교수는	교수/NNG+는/JX
주변	주변/NNG
시선을	시선/NNG+을/JKO
