# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.110
metadata : {}


# id : NWRW1800000032.110.1.1
호주 ‘여고생 목’에 폭탄, 알고보니 ‘가짜’

호주	호주/NNP
‘여고생	‘/SS+여고/NNG+생/XSN
목’에	목/NNG+’/SS+에/JKB
폭탄,	폭탄/NNG+,/SP
알고보니	알/VV+고/EC+보/VX+니/EC
‘가짜’	‘/SS+가짜/NNG+’/SS


# id : NWRW1800000032.110.2.1
괴한 침입해 매달고 달아나 10시간 해체…“매우 정교”

괴한	괴한/NNG
침입해	침입/NNG+하/XSV+아/EC
매달고	매달/VV+고/EC
달아나	달아나/VV+아/EC
10시간	10/SN+시간/NNB
해체…“매우	해체/NNG+…/SE+“/SS+매우/MAG
정교”	정교/XR+”/SS


# id : NWRW1800000032.110.3.1
한 여고생 목에 채워진 가짜 폭발물로 10시간 동안 인근 지역이 소개되는 등 오스트레일리아가 폭탄테러 소동에 시달렸다.

한	한/MMN
여고생	여고/NNG+생/XSN
목에	목/NNG+에/JKB
채워진	채우/VV+어/EC+지/VX+ㄴ/ETM
가짜	가짜/NNG
폭발물로	폭발물/NNG+로/JKB
10시간	10/SN+시간/NNB
동안	동안/NNG
인근	인근/NNG
지역이	지역/NNG+이/JKS
소개되는	소개/NNG+되/XSV+는/ETM
등	등/NNB
오스트레일리아가	오스트레일리아/NNP+가/JKS
폭탄테러	폭탄/NNG+테러/NNG
소동에	소동/NNG+에/JKB
시달렸다.	시달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.110.4.1
지난 3일 오후 2시30분께 시드니 북부 모스만의 버라웡애비뉴에 있는 한 주택에 괴한이 침입해, 혼자 대입 준비를 하고 있던 여고생 매들린 펄버(18)를 위협한 뒤 폭발물로 의심되는 물체를 목에 매달아 놓고 달아났다.

지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
오후	오후/NNG
2시30분께	2/SN+시/NNB+30/SN+분/NNB+께/XSN
시드니	시드니/NNP
북부	북부/NNG
모스만의	모스만/NNP+의/JKG
버라웡애비뉴에	버라웡애비뉴/NNP+에/JKB
있는	있/VA+는/ETM
한	한/MMN
주택에	주택/NNG+에/JKB
괴한이	괴한/NNG+이/JKS
침입해,	침입/NNG+하/XSV+아/EC+,/SP
혼자	혼자/MAG
대입	대입/NNG
준비를	준비/NNG+를/JKO
하고	하/VV+고/EC
있던	있/VX+던/ETM
여고생	여고/NNG+생/XSN
매들린	매들린/NNP
펄버(18)를	펄버/NNP+(/SS+18/SN+)/SS+를/JKO
위협한	위협/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
폭발물로	폭발물/NNG+로/JKB
의심되는	의심/NNG+되/XSV+는/ETM
물체를	물체/NNG+를/JKO
목에	목/NNG+에/JKB
매달아	매달/VV+아/EC
놓고	놓/VX+고/EC
달아났다.	달아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.110.4.2
펄버는 곧 이를 경찰에 신고해, 경찰은 이 지역의 인근 가옥들을 소개하고 무려 10시간에 걸쳐 폭발물 의심 물체를 제거했다.

펄버는	펄버/NNP+는/JX
곧	곧/MAG
이를	이/NP+를/JKO
경찰에	경찰/NNG+에/JKB
신고해,	신고/NNG+하/XSV+아/EC+,/SP
경찰은	경찰/NNG+은/JX
이	이/MMD
지역의	지역/NNG+의/JKG
인근	인근/NNG
가옥들을	가옥/NNG+들/XSN+을/JKO
소개하고	소개/NNG+하/XSV+고/EC
무려	무려/MAG
10시간에	10/SN+시간/NNB+에/JKB
걸쳐	걸치/VV+어/EC
폭발물	폭발물/NNG
의심	의심/NNG
물체를	물체/NNG+를/JKO
제거했다.	제거/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.110.4.3
이 물체 제거는 영국의 폭발물 해체 전문가까지 동원된 힘들고 정교한 작업이었다고 경찰 쪽은 설명했다.

이	이/MMD
물체	물체/NNG
제거는	제거/NNG+는/JX
영국의	영국/NNP+의/JKG
폭발물	폭발물/NNG
해체	해체/NNG
전문가까지	전문가/NNG+까지/JX
동원된	동원/NNG+되/XSV+ㄴ/ETM
힘들고	힘들/VA+고/EC
정교한	정교하/VA+ㄴ/ETM
작업이었다고	작업/NNG+이/VCP+었/EP+다고/EC
경찰	경찰/NNG
쪽은	쪽/NNB+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.110.4.4
그러나 확인 결과 이 물체는 매우 정교한 가짜 폭발물로 밝혀졌다고 (BBC)가 4일 보도했다.

그러나	그러나/MAJ
확인	확인/NNG
결과	결과/NNG
이	이/MMD
물체는	물체/NNG+는/JX
매우	매우/MAG
정교한	정교하/VA+ㄴ/ETM
가짜	가짜/NNG
폭발물로	폭발물/NNG+로/JKB
밝혀졌다고	밝혀지/VV+었/EP+다고/EC
(BBC)가	(/SS+BBC/SL+)/SS+가/JKS
4일	4/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.110.5.1
뉴사우스웨일스경찰청의 마크 머독 부청장은 “매우 정교한 가짜인 것으로 밝혀졌다”며 “그러나 이 물체는 정교하게 만들어진 폭발물로 보였고, 우리는 진상이 밝혀질 때까지 조심해 다룰 수밖에 없어 제거에 오랜 시간이 걸렸다”고 밝혔다.

뉴사우스웨일스경찰청의	뉴사우스웨일스경찰청/NNP+의/JKG
마크	마크/NNP
머독	머독/NNP
부청장은	부청장/NNG+은/JX
“매우	“/SS+매우/MAG
정교한	정교하/VA+ㄴ/ETM
가짜인	가짜/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다”며	밝혀지/VV+었/EP+다/EF+”/SS+며/EC
“그러나	“/SS+그러나/MAJ
이	이/MMD
물체는	물체/NNG+는/JX
정교하게	정교하/VA+게/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
폭발물로	폭발물/NNG+로/JKB
보였고,	보이/VV+었/EP+고/EC+,/SP
우리는	우리/NP+는/JX
진상이	진상/NNG+이/JKS
밝혀질	밝혀지/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
조심해	조심/NNG+하/XSV+아/EC
다룰	다루/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없어	없/VA+어/EC
제거에	제거/NNG+에/JKB
오랜	오랜/MMA
시간이	시간/NNG+이/JKS
걸렸다”고	걸리/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.110.5.2
이 폭발물 소동은 금품 갈취를 위한 것일 가능성을 두고 수사중이라고 경찰은 밝혔다.

이	이/MMD
폭발물	폭발물/NNG
소동은	소동/NNG+은/JX
금품	금품/NNG
갈취를	갈취/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
두고	두/VV+고/EC
수사중이라고	수사/NNG+중/NNB+이/VCP+라고/EC
경찰은	경찰/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.110.5.3
범인은 메모를 남겨놓고 달아나, 경찰은 이를 단서로 수사중이다.

범인은	범인/NNG+은/JX
메모를	메모/NNG+를/JKO
남겨놓고	남기/VV+어/EC+놓/VX+고/EC
달아나,	달아나/VV+아/EC+,/SP
경찰은	경찰/NNG+은/JX
이를	이/NP+를/JKO
단서로	단서/NNG+로/JKB
수사중이다.	수사/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.110.6.1
공포에 시달린 펄버는 곧바로 병원으로 옮겨졌으나 별다른 이상은 없는 것으로 전해졌다.

공포에	공포/NNG+에/JKB
시달린	시달리/VV+ㄴ/ETM
펄버는	펄버/NNP+는/JX
곧바로	곧바로/MAG
병원으로	병원/NNG+으로/JKB
옮겨졌으나	옮기/VV+어/EC+지/VX+었/EP+으나/EC
별다른	별다르/VA+ㄴ/ETM
이상은	이상/NNG+은/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.110.6.2
펄버의 아버지는 소프트웨어회사를 경영하면서 상당한 부를 축적한 것으로 알려졌다.

펄버의	펄버/NNP+의/JKG
아버지는	아버지/NNG+는/JX
소프트웨어회사를	소프트웨어/NNG+회사/NNG+를/JKO
경영하면서	경영/NNG+하/XSV+면서/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
부를	부/NNG+를/JKO
축적한	축적/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.110.6.3
소동이 일어난 모스만은 시드니의 최고 부촌 중 하나이다.

소동이	소동/NNG+이/JKS
일어난	일어나/VV+ㄴ/ETM
모스만은	모스만/NNP+은/JX
시드니의	시드니/NNP+의/JKG
최고	최고/NNG
부촌	부촌/NNG
중	중/NNB
하나이다.	하나/NR+이/VCP+다/EF+./SF


