# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.120
metadata : {}


# id : NWRW1800000038.120.1.1
代를 건너뛴 만남… "밥부터 먹자"고 한 사연

代를	代/SH+를/JKO
건너뛴	건너뛰/VV+ㄴ/ETM
만남…	만남/NNG+…/SE
"밥부터	"/SS+밥/NNG+부터/JX
먹자"고	먹/VV+자/EF+"/SS+고/JKQ
한	하/VV+ㄴ/ETM
사연	사연/NNG


# id : NWRW1800000038.120.2.1
백선엽 장군, '6·25 戰友' 밴 플리트 장군 외손자와 만나다

백선엽	백선엽/NNP
장군,	장군/NNG+,/SP
'6·25	'/SS+6/SN+·/SP+25/SN
戰友'	戰友/SH+'/SS
밴	밴/NNP
플리트	플리트/NNP
장군	장군/NNG
외손자와	외손자/NNG+와/JKB
만나다	만나/VV+다/EF


# id : NWRW1800000038.120.3.1
31일 오전 서울 용산구 전쟁기념관 429호실.

31일	31/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
용산구	용산구/NNP
전쟁기념관	전쟁기념관/NNP
429호실.	429/SN+호실/NNG+./SF


# id : NWRW1800000038.120.3.2
'6·25전쟁의 영웅' 백선엽(93) 장군은 벽에 붙은 포스터를 보며 상념에 잠겨 있었다.

'6·25전쟁의	'/SS+6/SN+·/SP+25/SN+전쟁/NNG+의/JKG
영웅'	영웅/NNG+'/SS
백선엽(93)	백선엽/NNP+(/SS+93/SN+)/SS
장군은	장군/NNG+은/JX
벽에	벽/NNG+에/JKB
붙은	붙/VV+은/ETM
포스터를	포스터/NNG+를/JKO
보며	보/VV+며/EC
상념에	상념/NNG+에/JKB
잠겨	잠기/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.120.3.3
6·25전쟁 당시 군인들을 독려하기 위해 만든 이 포스터 아래에는 '레디 투 파이트, 투나잇?(Ready to fight, tonight?)'이란 영어 문구와 함께 'Kachi kapsida(같이 갑시다)'라는 글이 적혀 있었다.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
당시	당시/NNG
군인들을	군인/NNG+들/XSN+을/JKO
독려하기	독려/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
만든	만들/VV+ㄴ/ETM
이	이/MMD
포스터	포스터/NNG
아래에는	아래/NNG+에/JKB+는/JX
'레디	'/SS+레디/NNG
투	투/NA
파이트,	파이트/NNG+,/SP
투나잇?(Ready	투나잇/NNG+?/SF+(/SS+Ready/SL
to	to/SL
fight,	fight/SL+,/SP
tonight?)'이란	tonight/SL+?/SF+)/SS+'/SS+이/VCP+란/ETM
영어	영어/NNP
문구와	문구/NNG+와/JKB
함께	함께/MAG
'Kachi	'/SS+Kachi/SL
kapsida(같이	kapsida/SL+(/SS+같이/MAG
갑시다)'라는	가/VV+ㅂ시다/EF+)/SS+'/SS+이/VCP+라는/ETM
글이	글/NNG+이/JKS
적혀	적히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.120.3.4
백 장군 옆에 총을 든 사람은 제임스 A 밴 플리트 장군(1892~1992).

백	백/NNP
장군	장군/NNG
옆에	옆/NNG+에/JKB
총을	총/NNG+을/JKO
든	들/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
제임스	제임스/NNP
A	A/SL
밴	밴/NNP
플리트	플리트/NNP
장군(1892~1992).	장군/NNG+(/SS+1892/SN+~/SO+1992/SN+)/SS+./SF


# id : NWRW1800000038.120.3.5
6·25 전쟁 때 2년간 미 8군 사령관을 지낸 그는 이승만 전(前) 대통령으로부터 '한국군의 아버지'라는 칭송을 받았다.

6·25	6/SN+·/SP+25/SN
전쟁	전쟁/NNG
때	때/NNG
2년간	2/SN+년/NNB+간/XSN
미	미/NNP
8군	8/SN+군/NNG
사령관을	사령관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
그는	그/NP+는/JX
이승만	이승만/NNP
전(前)	전/MMD+(/SS+前/SH+)/SS
대통령으로부터	대통령/NNG+으로부터/JKB
'한국군의	'/SS+한국군/NNG+의/JKG
아버지'라는	아버지/NNG+'/SS+이/VCP+라는/ETM
칭송을	칭송/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.120.3.6
6·25전쟁 때 1사단장, 육군 참모총장을 지낸 백 장군은 밴 플리트 장군과 전장(戰場)을 누비며 깊은 우애를 나눴다.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
때	때/NNG
1사단장,	1/SN+사단장/NNG+,/SP
육군	육군/NNG
참모총장을	참모/NNG+총장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
백	백/NNP
장군은	장군/NNG+은/JX
밴	밴/NNP
플리트	플리트/NNP
장군과	장군/NNG+과/JKB
전장(戰場)을	전장/NNG+(/SS+戰場/SH+)/SS+을/JKO
누비며	누비/VV+며/EC
깊은	깊/VA+은/ETM
우애를	우애/NNG+를/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.120.4.1
잠시 후 파란 눈의 노(老)신사가 방문을 열고 들어왔다.

잠시	잠시/MAG
후	후/NNG
파란	파랗/VA+ㄴ/ETM
눈의	눈/NNG+의/JKG
노(老)신사가	노/XPN+(/SS+老/SH+)/SS+신사/NNG+가/JKS
방문을	방문/NNG+을/JKO
열고	열/VV+고/EC
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.120.4.2
밴 플리트 장군의 외손자인 조셉 매크리스천 2세(71)였다.

밴	밴/NNP
플리트	플리트/NNP
장군의	장군/NNG+의/JKG
외손자인	외손자/NNG+이/VCP+ㄴ/ETM
조셉	조셉/NNP
매크리스천	매크리스천/NNP
2세(71)였다.	2/SN+세/NNB+(/SS+71/SN+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.120.4.3
백 장군은 그를 보자마자 얼싸안았다.

백	백/NNP
장군은	장군/NNG+은/JX
그를	그/NP+를/JKO
보자마자	보/VV+자마자/EC
얼싸안았다.	얼싸안/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.120.4.4
한·미 동맹 60주년을 맞아 '밴 플리트가(家)'를 대표해 한국을 찾은 그에게 백 장군이 처음 건넨 말은 "자네 배고프지? 나랑 점심 먹어야지(Are you hungry? Have a lunch with me)"였다.

한·미	한·미/NNP
동맹	동맹/NNG
60주년을	60/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
'밴	'/SS+밴/NNP
플리트가(家)'를	플리트가/NNP+(/SS+家/SH+)/SS+'/SS+를/JKO
대표해	대표/NNG+하/XSV+아/EC
한국을	한국/NNP+을/JKO
찾은	찾/VV+은/ETM
그에게	그/NP+에게/JKB
백	백/NNP
장군이	장군/NNG+이/JKS
처음	처음/NNG
건넨	건네/VV+ㄴ/ETM
말은	말/NNG+은/JX
"자네	"/SS+자네/NP
배고프지?	배고프/VA+지/EF+?/SF
나랑	나/NP+랑/JKB
점심	점심/NNG
먹어야지(Are	먹/VV+어야지/EF+(/SS+Are/SL
you	you/SL
hungry?	hungry/SL+?/SF
Have	Have/SL
a	a/SL
lunch	lunch/SL
with	with/SL
me)"였다.	me/SL+)/SS+"/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.120.5.1
백 장군이 뜬금없이 밥 얘기를 꺼낸 데에는 사연이 있다.

백	백/NNP
장군이	장군/NNG+이/JKS
뜬금없이	뜬금없이/MAG
밥	밥/NNG
얘기를	얘기/NNG+를/JKO
꺼낸	꺼내/VV+ㄴ/ETM
데에는	데/NNB+에/JKB+는/JX
사연이	사연/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.120.5.2
밴 플리트 장군은 백 장군을 각별히 아꼈다.

밴	밴/NNP
플리트	플리트/NNP
장군은	장군/NNG+은/JX
백	백/NNP
장군을	장군/NNG+을/JKO
각별히	각별히/MAG
