# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.348
metadata : {}


# id : NWRW1800000029.348.1.1
野단일화 했는데 민주는 안 도와줘 순천에 무슨 일이…

野단일화	野/SH+단일/NNG+화/XSN
했는데	하/VV+았/EP+는데/EC
민주는	민주/NNP+는/JX
안	안/MAG
도와줘	도와주/VV+어/EF
순천에	순천/NNP+에/JKB
무슨	무슨/MMD
일이…	일/NNG+이/JKS+…/SE


# id : NWRW1800000029.348.2.1
원내 1, 2당이 후보를 내지 않은 전남 순천 4·27 국회의원 보궐선거 판세도 안갯속이다.

원내	원내/NNG
1,	1/SN+,/SP
2당이	2/SN+당/NNG+이/JKS
후보를	후보/NNG+를/JKO
내지	내/VV+지/EC
않은	않/VX+은/ETM
전남	전남/NNP
순천	순천/NNP
4·27	4/SN+·/SP+27/SN
국회의원	국회/NNG+의원/NNG
보궐선거	보궐/NNG+선거/NNG
판세도	판세/NNG+도/JX
안갯속이다.	안갯속/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.348.3.1
야권 단일후보로 민주노동당 김선동 후보가 나왔으나 구희승 김경재 박상철 조순용 허상만 허신행 후보 등 민주당 출신 무소속 후보 6명의 난립 속에 혼전이 펼쳐지고 있다.

야권	야권/NNG
단일후보로	단일/NNG+후보/NNG+로/JKB
민주노동당	민주노동당/NNP
김선동	김선동/NNP
후보가	후보/NNG+가/JKS
나왔으나	나오/VV+았/EP+으나/EC
구희승	구희승/NNP
김경재	김경재/NNP
박상철	박상철/NNP
조순용	조순용/NNP
허상만	허상만/NNP
허신행	허신행/NNP
후보	후보/NNG
등	등/NNB
민주당	민주당/NNP
출신	출신/NNG
무소속	무/XPN+소속/NNG
6명의	6/SN+명/NNB+의/JKG
난립	난립/NNG
속에	속/NNG+에/JKB
혼전이	혼전/NNG+이/JKS
펼쳐지고	펼쳐지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.348.4.1
민주당은 다른 지역에서의 야권후보 단일화 성사를 위해 공천을 하지 않고 민노당에 후보를 양보했지만 민노당 후보에 대한 대규모 지원 유세나 밑바닥 조직의 협조는 전혀 이뤄지지 않고 있다.

민주당은	민주당/NNP+은/JX
다른	다른/MMD
지역에서의	지역/NNG+에서/JKB+의/JKG
야권후보	야권/NNG+후보/NNG
단일화	단일/NNG+화/XSN
성사를	성사/NNG+를/JKO
위해	위하/VV+아/EC
공천을	공천/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
민노당에	민노당/NNP+에/JKB
후보를	후보/NNG+를/JKO
양보했지만	양보/NNG+하/XSV+았/EP+지만/EC
민노당	민노당/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
지원	지원/NNG
유세나	유세/NNG+나/JC
밑바닥	밑바닥/NNG
조직의	조직/NNG+의/JKG
협조는	협조/NNG+는/JX
전혀	전혀/MAG
이뤄지지	이뤄지/VV+지/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.348.4.2
친(親)민주당 성향 무소속 후보들은 모두 “당선 뒤 복당(復黨)”을 공언하고 있다.

친(親)민주당	친/XPN+(/SS+親/SH+)/SS+민주당/NNP
성향	성향/NNG
무소속	무/XPN+소속/NNG
후보들은	후보/NNG+들/XSN+은/JX
모두	모두/MAG
“당선	“/SS+당선/NNG
뒤	뒤/NNG
복당(復黨)”을	복당/NNG+(/SS+復黨/SH+)/SS+”/SS+을/JKO
공언하고	공언/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.348.5.1
오히려 박지원 원내대표가 최근 무소속 조순용 후보 선거사무소를 1시간가량 방문하는 등 민주당 의원들은 각자 친소 관계에 따라 무소속 후보들을 몰래 지원하고 있는 모습이다.

오히려	오히려/MAG
박지원	박지원/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
최근	최근/MAG
무소속	무/XPN+소속/NNG
조순용	조순용/NNP
후보	후보/NNG
선거사무소를	선거/NNG+사무소/NNG+를/JKO
1시간가량	1/SN+시간/NNB+가량/XSN
방문하는	방문/NNG+하/XSV+는/ETM
등	등/NNB
민주당	민주당/NNP
의원들은	의원/NNG+들/XSN+은/JX
각자	각자/MAG
친소	친소/NNG
관계에	관계/NNG+에/JKB
따라	따르/VV+아/EC
후보들을	후보/NNG+들/XSN+을/JKO
몰래	몰래/MAG
지원하고	지원/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.348.5.2
순천에서의 야권 연대는 사실상 작동하지 않고 있다.

순천에서의	순천/NNP+에서/JKB+의/JKG
야권	야권/NNG
연대는	연대/NNG+는/JX
사실상	사실/NNG+상/XSN
작동하지	작동/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.348.5.3
민주당 내에선 과거 무소속으로 당선된 뒤 입당해 주요 당직을 맡은 이들을 거론하며 “무소속으로 당선되면 거물이 되더라”는 얘기도 심심찮게 나오고 있다.

민주당	민주당/NNP
내에선	내/NNB+에서/JKB+ㄴ/JX
과거	과거/NNG
무소속으로	무/XPN+소속/NNG+으로/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
입당해	입당/NNG+하/XSV+아/EC
주요	주요/NNG
당직을	당직/NNG+을/JKO
맡은	맡/VV+은/ETM
이들을	이/NNB+들/XSN+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
“무소속으로	“/SS+무/XPN+소속/NNG+으로/JKB
당선되면	당선/NNG+되/XSV+면/EC
거물이	거물/NNG+이/JKC
되더라”는	되/VV+더라/EF+”/SS+는/ETM
얘기도	얘기/NNG+도/JX
심심찮게	심심찮/VA+게/EC
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.348.6.1
올 12월로 예상되는 전당대회에서 유력한 당 대표 후보로 거론되는 박 원내대표도 18대 총선 때 무소속으로 당선돼 복당했다.

올	올/NNG
12월로	12/SN+월/NNB+로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
전당대회에서	전당/NNG+대회/NNG+에서/JKB
유력한	유력/NNG+하/XSA+ㄴ/ETM
당	당/NNG
대표	대표/NNG
후보로	후보/NNG+로/JKB
거론되는	거론/NNG+되/XSV+는/ETM
박	박/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
