# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.344
metadata : {}


# id : NWRW1800000022.344.1.1
[책, 함께읽자] 서울, 파리, 워싱턴에서… 한글이 활짝 웃었다;세종문화회관 앞 낭독회 "말이 오르면 나라도 오르고…"세종대왕 새 동상 옆에서 우리말·우리글 소중함 새겨

[책,	[/SS+책/NNG+,/SP
함께읽자]	함께/MAG+읽/VV+자/EF+]/SS
서울,	서울/NNP+,/SP
파리,	파리/NNP+,/SP
워싱턴에서…	워싱턴/NNP+에서/JKB+…/SE
한글이	한글/NNG+이/JKS
활짝	활짝/MAG
웃었다;세종문화회관	웃/VV+었/EP+다/EF+;/SW+세종문화회관/NNP
앞	앞/NNG
낭독회	낭독회/NNG
"말이	"/SS+말/NNG+이/JKS
오르면	오르/VV+면/EC
나라도	나라/NNG+도/JX
오르고…"세종대왕	오르/VV+고/EC+…/SE+"/SS+세종/NNP+대왕/NNG
새	새/MMA
동상	동상/NNG
옆에서	옆/NNG+에서/JKB
우리말·우리글	우리말/NNG+·/SP+우리글/NNG
소중함	소중하/VA+ㅁ/ETN
새겨	새기/VV+어/EF


# id : NWRW1800000022.344.2.1
한글날 서울 광화문광장의 세종대왕 동상 제막식을 하루 앞두고 세종문화회관 앞 계단 특별 무대에서 '한글날 기념 한글 낭독회'가 열렸다.

한글날	한글날/NNG
서울	서울/NNP
광화문광장의	광화문광장/NNP+의/JKG
세종대왕	세종/NNP+대왕/NNG
동상	동상/NNG
제막식을	제막식/NNG+을/JKO
하루	하루/NNG
앞두고	앞두/VV+고/EC
세종문화회관	세종문화회관/NNP
앞	앞/NNG
계단	계단/NNG
특별	특별/NNG
무대에서	무대/NNG+에서/JKB
'한글날	'/SS+한글날/NNG
기념	기념/NNG
한글	한글/NNG
낭독회'가	낭독회/NNG+'/SS+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.344.2.2
문화체육관광부·조선일보·세종문화회관 공동 주최, 교보문고 후원으로 8일 낮 12시30분부터 1시간 여 동안 열린 이날 낭독회에는 시민·학생 200여명이 참석했다.

문화체육관광부·조선일보·세종문화회관	문화/NNG+체육/NNG+관광부/NNG+·/SP+조선일보/NNP+·/SP+세종문화회관/NNP
공동	공동/NNG
주최,	주최/NNG+,/SP
교보문고	교보문고/NNP
후원으로	후원/NNG+으로/JKB
8일	8/SN+일/NNB
낮	낮/NNG
