# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.343
metadata : {}


# id : NWRW1800000040.343.1.1
[한겨레 프리즘] 언론과 공사판의 공통점 / 한귀영

[한겨레	[/SS+한겨레/NNP
프리즘]	프리즘/NNG+]/SS
언론과	언론/NNG+과/JC
공사판의	공사판/NNG+의/JKG
공통점	공통점/NNG
/	//SP
한귀영	한귀영/NNP


# id : NWRW1800000040.343.2.1
이명박 정부 시절 김은혜 당시 청와대 대변인이 ‘미다시’라는 일본어 표현을 사용해 구설수에 오른 적이 있다.

이명박	이명박/NNP
정부	정부/NNG
시절	시절/NNG
김은혜	김은혜/NNP
당시	당시/NNG
청와대	청와대/NNP
대변인이	대변인/NNG+이/JKS
‘미다시’라는	‘/SS+미다시/NNG+’/SS+이/VCP+라는/ETM
일본어	일본어/NNP
표현을	표현/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EC
구설수에	구설수/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.343.2.2
2010년 5월 언론이 엠비(MB)의 촛불발언을 부정적으로 보도했는데 이를 두고 “임의로 없는 말을 대통령 말이라고 미다시 잡아서 쓰면”이라며 거칠게 비판했던 것이다.

2010년	2010/SN+년/NNB
5월	5/SN+월/NNB
언론이	언론/NNG+이/JKS
엠비(MB)의	엠비/NNP+(/SS+MB/SL+)/SS+의/JKG
촛불발언을	촛불/NNG+발언/NNG+을/JKO
부정적으로	부정/NNG+적/XSN+으로/JKB
보도했는데	보도/NNG+하/XSV+았/EP+는데/EC
이를	이/NP+를/JKO
두고	두/VV+고/EC
“임의로	“/SS+임의/NNG+로/JKB
없는	없/VA+는/ETM
말을	말/NNG+을/JKO
대통령	대통령/NNG
말이라고	말/NNG+이/VCP+라고/EC
미다시	미다시/NNG
잡아서	잡/VV+아서/EC
쓰면”이라며	쓰/VV+면/EC+”/SS+이/VCP+라며/EC
거칠게	거칠/VA+게/EC
비판했던	비판/NNG+하/XSV+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.343.2.3
청와대 대변인쯤 되는 이가 함부로 말을 뱉었을 리는 없고, 기자들만의 업계용어를 사용했을 때는 자신도 언론사 출신이라는 점을 강조하고 싶어서였을 듯하다.

청와대	청와대/NNP
대변인쯤	대변인/NNG+쯤/XSN
되는	되/VV+는/ETM
이가	이/NNB+가/JKS
함부로	함부로/MAG
말을	말/NNG+을/JKO
뱉었을	뱉/VV+었/EP+을/ETM
리는	리/NNB+는/JX
없고,	없/VA+고/EC+,/SP
기자들만의	기자/NNG+들/XSN+만/JX+의/JKG
업계용어를	업계/NNG+용어/NNG+를/JKO
사용했을	사용/NNG+하/XSV+았/EP+을/ETM
때는	때/NNG+는/JX
자신도	자신/NNG+도/JX
언론사	언론사/NNG
출신이라는	출신/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
싶어서였을	싶/VX+어서/EC+이/VCP+었/EP+을/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000040.343.3.1
국립국어원에서 낸 국어순화자료집합본(1991~2002)에 따르면 일본어가 가장 많이 사용되고 있는 곳은 건설 현장과 신문제작업으로 각각 410단어, 145단어나 된다.

국립국어원에서	국립/NNG+국어원/NNG+에서/JKB
낸	내/VV+ㄴ/ETM
국어순화자료집합본(1991~2002)에	국어/NNG+순화/NNG+자료집/NNG+합본/NNG+(/SS+1991/SN+~/SO+2002/SN+)/SS+에/JKB
따르면	따르/VV+면/EC
일본어가	일본어/NNP+가/JKS
가장	가장/MAG
많이	많이/MAG
사용되고	사용/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
곳은	곳/NNG+은/JX
건설	건설/NNG
현장과	현장/NNG+과/JC
신문제작업으로	신문/NNG+제작업/NNG+으로/JKB
각각	각각/MAG
410단어,	410/SN+단어/NNG+,/SP
145단어나	145/SN+단어/NNG+나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.343.3.2
건설 현장의 경우 하시라(기둥), 하리(보), 렝가(벽돌), 고대(흙칼) 등 낯선 단어도 있지만 현장식당을 의미하는 함바와 같이 익숙한 단어도 있다.

건설	건설/NNG
현장의	현장/NNG+의/JKG
경우	경우/NNG
하시라(기둥),	하시라/NNG+(/SS+기둥/NNG+)/SS+,/SP
하리(보),	하리/NNG+(/SS+보/NNG+)/SS+,/SP
렝가(벽돌),	렝가/NNG+(/SS+벽돌/NNG+)/SS+,/SP
고대(흙칼)	고대/NNG+(/SS+흙/NNG+칼/NNG+)/SS
등	등/NNB
낯선	낯설/VA+ㄴ/ETM
단어도	단어/NNG+도/JX
있지만	있/VA+지만/EC
