# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.331
metadata : {}


# id : NWRW1800000038.331.1.1
北 핵실험… 가능한 군사적 조치는?

北	北/SH
핵실험…	핵/NNG+실험/NNG+…/SE
가능한	가능/NNG+하/XSA+ㄴ/ETM
군사적	군사/NNG+적/XSN
조치는?	조치/NNG+는/JX+?/SF


# id : NWRW1800000038.331.1.2
해상봉쇄 추진… 中 동의 필요

해상봉쇄	해상/NNG+봉쇄/NNG
추진…	추진/NNG+…/SE
中	中/SH
동의	동의/NNG
필요	필요/NNG


# id : NWRW1800000038.331.2.1
대규모 한·미 연합 훈련… 스텔스 전투기 출동 검토

대규모	대/XPN+규모/NNG
한·미	한·미/NNP
연합	연합/NNG
훈련…	훈련/NNG+…/SE
스텔스	스텔스/NNG
전투기	전투기/NNG
출동	출동/NNG
검토	검토/NNG


# id : NWRW1800000038.331.3.1
정부 고위 관계자는 31일 "북한이 핵실험을 하면 한·미가 유엔 안보리 차원에서 군사적 조치 등 대응을 추진할 것"이라며 "어떤 조치를 어떻게 취할지 핵심 우방 간에 협의하고 있다"고 말했다.

정부	정부/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
31일	31/SN+일/NNB
"북한이	"/SS+북한/NNP+이/JKS
핵실험을	핵/NNG+실험/NNG+을/JKO
하면	하/VV+면/EC
한·미가	한·미/NNP+가/JKS
유엔	유엔/NNP
안보리	안보리/NNG
차원에서	차원/NNG+에서/JKB
군사적	군사/NNG+적/XSN
조치	조치/NNG
등	등/NNB
대응을	대응/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"어떤	"/SS+어떤/MMD
조치를	조치/NNG+를/JKO
어떻게	어떻/VA+게/EC
취할지	취하/VV+ㄹ지/EF
핵심	핵심/NNG
우방	우방/NNG
간에	간/NNB+에/JKB
협의하고	협의/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.331.4.1
