# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.237
metadata : {}


# id : NWRW1800000046.237.1.1
U-17 월드컵 대표팀 칠레 입성

U-17	U/SL+-/SO+17/SN
월드컵	월드컵/NNG
대표팀	대표/NNG+팀/NNG
칠레	칠레/NNP
입성	입성/NNG


# id : NWRW1800000046.237.2.1
18일 브라질과 1차전

18일	18/SN+일/NNB
브라질과	브라질/NNP+과/JC
1차전	1/SN+차전/NNB


# id : NWRW1800000046.237.3.1
"지금도 파도가 매우 높죠?

"지금도	"/SS+지금/NNG+도/JX
파도가	파도/NNG+가/JKS
매우	매우/MAG
높죠?	높/VA+죠/EF+?/SF


# id : NWRW1800000046.237.3.2
저게 지진해일(쓰나미)로 왔다고 생각해 봐요.

저게	저거/NP+이/JKS
지진해일(쓰나미)로	지진/NNG+해일/NNG+(/SS+쓰나미/NNG+)/SS+로/JKB
왔다고	오/VV+았/EP+다고/EC
생각해	생각/NNG+하/XSV+아/EC
봐요.	보/VX+아요/EF+./SF


# id : NWRW1800000046.237.3.3
그땐 정말 끔찍했죠." 16일(이하 한국 시각) 칠레 북부의 해안 도시 코킴보를 찾은 기자가 창밖 너머 드넓은 바다 풍경에 감탄하자 현지 택시 기사는 한 달 전 얘기를 꺼냈다.

그땐	그때/NNG+ㄴ/JX
정말	정말/MAG
끔찍했죠."	끔찍하/VA+았/EP+죠/EF+./SF+"/SS
16일(이하	16/SN+일/NNB+(/SS+이하/NNG
한국	한국/NNP
시각)	시각/NNG+)/SS
칠레	칠레/NNP
북부의	북부/NNG+의/JKG
해안	해안/NNG
도시	도시/NNG
코킴보를	코킴보/NNP+를/JKO
찾은	찾/VV+은/ETM
기자가	기자/NNG+가/JKS
창밖	창밖/NNG
너머	너머/NNG
드넓은	드넓/VA+은/ETM
바다	바다/NNG
풍경에	풍경/NNG+에/JKB
감탄하자	감탄/NNG+하/XSV+자/EC
현지	현지/NNG
택시	택시/NNG
기사는	기사/NNG+는/JX
한	한/MMN
달	달/NNB
전	전/NNG
얘기를	얘기/NNG+를/JKO
꺼냈다.	꺼내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.237.3.4
코킴보엔 딱 한 달 전 규모 8.3의 강진이 덮쳤다.

코킴보엔	코킴보/NNP+에/JKB+ㄴ/JX
딱	딱/MAG
한	한/MMN
달	달/NNB
전	전/NNG
규모	규모/NNG
8.3의	8/SN+./SP+3/SN+의/JKG
강진이	강진/NNG+이/JKS
덮쳤다.	덮치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.237.3.5
높이 4.5m의 지진해일이 지나간 자리는 폐허가 됐다.

높이	높이/NNG
4.5m의	4/SN+./SP+5/SN+m/SW+의/JKG
지진해일이	지진/NNG+해일/NNG+이/JKS
지나간	지나가/VV+ㄴ/ETM
자리는	자리/NNG+는/JX
폐허가	폐허/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.237.3.6
코킴보에서만 9명이 사망했고, 도시는 슬픔에 잠겼다.

코킴보에서만	코킴보/NNP+에서/JKB+만/JX
9명이	9/SN+명/NNB+이/JKS
사망했고,	사망/NNG+하/XSV+았/EP+고/EC+,/SP
도시는	도시/NNG+는/JX
슬픔에	슬픔/NNG+에/JKB
잠겼다.	잠기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.237.4.1
코킴보는 2015 칠레 FIFA(국제축구연맹) U―17(17세 이하) 월드컵에 출전하는 한국 대표팀이 B조 조별 리그 1·3차전을 치르는 곳이다.

코킴보는	코킴보/NNP+는/JX
2015	2015/SN
칠레	칠레/NNP
FIFA(국제축구연맹)	FIFA/SL+(/SS+국제축구연맹/NNP+)/SS
U―17(17세	U/SL+―/SS+17/SN+(/SS+17/SN+세/NNB
이하)	이하/NNG+)/SS
월드컵에	월드컵/NNG+에/JKB
출전하는	출전/NNG+하/XSV+는/ETM
한국	한국/NNP
대표팀이	대표/NNG+팀/NNG+이/JKS
B조	B/SL+조/NNG
조별	조별/NNG
리그	리그/NNG
1·3차전을	1/SN+·/SP+3/SN+차전/NNB+을/JKO
치르는	치르/VV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.237.4.2
U―17 월드컵 조직위에서 일하는 빈센트 즈와이어씨는 "지금까지 지진 피해 복구에 구슬땀을 쏟은 코킴보 시민들에게 이번 월드컵은 선물과도 같다"며 "축구는 칠레인들이 가장 좋아하고 자랑할 수 있는 것이기 때문"이라고 말했다.

U―17	U/SL+―/SS+17/SN
월드컵	월드컵/NNG
조직위에서	조직위/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
빈센트	빈센트/NNP
즈와이어씨는	즈와이어/NNP+씨/NNB+는/JX
"지금까지	"/SS+지금/NNG+까지/JX
지진	지진/NNG
피해	피해/NNG
복구에	복구/NNG+에/JKB
구슬땀을	구슬땀/NNG+을/JKO
쏟은	쏟/VV+은/ETM
코킴보	코킴보/NNP
시민들에게	시민/NNG+들/XSN+에게/JKB
이번	이번/NNG
월드컵은	월드컵/NNG+은/JX
선물과도	선물/NNG+과/JKB+도/JX
같다"며	같/VA+다/EF+"/SS+며/EC
"축구는	"/SS+축구/NNG+는/JX
칠레인들이	칠레인/NNG+들/XSN+이/JKS
가장	가장/MAG
좋아하고	좋아하/VV+고/EC
자랑할	자랑/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것이기	것/NNB+이/VCP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.237.4.3
칠레는 지난 7월 코파 아메리카(남미축구선수권)에서 우승한 이후 지금까지 뜨거운 축구 열기에 휩싸여 있다.

칠레는	칠레/NNP+는/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
코파	코파/NNG
아메리카(남미축구선수권)에서	아메리카/NNP+(/SS+남미/NNP+축구/NNG+선수/NNG+권/XSN+)/SS+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
지금까지	지금/NNG+까지/JX
뜨거운	뜨겁/VA+ㄴ/ETM
축구	축구/NNG
열기에	열기/NNG+에/JKB
휩싸여	휩싸이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.237.4.4
2009년 대회 이후 6년 만에 8강 진출을 노리는 한국 대표팀은 이날 컨디션 조절과 함께 마무리 전술 훈련을 했다.

2009년	2009/SN+년/NNB
대회	대회/NNG
이후	이후/NNG
6년	6/SN+년/NNB
만에	만/NNB+에/JKB
8강	8/SN+강/NNB
진출을	진출/NNG+을/JKO
노리는	노리/VV+는/ETM
한국	한국/NNP
