# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.27
metadata : {}


# id : NWRW1800000022.27.1.1
검찰, '전철연' 의장 체포나서

검찰,	검찰/NNG+,/SP
'전철연'	'/SS+전철연/NNP+'/SS
의장	의장/NNG
체포나서	체포/NNG+나서/VV+어/EF


# id : NWRW1800000022.27.2.1
서울중앙지검은 23일 용산 철거민 시위를 배후에서 주도한 혐의를 받고 있는 남경남 전국철거민연합(전철연) 의장이 이번 사고로 숨진 철거민들의 합동분향소가 설치된 서울 한남동 순천향병원에 은신해 있는 사실을 확인하고 체포에 나섰다.

서울중앙지검은	서울중앙지검/NNP+은/JX
23일	23/SN+일/NNB
용산	용산/NNP
철거민	철거민/NNG
시위를	시위/NNG+를/JKO
배후에서	배후/NNG+에서/JKB
주도한	주도/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
남경남	남경남/NNP
전국철거민연합(전철연)	전국철거민연합/NNP+(/SS+전철연/NNP+)/SS
의장이	의장/NNG+이/JKS
이번	이번/NNG
사고로	사고/NNG+로/JKB
숨진	숨지/VV+ㄴ/ETM
철거민들의	철거민/NNG+들/XSN+의/JKG
합동분향소가	합동/NNG+분향소/NNG+가/JKS
설치된	설치/NNG+되/XSV+ㄴ/ETM
서울	서울/NNP
한남동	한남동/NNP
순천향병원에	순천향병원/NNP+에/JKB
은신해	은신/NNG+하/XSV+아/EC
사실을	사실/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
체포에	체포/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.27.2.2
▶관련기사 A4면

▶관련기사	▶/SW+관련/NNG+기사/NNG
A4면	A/SL+4/SN+면/NNG


# id : NWRW1800000022.27.3.1
검찰은 남씨가 철거민들의 건물 점거농성에 대한 모의에서 실행까지 전 과정을 주도한 사실을 확인했다.

검찰은	검찰/NNG+은/JX
남씨가	남/NNP+씨/NNB+가/JKS
철거민들의	철거민/NNG+들/XSN+의/JKG
건물	건물/NNG
점거농성에	점거/NNG+농성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모의에서	모의/NNG+에서/JKB
실행까지	실행/NNG+까지/JX
전	전/MMN
과정을	과정/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.27.3.2
검찰은 남씨가 이끄는 전철연이 이번 시위를 위해 화염병 400개, 염산병 50개, 골프공 1만개, 쇠파이프 등의 시위 도구를 미리 준비, 지난 20일 경찰 진압에 맞서 무차별적으로 폭력을 행사했다고 밝혔다.

검찰은	검찰/NNG+은/JX
남씨가	남/NNP+씨/NNB+가/JKS
이끄는	이끌/VV+는/ETM
전철연이	전철연/NNP+이/JKS
이번	이번/NNG
시위를	시위/NNG+를/JKO
위해	위하/VV+아/EC
화염병	화염병/NNG
400개,	400/SN+개/NNB+,/SP
염산병	염산/NNG+병/NNG
50개,	50/SN+개/NNB+,/SP
골프공	골프공/NNG
1만개,	1/SN+만/NR+개/NNB+,/SP
쇠파이프	쇠/NNG+파이프/NNG
등의	등/NNB+의/JKG
시위	시위/NNG
도구를	도구/NNG+를/JKO
미리	미리/MAG
준비,	준비/NNG+,/SP
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
경찰	경찰/NNG
진압에	진압/NNG+에/JKB
맞서	맞서/VV+어/EC
무차별적으로	무/XPN+차별/NNG+적/XSN+으로/JKB
폭력을	폭력/NNG+을/JKO
행사했다고	행사/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.27.4.1
검찰은 이날 이번 시위농성의 준비 장소로 밝혀진 인천 도화동 철거대책위원회 사무실 등에 대해 압수수색을 실시했다.

검찰은	검찰/NNG+은/JX
이날	이날/NNG
이번	이번/NNG
시위농성의	시위/NNG+농성/NNG+의/JKG
준비	준비/NNG
장소로	장소/NNG+로/JKB
밝혀진	밝히/VV+어/EC+지/VX+ㄴ/ETM
인천	인천/NNP
도화동	도화동/NNP
철거대책위원회	철거/NNG+대책/NNG+위원회/NNG
사무실	사무실/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
압수수색을	압수/NNG+수색/NNG+을/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.27.5.1
검찰은 경찰의 '과잉진압' 의혹과 관련, 이날 서울경찰청 이송범 경비부장과 이성규 정보관리부장을 소환 조사한 데 이어, 진압작전의 현장 총책임자였던 김수정 서울경찰청 차장도 금명간 소환 조사할 계획이다.

검찰은	검찰/NNG+은/JX
경찰의	경찰/NNG+의/JKG
'과잉진압'	'/SS+과잉/NNG+진압/NNG+'/SS
의혹과	의혹/NNG+과/JKB
관련,	관련/NNG+,/SP
이날	이날/NNG
서울경찰청	서울경찰청/NNP
이송범	이송범/NNP
경비부장과	경비부장/NNG+과/JC
이성규	이성규/NNP
정보관리부장을	정보/NNG+관리부장/NNG+을/JKO
소환	소환/NNG
조사한	조사/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
진압작전의	진압/NNG+작전/NNG+의/JKG
현장	현장/NNG
총책임자였던	총책임자/NNG+이/VCP+었/EP+던/ETM
김수정	김수정/NNP
차장도	차장/NNG+도/JX
금명간	금명/NNG+간/XSN
조사할	조사/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.27.6.1
한편, 전국철거민연합 등이 참여한 '이명박 정권 용산철거민 살인진압 범국민대책위원회'는 23일 오후 7시 서울역 광장에서 2100여 명(주최측 추산 2500명, 경찰 추산 1700명)이 모인 가운데 경찰의 '강경진압'을 규탄하며 밤 늦게까지 서울역에서 신촌까지 도로를 무단 점거하고 시위를 벌였다.

한편,	한편/MAG+,/SP
전국철거민연합	전국철거민연합/NNP
등이	등/NNB+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
'이명박	'/SS+이명박/NNP
정권	정권/NNG
용산철거민	용산/NNP+철거민/NNG
살인진압	살인/NNG+진압/NNG
범국민대책위원회'는	범/XPN+국민/NNG+대책/NNG+위원회/NNG+'/SS+는/JX
23일	23/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
서울역	서울역/NNP
광장에서	광장/NNG+에서/JKB
2100여	2100/SN+여/XSN
명(주최측	명/NNB+(/SS+주최/NNG+측/NNB
추산	추산/NNG
2500명,	2500/SN+명/NNB+,/SP
경찰	경찰/NNG
1700명)이	1700/SN+명/NNB+)/SS+이/JKS
모인	모이/VV+ㄴ/ETM
