# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.43
metadata : {}


# id : NWRW1800000022.43.1.1
경제위기에… 푸틴만을 위한 '짝퉁 아바' 콘서트;호주의 모방 그룹 4000만원에 초청

경제위기에…	경제/NNG+위기/NNG+에/JKB+…/SE
푸틴만을	푸틴/NNP+만/JX+을/JKO
위한	위하/VV+ㄴ/ETM
'짝퉁	'/SS+짝퉁/NNG
아바'	아바/NNP+'/SS
콘서트;호주의	콘서트/NNG+;/SW+호주/NNP+의/JKG
모방	모방/NNG
그룹	그룹/NNG
4000만원에	4000/SN+만/NR+원/NNB+에/JKB
초청	초청/NNG


# id : NWRW1800000022.43.2.1
러시아의 '2인자'를 위해 노래를 불러달라.

러시아의	러시아/NNP+의/JKG
'2인자'를	'/SS+2인자/NNG+'/SS+를/JKO
위해	위하/VV+아/EC
노래를	노래/NNG+를/JKO
불러달라.	부르/VV+어/EC+달/VX+라/EF+./SF


# id : NWRW1800000022.43.3.1
호주 팝그룹 '비욘 어게인'<사진>의 멤버 로드 스티븐(Stephen)은 지난달 전화 한통을 받고 한동안 얼떨떨했다.

호주	호주/NNP
팝그룹	팝/NNG+그룹/NNG
'비욘	'/SS+비욘/NNP
어게인'<사진>의	어게인/NNP+'/SS+</SS+사진/NNG+>/SS+의/JKG
멤버	멤버/NNG
로드	로드/NNP
스티븐(Stephen)은	스티븐/NNP+(/SS+Stephen/SL+)/SS+은/JX
지난달	지난달/NNG
전화	전화/NNG
한통을	한/MMN+통/NNB+을/JKO
받고	받/VV+고/EC
한동안	한/XPN+동안/NNG
얼떨떨했다.	얼떨떨하/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.43.3.2
자신을 "크렘린(러시아 대통령궁) 관계자"라고 밝힌 남자는 "2인자를 위한 콘서트를 열고 싶다"고 했다.

자신을	자신/NNG+을/JKO
"크렘린(러시아	"/SS+크렘린/NNP+(/SS+러시아/NNP
대통령궁)	대통령/NNG+궁/NNG+)/SS
관계자"라고	관계자/NNG+"/SS+라고/JKQ
밝힌	밝히/VV+ㄴ/ETM
남자는	남자/NNG+는/JX
"2인자를	"/SS+2인자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
콘서트를	콘서트/NNG+를/JKO
열고	열/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.43.3.3
그들이 제시한 금액은 2만파운드(약 4000만원).

그들이	그/NP+들/XSN+이/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
금액은	금액/NNG+은/JX
2만파운드(약	2/SN+만/NR+파운드/NNB+(/SS+약/MMA
4000만원).	4000/SN+만/NR+원/NNB+)/SS+./SF


# id : NWRW1800000022.43.3.4
하지만 콘서트 청중이 누군지는 말해주지 않았다.

하지만	하지만/MAJ
콘서트	콘서트/NNG
청중이	청중/NNG+이/JKS
누군지는	누구/NP+이/VCP+ㄴ지/EF+는/JX
말해주지	말/NNG+하/XSV+아/EC+주/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.43.3.5
비욘 어게인은 스웨덴 출신의 세계적인 그룹 '아바(ABBA)'의 트리뷰트 그룹(특정 가수의 음악과 의상 등 외적인 부분을 완벽히 재연하는 그룹)으로, 1988년부터 전 세계 50개국에서 공연해 왔다.

비욘	비욘/NNP
어게인은	어게인/NNP+은/JX
스웨덴	스웨덴/NNP
출신의	출신/NNG+의/JKG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
그룹	그룹/NNG
'아바(ABBA)'의	'/SS+아바/NNP+(/SS+ABBA/SL+)/SS+'/SS+의/JKG
트리뷰트	트리뷰트/NNG
그룹(특정	그룹/NNG+(/SS+특정/NNG
가수의	가수/NNG+의/JKG
음악과	음악/NNG+과/JC
의상	의상/NNG
등	등/NNB
외적인	외/NNG+적/XSN+이/VCP+ㄴ/ETM
부분을	부분/NNG+을/JKO
완벽히	완벽히/MAG
재연하는	재연/NNG+하/XSV+는/ETM
그룹)으로,	그룹/NNG+)/SS+으로/JKB+,/SP
1988년부터	1988/SN+년/NNB+부터/JX
전	전/MMN
세계	세계/NNG
50개국에서	50/SN+개국/NNB+에서/JKB
공연해	공연/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.43.4.1
그들은 지난달 21일 모스크바에서 약 320㎞ 떨어진 어느 군(軍) 막사로 인도됐다.

그들은	그/NP+들/XSN+은/JX
지난달	지난달/NNG
21일	21/SN+일/NNB
모스크바에서	모스크바/NNP+에서/JKB
약	약/MMA
320㎞	320/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
어느	어느/MMD
군(軍)	군/NNG+(/SS+軍/SH+)/SS
막사로	막사/NNG+로/JKB
인도됐다.	인도/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.43.4.2
공연할 근처 극장은 규모는 작았지만 무대와 악기는 모두 새것으로 완벽했다.

공연할	공연/NNG+하/XSV+ㄹ/ETM
근처	근처/NNG
극장은	극장/NNG+은/JX
규모는	규모/NNG+는/JX
작았지만	작/VA+았/EP+지만/EC
무대와	무대/NNG+와/JC
악기는	악기/NNG+는/JX
모두	모두/MAG
새것으로	새것/NNG+으로/JKB
완벽했다.	완벽/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.43.4.3
경비는 삼엄했다.

경비는	경비/NNG+는/JX
삼엄했다.	삼엄하/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.43.4.4
요원들이 "극장 밖에 저격수가 포진해 있다"고 경고해 함부로 돌아다닐 수도 없었다.

요원들이	요원/NNG+들/XSN+이/JKS
"극장	"/SS+극장/NNG
밖에	밖/NNG+에/JKB
저격수가	저격수/NNG+가/JKS
포진해	포진/NNG+하/XSV+아/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
경고해	경고/NNG+하/XSV+아/EC
함부로	함부로/MAG
돌아다닐	돌아다니/VV+ㄹ/ETM
수도	수/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.43.5.1
이튿날 콘서트가 시작되자 무대 아래 청중의 얼굴이 어렴풋이 보였다.

이튿날	이튿날/NNG
콘서트가	콘서트/NNG+가/JKS
시작되자	시작/NNG+되/XSV+자/EC
무대	무대/NNG
아래	아래/NNG
청중의	청중/NNG+의/JKG
얼굴이	얼굴/NNG+이/JKS
어렴풋이	어렴풋이/MAG
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.43.5.2
블라디미르 푸틴(Putin) 러시아 총리였다.

블라디미르	블라디미르/NNP
푸틴(Putin)	푸틴/NNP+(/SS+Putin/SL+)/SS
러시아	러시아/NNP
총리였다.	총리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.43.5.3
레이스 커튼 뒤 소파에 앉은 그는 나비 넥타이를 맨 깔끔한 모습이었다.

레이스	레이스/NNG
커튼	커튼/NNG
뒤	뒤/NNG
소파에	소파/NNG+에/JKB
앉은	앉/VV+은/ETM
그는	그/NP+는/JX
나비	나비/NNG
넥타이를	넥타이/NNG+를/JKO
맨	매/VV+ㄴ/ETM
깔끔한	깔끔/NNG+하/XSA+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.43.5.4
비욘 어게인 멤버인 아일린 맥러플린(McLaughlin)은 "푸틴 총리 바로 옆엔 크림색 드레스를 입은 아름다운 여성이 앉아있었고, 정장 차림의 6명이 더 있었다"고 말했다.

비욘	비욘/NNP
어게인	어게인/NNP
멤버인	멤버/NNG+이/VCP+ㄴ/ETM
아일린	아일린/NNP
맥러플린(McLaughlin)은	맥러플린/NNP+(/SS+McLaughlin/SL+)/SS+은/JX
"푸틴	"/SS+푸틴/NNP
총리	총리/NNG
바로	바로/MAG
옆엔	옆/NNG+에/JKB+ㄴ/JX
크림색	크림색/NNG
드레스를	드레스/NNG+를/JKO
입은	입/VV+은/ETM
아름다운	아름답/VA+ㄴ/ETM
여성이	여성/NNG+이/JKS
앉아있었고,	앉/VV+아/EC+있/VX+었/EP+고/EC+,/SP
정장	정장/NNG
차림의	차림/NNG+의/JKG
6명이	6/SN+명/NNB+이/JKS
더	더/MAG
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.43.6.1
공연이 시작되자 푸틴 총리는 연신 "브라보"를 연발하며 즐거워했다.

공연이	공연/NNG+이/JKS
시작되자	시작/NNG+되/XSV+자/EC
푸틴	푸틴/NNP
총리는	총리/NNG+는/JX
연신	연신/MAG
"브라보"를	"/SS+브라보/IC+"/SS+를/JKO
