# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.31
metadata : {}


# id : NWRW1800000033.31.1.1
“LED 신제품 1개에 인증테스트 27개”

“LED	“/SS+LED/SL
신제품	신/XPN+제품/NNG
1개에	1/SN+개/NNB+에/JKB
인증테스트	인증/NNG+테스트/NNG
27개”	27/SN+개/NNB+”/SS


# id : NWRW1800000033.31.2.1
기업 발목잡는 인증제 통폐합

기업	기업/NNG
발목잡는	발목/NNG+잡/VV+는/ETM
인증제	인증/NNG+제/XSN
통폐합	통폐합/NNG


# id : NWRW1800000033.31.3.1
발광다이오드(LED) 램프를 만드는 중소기업 A사는 신제품을 내놓으면서 지식경제부의 ‘KS’와 ‘KC’ 인증을 받기 위해 각각 17개, 10개의 테스트를 통과해야 했다.

발광다이오드(LED)	발광/NNG+다이오드/NNG+(/SS+LED/SL+)/SS
램프를	램프/NNG+를/JKO
만드는	만들/VV+는/ETM
중소기업	중소기업/NNG
A사는	A/SL+사/NNG+는/JX
신제품을	신/XPN+제품/NNG+을/JKO
내놓으면서	내놓/VV+으면서/EC
지식경제부의	지식/NNG+경제부/NNG+의/JKG
‘KS’와	‘/SS+KS/SL+’/SS+와/JC
‘KC’	‘/SS+KC/SL+’/SS
인증을	인증/NNG+을/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
각각	각각/MAG
17개,	17/SN+개/NNB+,/SP
10개의	10/SN+개/NNB+의/JKG
테스트를	테스트/NNG+를/JKO
통과해야	통과/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.31.3.2
LED 램프의 경우 KC는 반드시 받아야 하는 것이며, KS는 임의인증이지만 소비자들의 신뢰성을 얻고 정부 조달시장 혜택도 있기 때문에 대부분의 기업이 딴다.

LED	LED/SL
램프의	램프/NNG+의/JKG
경우	경우/NNG
KC는	KC/SL+는/JX
반드시	반드시/MAG
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
KS는	KS/SL+는/JX
임의인증이지만	임의/NNG+인증/NNG+이/VCP+지만/EC
소비자들의	소비자/NNG+들/XSN+의/JKG
신뢰성을	신뢰/NNG+성/XSN+을/JKO
얻고	얻/VV+고/EC
정부	정부/NNG
조달시장	조달/NNG+시장/NNG
혜택도	혜택/NNG+도/JX
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
대부분의	대/XPN+부분/NNG+의/JKG
기업이	기업/NNG+이/JKS
딴다.	따/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.31.4.1
이 회사 관계자는 “수많은 테스트 가운데 내열성, 내화성, 강도, 전기적합성, 자기적합성 등은 KS나 KC의 시험방식이 똑같은데도 인증 종류가 다르다는 이유로 두 번씩 받아야 했다”고 말했다.

이	이/MMD
회사	회사/NNG
관계자는	관계자/NNG+는/JX
“수많은	“/SS+수많/VA+은/ETM
테스트	테스트/NNG
가운데	가운데/NNG
내열성,	내열/NNG+성/XSN+,/SP
내화성,	내화/NNG+성/XSN+,/SP
강도,	강도/NNG+,/SP
전기적합성,	전기/NNG+적합/NNG+성/XSN+,/SP
자기적합성	자기/NNG+적합/NNG+성/XSN
등은	등/NNB+은/JX
KS나	KS/SL+나/JC
KC의	KC/SL+의/JKG
시험방식이	시험/NNG+방식/NNG+이/JKS
똑같은데도	똑같/VA+은데/EC+도/JX
인증	인증/NNG
종류가	종류/NNG+가/JKS
