# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.37
metadata : {}


# id : NWRW1800000028.37.1.1
‘바지사장’ 내세우고 ‘천원숍’으로 위장 /법망 피하는 ‘변종 기업형슈퍼’ 논란

‘바지사장’	‘/SS+바지/NNG+사장/NNG+’/SS
내세우고	내세우/VV+고/EC
‘천원숍’으로	‘/SS+천원숍/NNG+’/SS+으로/JKB
위장	위장/NNG
/법망	//SP+법망/NNG
피하는	피하/VV+는/ETM
‘변종	‘/SS+변종/NNG
기업형슈퍼’	기업/NNG+형/XSN+슈퍼/NNG+’/SS
논란	논란/NNG


# id : NWRW1800000028.37.2.1
중소상인들이 사업조정제도를 활용해 기업형슈퍼(SSM)의 무차별 출점에 제동을 걸었으나, 유통 대기업들이 기업형슈퍼를 가맹점으로 전환한다든지 ‘균일가숍 슈퍼’ ‘슈퍼형 편의점’ 같은 새로운 업태 출점으로 대응해 ‘위장·편법 출점’ 논란이 일고 있다.

중소상인들이	중소/NNG+상인/NNG+들/XSN+이/JKS
사업조정제도를	사업/NNG+조정/NNG+제도/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
기업형슈퍼(SSM)의	기업/NNG+형/XSN+슈퍼/NNG+(/SS+SSM/SL+)/SS+의/JKG
무차별	무/XPN+차별/NNG
출점에	출점/NNG+에/JKB
제동을	제동/NNG+을/JKO
걸었으나,	걸/VV+었/EP+으나/EC+,/SP
유통	유통/NNG
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
기업형슈퍼를	기업/NNG+형/XSN+슈퍼/NNG+를/JKO
가맹점으로	가맹점/NNG+으로/JKB
전환한다든지	전환/NNG+하/XSV+ㄴ다든지/EC
‘균일가숍	‘/SS+균일/NNG+가/XSN+숍/NNG
슈퍼’	슈퍼/NNG+’/SS
‘슈퍼형	‘/SS+슈퍼/NNG+형/XSN
편의점’	편의점/NNG+’/SS
같은	같/VA+은/ETM
새로운	새롭/VA+ㄴ/ETM
업태	업태/NNG
출점으로	출점/NNG+으로/JKB
대응해	대응/NNG+하/XSV+아/EC
‘위장·편법	‘/SS+위장/NNG+·/SP+편법/NNG
