# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.354
metadata : {}


# id : NWRW1800000038.354.1.1
정부, 개성공단 인질사태 대비 '비밀 계획' 논의

정부,	정부/NNG+,/SP
개성공단	개성공단/NNP
인질사태	인질/NNG+사태/NNG
대비	대비/NNG
'비밀	'/SS+비밀/NNG
계획'	계획/NNG+'/SS
논의	논의/NNG


# id : NWRW1800000038.354.2.1
첫 외교·안보 장관 회의서 北의 공단 폐쇄 위협따라 근로자 800명 안전 집중 논의

첫	첫/MMN
외교·안보	외교/NNG+·/SP+안보/NNG
장관	장관/NNG
회의서	회의/NNG+서/JKB
北의	北/SH+의/JKG
공단	공단/NNG
폐쇄	폐쇄/NNG
위협따라	위협/NNG+따르/VV+아/EC
근로자	근로자/NNG
800명	800/SN+명/NNB
안전	안전/NNG
집중	집중/NNG
논의	논의/NNG


# id : NWRW1800000038.354.3.1
박근혜 대통령이 2일 취임 후 처음 주재한 외교·안보 장관 회의에서 개성공단에서 대규모 인질사태가 발생할 경우의 대응 방안이 집중 논의됐다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
2일	2/SN+일/NNB
취임	취임/NNG
후	후/NNG
처음	처음/NNG
주재한	주재/NNG+하/XSV+ㄴ/ETM
외교·안보	외교/NNG+·/SP+안보/NNG
장관	장관/NNG
회의에서	회의/NNG+에서/JKB
개성공단에서	개성공단/NNP+에서/JKB
대규모	대/XPN+규모/NNG
인질사태가	인질/NNG+사태/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
경우의	경우/NNG+의/JKG
대응	대응/NNG
방안이	방안/NNG+이/JKS
집중	집중/NNG
논의됐다.	논의/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.354.4.1
정부 핵심 관계자는 전화 통화에서 "(회의 참석자들은) 개성공단 차단 사태를 북의 어떤 위협보다 엄중하게 받아들여야 하며, 국민의 안위가 걸렸다는 데 공감했다"며 "2008년과 2009년의 (공단) 통행 차단 사례와 비교하며 만일의 상황에 대비하는 논의가 있었다"고 말했다.

정부	정부/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
전화	전화/NNG
통화에서	통화/NNG+에서/JKB
"(회의	"/SS+(/SS+회의/NNG
참석자들은)	참석자/NNG+들/XSN+은/JX+)/SS
개성공단	개성공단/NNP
차단	차단/NNG
사태를	사태/NNG+를/JKO
북의	북/NNP+의/JKG
어떤	어떤/MMD
위협보다	위협/NNG+보다/JKB
엄중하게	엄중/NNG+하/XSA+게/EC
받아들여야	받아들이/VV+어야/EC
하며,	하/VX+며/EC+,/SP
국민의	국민/NNG+의/JKG
안위가	안위/NNG+가/JKS
걸렸다는	걸리/VV+었/EP+다는/ETM
데	데/NNB
공감했다"며	공감/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"2008년과	"/SS+2008/SN+년/NNB+과/JC
2009년의	2009/SN+년/NNB+의/JKG
(공단)	(/SS+공단/NNG+)/SS
통행	통행/NNG
사례와	사례/NNG+와/JKB
비교하며	비교/NNG+하/XSV+며/EC
만일의	만일/NNG+의/JKG
상황에	상황/NNG+에/JKB
대비하는	대비/NNG+하/XSV+는/ETM
논의가	논의/NNG+가/JKS
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.354.5.1
북한은 지난달 30일 "개성공업지구의 운명이 경각에 달했다"며 공단 폐쇄를 위협했다.

북한은	북한/NNP+은/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
"개성공업지구의	"/SS+개성공업지구/NNP+의/JKG
운명이	운명/NNG+이/JKS
경각에	경각/NNG+에/JKB
달했다"며	달하/VV+았/EP+다/EF+"/SS+며/EC
공단	공단/NNG
폐쇄를	폐쇄/NNG+를/JKO
위협했다.	위협/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.354.5.2
개성공단에 체류하는 우리 기업 관계자는 800명 정도다.

개성공단에	개성공단/NNP+에/JKB
체류하는	체류/NNG+하/XSV+는/ETM
우리	우리/NP
기업	기업/NNG
관계자는	관계자/NNG+는/JX
800명	800/SN+명/NNB
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.354.5.3
북이 공단을 전격 폐쇄할 경우 이들은 꼼짝없이 북의 인질이 된다.

북이	북/NNP+이/JKS
공단을	공단/NNG+을/JKO
전격	전격/NNG
폐쇄할	폐쇄/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
이들은	이/NP+들/XSN+은/JX
꼼짝없이	꼼짝없이/MAG
북의	북/NNP+의/JKG
인질이	인질/NNG+이/JKS
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.354.6.1
회의 참석자들에 따르면 북한에 김정은 노동당 제1비서 체제가 들어섰기 때문에 예전 사례와 차이가 있을 수 있다는 점을 감안해 여러 가지 상황을 진지하게 검토했다고 한다.

회의	회의/NNG
참석자들에	참석자/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
북한에	북한/NNP+에/JKB
김정은	김정은/NNP
노동당	노동당/NNP
제1비서	제/XPN+1/SN+비서/NNG
체제가	체제/NNG+가/JKS
들어섰기	들어서/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
예전	예전/NNG
사례와	사례/NNG+와/JKB
차이가	차이/NNG+가/JKS
있을	있/VA+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
여러	여러/MMN
가지	가지/NNB
상황을	상황/NNG+을/JKO
진지하게	진지하/VA+게/EC
검토했다고	검토/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.354.7.1
