# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.300
metadata : {}


# id : NWRW1800000022.300.1.1
[수도권] 낙서·먼지 털고… 파스텔톤 새 옷 입은 달동네;서대문구 벽화그리기에 5개 대학서 선뜻 참여

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
낙서·먼지	낙서/NNG+·/SP+먼지/NNG
털고…	털/VV+고/EC+…/SE
파스텔톤	파스텔톤/NNG
새	새/MMA
옷	옷/NNG
입은	입/VV+은/ETM
달동네;서대문구	달동네/NNG+;/SP+서대문구/NNP
벽화그리기에	벽화/NNG+그리/VV+기/ETN+에/JKB
5개	5/SN+개/NNB
대학서	대학/NNG+서/JKB
선뜻	선뜻/MAG
참여	참여/NNG


# id : NWRW1800000022.300.2.1
30일 오후 서울 서대문구 홍제동 개미마을.

30일	30/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
서대문구	서대문구/NNP
홍제동	홍제동/NNP
개미마을.	개미마을/NNP+./SF


# id : NWRW1800000022.300.2.2
인왕산 등반로 입구에 자리한 이 마을 골목에 대학생 130여명이 300m 정도 길게 늘어섰다.

인왕산	인왕산/NNP
등반로	등반로/NNG
입구에	입구/NNG+에/JKB
자리한	자리/NNG+하/XSV+ㄴ/ETM
이	이/MMD
마을	마을/NNG
골목에	골목/NNG+에/JKB
대학생	대학/NNG+생/XSN
130여명이	130/SN+여/XSN+명/NNB+이/JKS
300m	300/SN+m/SW
정도	정도/NNG
길게	길/VA+게/EC
늘어섰다.	늘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.300.2.3
모두 미술을 전공하는 이들은 손에 붓을 쥐고 파란색, 빨간색, 하늘색 페인트를 묻혀 담벼락에 그림을 그려 내려갔다.

모두	모두/MAG
미술을	미술/NNG+을/JKO
전공하는	전공/NNG+하/XSV+는/ETM
이들은	이/NP+들/XSN+은/JX
손에	손/NNG+에/JKB
붓을	붓/NNG+을/JKO
쥐고	쥐/VV+고/EC
파란색,	파란색/NNG+,/SP
빨간색,	빨간색/NNG+,/SP
하늘색	하늘색/NNG
페인트를	페인트/NNG+를/JKO
묻혀	묻히/VV+어/EC
담벼락에	담벼락/NNG+에/JKB
그림을	그림/NNG+을/JKO
그려	그리/VV+어/EC
내려갔다.	내려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.300.3.1
추계예술대 미술대학에 재학 중인 정수진(22)씨는 장갑을 낀 손으로 담벼락에 지름 50㎝ 정도 되는 하늘색 원을 그렸다.

추계예술대	추계예술대/NNP
미술대학에	미술/NNG+대학/NNG+에/JKB
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
정수진(22)씨는	정수진/NNP+(/SS+22/SN+)/SS+씨/NNB+는/JX
장갑을	장갑/NNG+을/JKO
낀	끼/VV+ㄴ/ETM
손으로	손/NNG+으로/JKB
담벼락에	담벼락/NNG+에/JKB
지름	지름/NNG
50㎝	50/SN+㎝/SW
정도	정도/NNG
되는	되/VV+는/ETM
하늘색	하늘색/NNG
원을	원/NNG+을/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.300.3.2
정씨가 입은 주황색 티셔츠와 빨간색 추리닝 바지에 하얀색과 하늘색 페인트들이 여기저기 튀었다.

정씨가	정/NNP+씨/NNB+가/JKS
입은	입/VV+은/ETM
주황색	주황색/NNG
티셔츠와	티셔츠/NNG+와/JC
빨간색	빨간색/NNG
추리닝	추리닝/NNG
바지에	바지/NNG+에/JKB
하얀색과	하얀색/NNG+과/JC
하늘색	하늘색/NNG
페인트들이	페인트/NNG+들/XSN+이/JKS
여기저기	여기저기/NNG
튀었다.	튀/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.300.3.3
정씨는 "인왕산을 찾는 등산객과 수많은 주민이 내가 그린 그림을 본다고 생각하니 설렌다"고 말했다.

정씨는	정/NNP+씨/NNB+는/JX
"인왕산을	"/SS+인왕산/NNP+을/JKO
찾는	찾/VV+는/ETM
등산객과	등산객/NNG+과/JC
수많은	수많/VA+은/ETM
주민이	주민/NNG+이/JKS
내가	내/NP+가/JKS
그린	그리/VV+ㄴ/ETM
그림을	그림/NNG+을/JKO
본다고	보/VV+ㄴ다고/EC
생각하니	생각/NNG+하/XSV+니/EF
설렌다"고	설레/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.300.4.1
학생들이 벽화를 그린 개미마을은 서울의 대표적인 달동네 가운데 하나로, 6·25 전쟁 이후 갈 곳이 마땅치 않은 가난한 사람들이 임시 거처로 천막을 두르면서 생겨났다.

학생들이	학생/NNG+들/XSN+이/JKS
벽화를	벽화/NNG+를/JKO
그린	그리/VV+ㄴ/ETM
개미마을은	개미마을/NNP+은/JX
서울의	서울/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
달동네	달동네/NNG
가운데	가운데/NNG
하나로,	하나/NR+로/JKB+,/SP
6·25	6/SN+·/SP+25/SN
전쟁	전쟁/NNG
이후	이후/NNG
갈	가/VV+ㄹ/ETM
곳이	곳/NNG+이/JKS
마땅치	마땅하/VA+지/EC
않은	않/VX+은/ETM
가난한	가난/NNG+하/XSA+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
임시	임시/NNG
거처로	거처/NNG+로/JKB
천막을	천막/NNG+을/JKO
두르면서	두르/VV+면서/EC
생겨났다.	생겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.300.4.2
한때 하나둘씩 생기는 천막이 서부영화의 인디언 거처같이 보인다고 '인디언 촌'이라고도 불렸으나, 지난 1983년 주민들이 열심히 생활하는 모습이 개미를 연상시킨다고 해서 '개미마을'이란 정식 이름이 생겼다.

한때	한때/MAG
하나둘씩	하나둘/NR+씩/XSN
생기는	생기/VV+는/ETM
천막이	천막/NNG+이/JKS
서부영화의	서부/NNG+영화/NNG+의/JKG
인디언	인디언/NNG
거처같이	거처/NNG+같이/JKB
보인다고	보이/VV+ㄴ다고/EC
'인디언	'/SS+인디언/NNG
촌'이라고도	촌/NNG+'/SS+이라고/JKQ+도/JX
불렸으나,	불리/VV+었/EP+으나/EC+,/SP
지난	지나/VV+ㄴ/ETM
1983년	1983/SN+년/NNB
주민들이	주민/NNG+들/XSN+이/JKS
열심히	열심히/MAG
생활하는	생활/NNG+하/XSV+는/ETM
모습이	모습/NNG+이/JKS
개미를	개미/NNG+를/JKO
