# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.232
metadata : {}


# id : NWRW1800000024.232.1.1
“정규직 전환 기대에 궂은일 마다지 않았는데…”

“정규직	“/SS+정규직/NNG
전환	전환/NNG
기대에	기대/NNG+에/JKB
궂은일	궂은일/NNG
마다지	마다하/VV+지/EC
않았는데…”	않/VX+았/EP+는데/EC+…/SE+”/SS


# id : NWRW1800000024.232.2.1
정치권이 비정규직법 유예기간 등을 두고 다투는 사이, 당사자인 비정규직 노동자들은 “유예기간이 문제가 아니라 핵심 문제인 ‘사용사유’를 제한하는 새로운 비정규직법을 만들어야 한다”고 주장했다.

정치권이	정치/NNG+권/XSN+이/JKS
비정규직법	비/XPN+정규직/NNG+법/NNG
유예기간	유예/NNG+기간/NNG
등을	등/NNB+을/JKO
두고	두/VV+고/EC
다투는	다투/VV+는/ETM
사이,	사이/NNG+,/SP
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
비정규직	비/XPN+정규직/NNG
노동자들은	노동자/NNG+들/XSN+은/JX
“유예기간이	“/SS+유예/NNG+기간/NNG+이/JKS
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
핵심	핵심/NNG
문제인	문제/NNG+이/VCP+ㄴ/ETM
‘사용사유’를	‘/SS+사용/NNG+사유/NNG+’/SS+를/JKO
제한하는	제한/NNG+하/XSV+는/ETM
새로운	새롭/VA+ㄴ/ETM
비정규직법을	비/XPN+정규직/NNG+법/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.232.3.1
비정규직법 시행 첫날인 1일, 서울 영등포구 민주노총 회의실에서는 전국비정규노조연대회의에 소속된 한국방송(KBS) 계약직 노동자, 서울대병원 기간제 노동자 등이 참석해 ‘기간제 비정규직 당사자’ 기자회견을 열었다.

비정규직법	비/XPN+정규직/NNG+법/NNG
시행	시행/NNG
첫날인	첫날/NNG+이/VCP+ㄴ/ETM
1일,	1/SN+일/NNB+,/SP
서울	서울/NNP
영등포구	영등포구/NNP
민주노총	민주노총/NNP
회의실에서는	회의실/NNG+에서/JKB+는/JX
전국비정규노조연대회의에	전국비정규노조연대회의/NNP+에/JKB
소속된	소속/NNG+되/XSV+ㄴ/ETM
한국방송(KBS)	한국방송/NNP+(/SS+KBS/SL+)/SS
계약직	계약직/NNG
노동자,	노동자/NNG+,/SP
서울대병원	서울대병원/NNP
기간제	기간/NNG+제/XSN
노동자	노동자/NNG
등이	등/NNB+이/JKS
참석해	참석/NNG+하/XSV+아/EC
‘기간제	‘/SS+기간/NNG+제/XSN
비정규직	비/XPN+정규직/NNG
당사자’	당사자/NNG+’/SS
기자회견을	기자/NNG+회견/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.232.3.2
이들은 “정부 여당은 ‘비정규직 보호’라는 위선적 행동을 중단하고, 비정규직의 정규직화에 즉각 나서라”며 국회에서 벌어지는 비정규직법 유예 논쟁을 강하게 비판했다.

이들은	이/NP+들/XSN+은/JX
“정부	“/SS+정부/NNG
여당은	여당/NNG+은/JX
‘비정규직	‘/SS+비/XPN+정규직/NNG
보호’라는	보호/NNG+’/SS+이/VCP+라는/ETM
위선적	위선/NNG+적/XSN
행동을	행동/NNG+을/JKO
중단하고,	중단/NNG+하/XSV+고/EC+,/SP
비정규직의	비/XPN+정규직/NNG+의/JKG
정규직화에	정규직/NNG+화/XSN+에/JKB
즉각	즉각/MAG
나서라”며	나서/VV+라/EF+”/SS+며/EC
국회에서	국회/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
비정규직법	비/XPN+정규직/NNG+법/NNG
유예	유예/NNG
논쟁을	논쟁/NNG+을/JKO
강하게	강하/VA+게/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.232.4.1
지난 5월 서울시립보라매병원(서울대병원 운영)에서 해고된 김성미(27)씨는 “계약 당시 고용보장 약속을 받았고, 정규직이 되려는 희망으로 몸바쳐 일했다”며 “비정규직의 정규직화가 10%도 되지 않는 세상에서 비정규직 노동자들이 무슨 꿈을 가질 수 있겠는가”라고 말했다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
서울시립보라매병원(서울대병원	서울/NNP+시립/NNG+보라매병원/NNP+(/SS+서울대병원/NNP
운영)에서	운영/NNG+)/SS+에서/JKB
해고된	해고/NNG+되/XSV+ㄴ/ETM
김성미(27)씨는	김성미/NNP+(/SS+27/SN+)/SS+씨/NNB+는/JX
“계약	“/SS+계약/NNG
당시	당시/NNG
고용보장	고용/NNG+보장/NNG
약속을	약속/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
정규직이	정규직/NNG+이/JKC
되려는	되/VV+려는/ETM
희망으로	희망/NNG+으로/JKB
몸바쳐	몸/NNG+바치/VV+어/EC
일했다”며	일/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“비정규직의	“/SS+비/XPN+정규직/NNG+의/JKG
정규직화가	정규직/NNG+화/XSN+가/JKS
10%도	10/SN+%/SW+도/JX
되지	되/VV+지/EC
않는	않/VX+는/ETM
세상에서	세상/NNG+에서/JKB
비정규직	비/XPN+정규직/NNG
노동자들이	노동자/NNG+들/XSN+이/JKS
무슨	무슨/MMD
꿈을	꿈/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있겠는가”라고	있/VA+겠/EP+는가/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.232.4.2
그는 “한나라당은 2년, 민주당은 6개월 유예안을 두고 시간을 끌 것이 아니라 비정규직 해고 금지법부터 만들어야 한다”고 주장했다.

그는	그/NP+는/JX
“한나라당은	“/SS+한나라당/NNP+은/JX
2년,	2/SN+년/NNB+,/SP
민주당은	민주당/NNP+은/JX
6개월	6/SN+개월/NNB
유예안을	유예/NNG+안/NNG+을/JKO
두고	두/VV+고/EC
시간을	시간/NNG+을/JKO
끌	끌/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
비정규직	비/XPN+정규직/NNG
해고	해고/NNG
금지법부터	금지법/NNG+부터/JX
만들어야	만들/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.232.5.1
김씨는 병원에서 2년간 의료기록부를 정리하는 ‘의무기록사’로 일했으며, 계약기간이 만료된 의료기사·간호조무사 등 다른 비정규직 7명과 함께 해고됐다.

김씨는	김/NNP+씨/NNB+는/JX
병원에서	병원/NNG+에서/JKB
2년간	2/SN+년/NNB+간/XSN
의료기록부를	의료/NNG+기록부/NNG+를/JKO
정리하는	정리/NNG+하/XSV+는/ETM
‘의무기록사’로	‘/SS+의무/NNG+기록사/NNG+’/SS+로/JKB
일했으며,	일/NNG+하/XSV+았/EP+으며/EC+,/SP
계약기간이	계약/NNG+기간/NNG+이/JKS
만료된	만료/NNG+되/XSV+ㄴ/ETM
의료기사·간호조무사	의료/NNG+기사/NNG+·/SP+간호조무사/NNG
등	등/NNB
다른	다른/MMD
비정규직	비/XPN+정규직/NNG
7명과	7/SN+명/NNB+과/JKB
함께	함께/MAG
해고됐다.	해고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.232.5.2
병원은 6개월, 3개월 단위는 물론, 심지어 1개월 단위로 계약을 이어왔다고 김씨는 전했다.

병원은	병원/NNG+은/JX
6개월,	6/SN+개월/NNB+,/SP
3개월	3/SN+개월/NNB
단위는	단위/NNG+는/JX
물론,	물론/MAG+,/SP
심지어	심지어/MAG
1개월	1/SN+개월/NNB
단위로	단위/NNG+로/JKB
계약을	계약/NNG+을/JKO
이어왔다고	잇/VV+어/EC+오/VX+았/EP+다고/EC
김씨는	김/NNP+씨/NNB+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.232.6.1
비정규직법 시행 하루 전인 6월30일, 인천의 중앙병원(한국산재의료원 산하)에서 느닷없이 해고 통보를 받았다는 김선호(29)씨는 “2006년 1월부터 정규직 전환을 꿈꾸며 궂은일도 마다하지 않았다”며 “숙련된 기술계약직들을 한번에 해고할 수 있느냐”고 말했다.

비정규직법	비/XPN+정규직/NNG+법/NNG
시행	시행/NNG
하루	하루/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
6월30일,	6/SN+월/NNB+30/SN+일/NNB+,/SP
인천의	인천/NNP+의/JKG
중앙병원(한국산재의료원	중앙병원/NNP+(/SS+한국산재의료원/NNP
산하)에서	산하/NNG+)/SS+에서/JKB
느닷없이	느닷없이/MAG
해고	해고/NNG
통보를	통보/NNG+를/JKO
받았다는	받/VV+았/EP+다는/ETM
김선호(29)씨는	김선호/NNP+(/SS+29/SN+)/SS+씨/NNB+는/JX
“2006년	“/SS+2006/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
정규직	정규직/NNG
전환을	전환/NNG+을/JKO
꿈꾸며	꿈꾸/VV+며/EC
궂은일도	궂은일/NNG+도/JX
마다하지	마다하/VV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“숙련된	“/SS+숙련/NNG+되/XSV+ㄴ/ETM
기술계약직들을	기술/NNG+계약직/NNG+들/XSN+을/JKO
한번에	한/MMN+번/NNB+에/JKB
해고할	해고/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있느냐”고	있/VA+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.232.6.2
그는 병원 기계실에서 3년 동안 일했으며, 전국 10여개 한국산재의료원 산하 병원에서 같은 처지에 있다 한꺼번에 해고된 노동자는 모두 28명에 이른다.

그는	그/NP+는/JX
병원	병원/NNG
기계실에서	기계실/NNG+에서/JKB
3년	3/SN+년/NNB
동안	동안/NNG
일했으며,	일/NNG+하/XSV+았/EP+으며/EC+,/SP
전국	전국/NNG
10여개	10/SN+여/XSN+개/NNB
한국산재의료원	한국산재의료원/NNP
산하	산하/NNG
병원에서	병원/NNG+에서/JKB
같은	같/VA+은/ETM
처지에	처지/NNG+에/JKB
있다	있/VA+다/EC
한꺼번에	한꺼번에/MAG
해고된	해고/NNG+되/XSV+ㄴ/ETM
노동자는	노동자/NNG+는/JX
모두	모두/MAG
28명에	28/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.232.7.1
한국방송에 1999년 입사해 10년간 시청자서비스팀에서 상담업무를 해왔다는 홍미라(35)씨는 “공공기관 등이 앞장서 대규모 정리해고에 나서면서 고용불안을 부추기고 있다”고 말했다.

한국방송에	한국방송/NNP+에/JKB
1999년	1999/SN+년/NNB
입사해	입사/NNG+하/XSV+아/EC
10년간	10/SN+년/NNB+간/XSN
시청자서비스팀에서	시청자/NNG+서비스/NNG+팀/NNG+에서/JKB
상담업무를	상담/NNG+업무/NNG+를/JKO
해왔다는	하/VV+아/EC+오/VX+았/EP+다는/ETM
홍미라(35)씨는	홍미라/NNP+(/SS+35/SN+)/SS+씨/NNB+는/JX
“공공기관	“/SS+공공/NNG+기관/NNG
등이	등/NNB+이/JKS
앞장서	앞장서/VV+어/EC
대규모	대/XPN+규모/NNG
정리해고에	정리/NNG+해고/NNG+에/JKB
나서면서	나서/VV+면서/EC
고용불안을	고용/NNG+불안/NNG+을/JKO
부추기고	부추기/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.232.8.1
이들은 “비정규직법 시행 유예로는 비정규직 해고를 막을 수 없다”며 기간제 노동자의 정규직화 비율을 높여야 한다고 촉구했다.

이들은	이/NP+들/XSN+은/JX
“비정규직법	“/SS+비/XPN+정규직/NNG+법/NNG
시행	시행/NNG
유예로는	유예/NNG+로/JKB+는/JX
비정규직	비/XPN+정규직/NNG
해고를	해고/NNG+를/JKO
막을	막/VV+을/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
기간제	기간/NNG+제/XSN
노동자의	노동자/NNG+의/JKG
정규직화	정규직/NNG+화/XSN
비율을	비율/NNG+을/JKO
높여야	높이/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.232.8.2
이들은 이어 △사용사유를 엄격하게 제한하는 새로운 비정규직법을 제정하고 △해고 금지 법제화로 사용자들의 악의적인 정규직화 회피를 막으며 △비정규직 전환 지원금을 대폭 늘릴 것 등을 대안으로 제시했다.

이들은	이/NP+들/XSN+은/JX
이어	이어/MAG
△사용사유를	△/SW+사용/NNG+사유/NNG+를/JKO
엄격하게	엄격/NNG+하/XSA+게/EC
제한하는	제한/NNG+하/XSV+는/ETM
새로운	새롭/VA+ㄴ/ETM
비정규직법을	비/XPN+정규직/NNG+법/NNG+을/JKO
제정하고	제정/NNG+하/XSV+고/EC
△해고	△/SW+해고/NNG
금지	금지/NNG
법제화로	법제/NNG+화/XSN+로/JKB
사용자들의	사용자/NNG+들/XSN+의/JKG
악의적인	악의/NNG+적/XSN+이/VCP+ㄴ/ETM
정규직화	정규직/NNG+화/XSN
회피를	회피/NNG+를/JKO
막으며	막/VV+으며/EC
△비정규직	△/SW+비/XPN+정규직/NNG
전환	전환/NNG
지원금을	지원금/NNG+을/JKO
대폭	대폭/MAG
늘릴	늘리/VV+ㄹ/ETM
것	것/NNB
등을	등/NNB+을/JKO
대안으로	대안/NNG+으로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


